answer,business_name,helpful,question
"No she is not
Sho now runs 
North American operations 
Under Chef Ramsey",Gordon Ramsay Steak - Temporarily Closed,1,Is christina wilson still the head chef?
No she isn't,Gordon Ramsay Steak - Temporarily Closed,0,Is christina wilson still the head chef?
Not sure.,Charlotte Douglas International Airport,0,Cheapest bar for drinks?
À la carte,Soho Japanese Restaurant,1,AYCE? Or ala carte?
Call their number and check ahead at least two weeks in advance,Little Miss BBQ,0,What are the options for ordering Thanksgiving dinner?
"There are crab legs and various ""smaller"" seafood selection. Sushi and sashimi is reserved for dinner service which starts at 4pm!",The Buffet at Bellagio - Temporarily Closed,1,"Hello, does anyone know if the weekend brunch at Bellagio Buffet has crab legs and/or other seafood delights?"
"You'll have to check there menu page.
 https://bellagio.mgmresorts.com/en/restaurants/the-buffet.html",The Buffet at Bellagio - Temporarily Closed,1,"Hello, does anyone know if the weekend brunch at Bellagio Buffet has crab legs and/or other seafood delights?"
Yes,The Buffet at Bellagio - Temporarily Closed,1,"Hello, does anyone know if the weekend brunch at Bellagio Buffet has crab legs and/or other seafood delights?"
They bring seafood tower to your table but it's not worth it when the buffet already has tons of seafood! And nope no lobster unless a event is going on but they do have king crab legs daily,Bacchanal Buffet - Temporarily Closed,0,"Are there lobsters at the Bacchanal Buffet? What's the difference the regular entrance and the extra fee for the ""seafood tower""?"
"No, it does not. We offer an ""all you care to drink"" beverage package for $15 per person that includes house champagne, red wine, and white wine, mimosas, and draft beer, currently Blue Moon and Coors Lt. Thank you.",Bacchanal Buffet - Temporarily Closed,1,Does the weekend brunch buffet include bottomless cocktail choices?
It's 2.8 mi from heart of strip.  No transportation services at Stratosphere included but u have options of lyft or uber (or cab) or check rental car prices if u r going to alot of places its usu ~25-35/day unless big convention(s) r in town.,The STRAT Hotel,0,How far is this hotel from the strip and does it provide transportation or near any?
I bought a unlimited card and used the bus system.  I took it on a weekday afternoon by myself. I picked up the bus on the strip but I had to change for a second bus to go to the stratosphere.  The area where I had to change buses was almost empty and the people that were there were a little sketchy. The bus drivers are very helpful though and the bus ride was pretty good.,The STRAT Hotel,0,How far is this hotel from the strip and does it provide transportation or near any?
Its at the beginning of the strip,The STRAT Hotel,0,How far is this hotel from the strip and does it provide transportation or near any?
Free!,The STRAT Hotel,1,How much is parking at the strat for visitors not staying in the hotel?
Free:),The STRAT Hotel,0,How much is parking at the strat for visitors not staying in the hotel?
Parking is free.,The STRAT Hotel,0,How much is parking at the strat for visitors not staying in the hotel?
Free for everyone,The STRAT Hotel,0,How much is parking at the strat for visitors not staying in the hotel?
Free,The STRAT Hotel,0,How much is parking at the strat for visitors not staying in the hotel?
"The buffet is year round. It serves breakfast, brunch, lunch and dinner. I assume 7 days a week. Bon appetit!",Bacchanal Buffet - Temporarily Closed,0,Is buffet more on Easter?
Same price,Bacchanal Buffet - Temporarily Closed,0,Is buffet more on Easter?
"It varies as they have them flown in fresh daily. When I was there they had 4 options. 2 east coast and 2 Washington State. No Gulf Coast options those days. 
The ones I had were very good though. Definitely fresh...",Oyster Bar - Temporarily Closed,0,Where are the oysters ordered from? I'm hoping you'll say Gulf Oysters.
Gulf point!  They were scrumptious!,Oyster Bar - Temporarily Closed,0,Where are the oysters ordered from? I'm hoping you'll say Gulf Oysters.
Not at all!!,Studio B Buffet,1,Does anyone know if there's a wait time right now?
