,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.8638755679130554,31.93956232070923
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.8638755679130554,31.93956232070923
2,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.8638755679130554,31.93956232070923
3,AYCE? Or ala carte?,Soho Japanese Restaurant,"like me , order one ( or a few ) of everything",0.4273875653743744,31.93956232070923
4,AYCE? Or ala carte?,Soho Japanese Restaurant,their tiramisu,0.14440739154815674,31.93956232070923
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars per night added to your total when you book ? [SEP] my only reason for giving four stars for linq was the hotel room charge was way more less wen compared to the resort fee which was 32 $,0.916042685508728,7.6590821743011475
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,charge it up front,0.6264210939407349,7.6590821743011475
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.42931243777275085,7.6590821743011475
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.42931243777275085,7.6590821743011475
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,165,,7.6590821743011475
10,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP] in the air,0.8131266236305237,5.304223537445068
11,Air conditioning inside the carriage?,High Roller,it also has air conditioning,0.6953735947608948,5.304223537445068
12,Air conditioning inside the carriage?,High Roller,they have you standing outside waiting on the platform instead of inside in the air conditioning,0.6207347512245178,5.304223537445068
13,Air conditioning inside the carriage?,High Roller,temperature controlled,0.2913149297237396,5.304223537445068
14,Air conditioning inside the carriage?,High Roller,to keep you cool,0.26213428378105164,5.304223537445068
15,All you can eat?,Gangnam Asian BBQ Dining,all you can eat,0.9474589824676514,4.469269514083862
16,All you can eat?,Gangnam Asian BBQ Dining,it ' s not all you can eat,0.8695850968360901,4.469269514083862
17,All you can eat?,Gangnam Asian BBQ Dining,the place is not all you can eat,0.8520477414131165,4.469269514083862
18,All you can eat?,Gangnam Asian BBQ Dining,come here and eat,0.7408615350723267,4.469269514083862
19,All you can eat?,Gangnam Asian BBQ Dining,bbq places,0.22862696647644043,4.469269514083862
20,All you can eat?,Soho Japanese Restaurant,all you can eat,0.9474589824676514,3.7768914699554443
21,All you can eat?,Soho Japanese Restaurant,they do not have all you can eat,0.8833909630775452,3.7768914699554443
22,All you can eat?,Soho Japanese Restaurant,this place is not all you can eat,0.8469534516334534,3.7768914699554443
23,All you can eat?,Soho Japanese Restaurant,lots of money,0.41419699788093567,3.7768914699554443
24,All you can eat?,Soho Japanese Restaurant,rolls,0.21973095834255219,3.7768914699554443
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,it ' s well worth the wait in line if you go for lunch,0.7658149003982544,4.59428334236145
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,the line moves kind of slow,0.5687242746353149,4.59428334236145
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,about an hour,0.48446911573410034,4.59428334236145
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,a few days in advance,0.47499170899391174,4.59428334236145
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,90 + minutes,0.15748907625675201,4.59428334236145
30,Any discount by showing your players card?,Studio B Buffet,no longer get a discount,0.5409060120582581,5.406314134597778
31,Any discount by showing your players card?,Studio B Buffet,discount coupons,0.5005062222480774,5.406314134597778
32,Any discount by showing your players card?,Studio B Buffet,everyone,0.3030945658683777,5.406314134597778
33,Any discount by showing your players card?,Studio B Buffet,$ 2 - 5,0.181473046541214,5.406314134597778
34,Any discount by showing your players card?,Studio B Buffet,$ 2,0.14798203110694885,5.406314134597778
35,Any dress code?,Eiffel Tower,a dress code,0.8543230891227722,4.124379634857178
36,Any dress code?,Eiffel Tower,a dress code,0.8543230891227722,4.124379634857178
37,Any dress code?,Eiffel Tower,a dress code,0.8543230891227722,4.124379634857178
38,Any dress code?,Eiffel Tower,a dress code,0.8543230891227722,4.124379634857178
39,Any dress code?,Eiffel Tower,no,0.29880744218826294,4.124379634857178
40,Any food allergy menu?,Wicked Spoon,"gluten allergy , the chef will walk around with you pointing out which dishes are gluten free",0.6897904276847839,10.81995964050293
41,Any food allergy menu?,Wicked Spoon,not typical buffet food,0.6338292956352234,10.81995964050293
42,Any food allergy menu?,Wicked Spoon,"cold foods , breads , and salads , and on the far right side of the dining room , desserts and sweets",0.6212517619132996,10.81995964050293
43,Any food allergy menu?,Wicked Spoon,"limited seafood selection , appetizers , sushi , and limited desserts selection",0.5609877705574036,10.81995964050293
44,Any food allergy menu?,Wicked Spoon,gluten,0.474634051322937,10.81995964050293
45,Any gluten free accomodations?,Meat & Potatoes,gluten free accomodations ? [SEP] it ' s one of the most nutritious tasty treats you can give yourself .,0.7172413468360901,4.612685203552246
46,Any gluten free accomodations?,Meat & Potatoes,$ 10 or $ 50,0.3994984030723572,4.612685203552246
47,Any gluten free accomodations?,Meat & Potatoes,celiac meat & potatoes,0.27116578817367554,4.612685203552246
48,Any gluten free accomodations?,Meat & Potatoes,nothing,0.1850026398897171,4.612685203552246
49,Any gluten free accomodations?,Meat & Potatoes,g,0.18384380638599396,4.612685203552246
50,"Any kids pricing, between what age?",The Buffet at Bellagio,kids cost full price,0.6482120752334595,6.965085744857788
51,"Any kids pricing, between what age?",The Buffet at Bellagio,some children of similar ages,0.583143949508667,6.965085744857788
52,"Any kids pricing, between what age?",The Buffet at Bellagio,over 4 years old,0.3984644412994385,6.965085744857788
53,"Any kids pricing, between what age?",The Buffet at Bellagio,2,0.13489775359630585,6.965085744857788
54,"Any kids pricing, between what age?",The Buffet at Bellagio,senior,0.08839310705661774,6.965085744857788
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"if you don ' t have a reservation , be aware that there ' s a lot of people going here for dinner",0.7137688398361206,8.728755474090576
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,anyone other thai restaurant recommendations,0.6694179177284241,8.728755474090576
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,0.521452009677887,8.728755474090576
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,0.521452009677887,8.728755474090576
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,sunday,,8.728755474090576
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarian options,0.6650483012199402,7.7914392948150635
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegan,0.6329038739204407,7.7914392948150635
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"salad , sandwiches or real steak",0.6311997771263123,7.7914392948150635
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,sandwiches,0.44964727759361267,7.7914392948150635
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,meat,0.40171122550964355,7.7914392948150635
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,had dinner at the studio b buffet on mother ' s day at around 5 p . m . we were a party of five and got there before the dinner rush,0.7383577823638916,7.807711839675903
66,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,"note that on the weekend , they offer a seafood",0.6758671402931213,7.807711839675903
67,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,seafood,0.36186519265174866,7.807711839675903
68,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,prices,0.16848503053188324,7.807711839675903
69,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,$ 30,,7.807711839675903
70,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,hakkasan on sat 7 / 28 [SEP] the only purpose for my second visit was for a friends,0.7196824550628662,16.419452667236328
71,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,looking to go to hakkasan on sat 7 / 28 [SEP],0.665928304195404,16.419452667236328
72,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,a promoter to be on the vip list to get in,0.6460865139961243,16.419452667236328
73,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,3,0.31149426102638245,16.419452667236328
74,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,[SEP],0.08113237470388412,16.419452667236328
75,Any special menu items for the 4th of July 2018?,Studio B Buffet,no breakfast items,0.6173511147499084,5.136508941650391
76,Any special menu items for the 4th of July 2018?,Studio B Buffet,large selection of items,0.5264424681663513,5.136508941650391
77,Any special menu items for the 4th of July 2018?,Studio B Buffet,dinner menu,0.4885658621788025,5.136508941650391
78,Any special menu items for the 4th of July 2018?,Studio B Buffet,during,0.2923007309436798,5.136508941650391
79,Any special menu items for the 4th of July 2018?,Studio B Buffet,$ 24 . 99,,5.136508941650391
80,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,just wondering if they can whip up some avocado toast,0.8647474646568298,17.20524787902832
81,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,just wondering if they can whip up some avocado toast,0.8647474646568298,17.20524787902832
82,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,wondering if they can whip up some avocado toast,0.8419294357299805,17.20524787902832
83,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,wondering if they can whip up some avocado toast,0.8419294357299805,17.20524787902832
84,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,grille,0.09344276040792465,17.20524787902832
85,Any vegetarian options?,Wicked Spoon,vegetarian options,0.8569939732551575,10.07534646987915
86,Any vegetarian options?,Wicked Spoon,more vegetarian options,0.8190183043479919,10.07534646987915
87,Any vegetarian options?,Wicked Spoon,a lot of vegetarian options,0.8080824613571167,10.07534646987915
88,Any vegetarian options?,Wicked Spoon,"vegetarian options : out of all the buffets in vegas , this one has the most vegan , vegetarian , and gluten free options",0.7514016628265381,10.07534646987915
89,Any vegetarian options?,Wicked Spoon,"vegetarian , even vegan",0.6964564323425293,10.07534646987915
90,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,he has been to the fremont street experience before,0.6304165124893188,3.914731025695801
91,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,we have been regular visitors,0.479245126247406,3.914731025695801
92,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,i ' ve been up here in vegas since november 2014,0.4435490369796753,3.914731025695801
93,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,i come,0.2793050706386566,3.914731025695801
94,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,freemont,,3.914731025695801
95,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,pool pod since it ' s just two people . worth it to be close to the water ? thank you ! [SEP],0.8926036357879639,15.52907133102417
96,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,thinking pool pod since it ' s just two people,0.8017914295196533,15.52907133102417
97,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,you can go to the grand pool complex at mgm ( the general pool ) which has a lazy river and have an awesome time,0.7916021347045898,15.52907133102417
98,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,two people,0.5131354331970215,15.52907133102417
99,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,two people,0.5131354331970215,15.52907133102417
100,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,"the website will tell you if you are getting "" splash "" tickets",0.7132065296173096,8.241984128952026
101,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,do research on - line,0.3642556071281433,8.241984128952026
102,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,we,0.27978816628456116,8.241984128952026
103,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,bellagio,,8.241984128952026
104,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,bellagio,,8.241984128952026
105,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,ask the check in girl,0.6588602066040039,13.162737131118774
106,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,doesn ' t know this buffet,0.5516272783279419,13.162737131118774
107,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,$ 1 a person for lunch,0.551190197467804,13.162737131118774
108,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,5,0.21917496621608734,13.162737131118774
109,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,$ 44 . 99,,13.162737131118774
110,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,everyone got anywhere from 3 - 5 drinks during the ride ( you can bring one to go,0.8360585570335388,5.53696870803833
111,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,if you casually drink your beverage you get around 3 rounds,0.7988123893737793,5.53696870803833
112,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,you can buy drinks of any kind at the wheelhouse bar,0.7798290252685547,5.53696870803833
113,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,you,0.6098423600196838,5.53696870803833
114,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,they have a bar,0.5990726351737976,5.53696870803833
115,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,they even brought me out a really tasty birthday dessert,0.7904495596885681,14.700929641723633
116,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,if you tell them it ' s your birthday they also bring out a small ice cream,0.7525544166564941,14.700929641723633
117,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,they will offer you a dessert,0.682915985584259,14.700929641723633
118,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,free profiterole with ice cream and chocolate sauce,0.5345449447631836,14.700929641723633
119,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,candle,0.26333853602409363,14.700929641723633
120,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,champagne,0.39904430508613586,15.15938925743103
121,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,wine,0.37791508436203003,15.15938925743103
122,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,dessert bar,0.37334275245666504,15.15938925743103
123,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,mimosas,,15.15938925743103
124,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,aycd,,15.15938925743103
125,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,"there is not a method to let guests know the linq valet is full until you follow the maze of pylons to a small sign at the end of the lane that says it isfull and then goodn uck finding a space in the garage , and there are no attendants to be found for assistance",0.7523693442344666,5.584265232086182
126,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,"the gym is tiny , and some areas are still under construction",0.6342310309410095,5.584265232086182
127,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,valet parking was not available,0.5694757699966431,5.584265232086182
128,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,construction,0.4672892093658447,5.584265232086182
129,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,hotel,0.25408992171287537,5.584265232086182
130,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,"australian lamb ? [SEP] then there ' s also a meat section with sausages , turkey breast , beef , lamb",0.7323631048202515,12.757771492004395
131,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,only the lamb chops are divine,0.6981974244117737,12.757771492004395
132,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,"beef , pork , chicken , turkey",0.6605603694915771,12.757771492004395
133,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,"the prime rib , lamb chops and chinese bbq pork",0.6558125615119934,12.757771492004395
134,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,not a lot of roasted vegetables,0.6193718314170837,12.757771492004395
135,Are any of the beers gluten free?,Four Peaks Brewing,gluten free entrees marked on the menu,0.67179936170578,4.596315145492554
136,Are any of the beers gluten free?,Four Peaks Brewing,try any sandwich on a beer bread,0.6507194638252258,4.596315145492554
137,Are any of the beers gluten free?,Four Peaks Brewing,no free dessert,0.5915103554725647,4.596315145492554
138,Are any of the beers gluten free?,Four Peaks Brewing,delicious beer,0.5608948469161987,4.596315145492554
139,Are any of the beers gluten free?,Four Peaks Brewing,i haven ' t tried the beer,0.44528481364250183,4.596315145492554
140,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,"no , they didn ' t have crab legs at firekeeper ' s , but most of the food , from steak , to the chinese dishes , mexican",0.7392842769622803,17.276384592056274
141,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,don ' t waste your appetite on the other mediocre food unless you want a taste of everything,0.7121075391769409,17.276384592056274
142,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,usually never,0.5193631649017334,17.276384592056274
143,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,now,0.4344373941421509,17.276384592056274
144,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,holidays,0.25874122977256775,17.276384592056274
145,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,"weekdays that brunch ends at 4p ? [SEP] also , they have brunch available on saturdays and sundays",0.8340921998023987,7.559234857559204
146,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,seems as if you only get good service when you order a bottomless drink at brunch,0.7573486566543579,7.559234857559204
147,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,only brunch until 4pm,0.7221121788024902,7.559234857559204
148,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,signage out front claims this offering is available daily,0.6089876294136047,7.559234857559204
149,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,"mostly , we wanted the bottomless mimosas for $ 23",0.6084504127502441,7.559234857559204
150,Are brunch items the same as dinner?,Bacchanal Buffet,some of the dinner items,0.8189731240272522,12.515180110931396
151,Are brunch items the same as dinner?,Bacchanal Buffet,there was no lunch but only brunch and dinner and on top of that easter holiday priced,0.7686587572097778,12.515180110931396
152,Are brunch items the same as dinner?,Bacchanal Buffet,pretty much the same items,0.5962079763412476,12.515180110931396
153,Are brunch items the same as dinner?,Bacchanal Buffet,the same menu,0.5710382461547852,12.515180110931396
154,Are brunch items the same as dinner?,Bacchanal Buffet,best of both !,0.2828128933906555,12.515180110931396
155,Are crab legs on available Fri-Sun?,Studio B Buffet,crab legs are crab legs,0.790740430355072,6.6106250286102295
156,Are crab legs on available Fri-Sun?,Studio B Buffet,crab legs and shrimps are good,0.7720289826393127,6.6106250286102295
157,Are crab legs on available Fri-Sun?,Studio B Buffet,king crab legs are amazing,0.7329118847846985,6.6106250286102295
158,Are crab legs on available Fri-Sun?,Studio B Buffet,those are next,0.48794642090797424,6.6106250286102295
159,Are crab legs on available Fri-Sun?,Studio B Buffet,pre - cut,0.21996544301509857,6.6106250286102295
160,Are crab legs served during brunch?,Wicked Spoon,only the crab legs were for dinner,0.8221096992492676,10.363167762756348
161,Are crab legs served during brunch?,Wicked Spoon,there are no crab legs @ brunch,0.8006272315979004,10.363167762756348
162,Are crab legs served during brunch?,Wicked Spoon,maybe some crab cakes or crab legs,0.7246495485305786,10.363167762756348
163,Are crab legs served during brunch?,Wicked Spoon,cold,0.2753591537475586,10.363167762756348
164,Are crab legs served during brunch?,Wicked Spoon,no,0.17743612825870514,10.363167762756348
165,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,hot crab legs are served at the italian section during dinner time,0.8060211539268494,12.580273151397705
166,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,sunday brunch early morning,0.7658383846282959,12.580273151397705
167,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,only brunch is served on weekdays,0.6408679485321045,12.580273151397705
168,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,saturday,0.35636481642723083,12.580273151397705
169,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,friday,0.34261685609817505,12.580273151397705
170,Are crab legs served during early morning brunch on Saturday and Sunday?,Wicked Spoon,saturday morning,0.5631060004234314,10.343851089477539
171,Are crab legs served during early morning brunch on Saturday and Sunday?,Wicked Spoon,sunday,,10.343851089477539
172,Are crab legs served during early morning brunch on Saturday and Sunday?,Wicked Spoon,sunday,,10.343851089477539
