,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials,0.5364066699480653,2.9104344844818115
1,AYCE? Or ala carte?,Soho Japanese Restaurant,da shit,0.488488442595324,2.9104344844818115
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Shima-Aji,0.47084364546451485,2.9104344844818115
3,AYCE? Or ala carte?,Soho Japanese Restaurant,If your not asin your not eatin,0.4660874623610902,2.9104344844818115
4,AYCE? Or ala carte?,Soho Japanese Restaurant,:),0.4577916476824223,2.9104344844818115
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,ended up taking so much time every time I rode the elevator!,0.7748279531311457,0.26409029960632324
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,LINQ,0.7738790868157884,0.26409029960632324
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,After a phone call to our first Lyft pick up,0.7708587921384357,0.26409029960632324
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,you can set an automatic check out time on your phone after you connect to wifi,0.7598258113115502,0.26409029960632324
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Don't stay here unless you want filthy rooms that don't even get cleaned before check in! Oh and bring your own lotion,0.7563636000055586,0.26409029960632324
10,Air conditioning inside the carriage?,High Roller,Vegas,0.5511853056761773,0.20800209045410156
11,Air conditioning inside the carriage?,High Roller,Our pod was empty,0.5003408925135424,0.20800209045410156
12,Air conditioning inside the carriage?,High Roller,Buy an unopened beer,0.441323993892641,0.20800209045410156
13,Air conditioning inside the carriage?,High Roller,Best viewing spot is to the right by the door as soon as you walk into the pod!,0.42376335902777185,0.20800209045410156
14,Air conditioning inside the carriage?,High Roller,Ride,0.41747216101448736,0.20800209045410156
15,All you can eat?,Gangnam Asian BBQ Dining,here,0.8940607890880307,0.3136868476867676
16,All you can eat?,Gangnam Asian BBQ Dining,Go for the premium,0.8069944431734537,0.3136868476867676
17,All you can eat?,Gangnam Asian BBQ Dining,though if that is what you are looking for,0.8069757491621173,0.3136868476867676
18,All you can eat?,Gangnam Asian BBQ Dining,joints,0.7957757850796612,0.3136868476867676
19,All you can eat?,Gangnam Asian BBQ Dining,ymmmmmmmm,0.7889867227409244,0.3136868476867676
20,All you can eat?,Soho Japanese Restaurant,sushi,0.8423827692548267,0.22661256790161133
21,All you can eat?,Soho Japanese Restaurant,everything,0.8352761349452753,0.22661256790161133
22,All you can eat?,Soho Japanese Restaurant,here if you love fresh fish,0.7798524293423412,0.22661256790161133
23,All you can eat?,Soho Japanese Restaurant,many of the dishes,0.7767241886817976,0.22661256790161133
24,All you can eat?,Soho Japanese Restaurant,They make sure you don't leave hungry,0.7694270247510396,0.22661256790161133
