,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,No more AYCE for us!,2.684077163068408,0.15474557876586914
1,AYCE? Or ala carte?,Soho Japanese Restaurant,It's not AYCE but it's worth it.,2.684077163068408,0.15474557876586914
2,AYCE? Or ala carte?,Soho Japanese Restaurant,"The sushi, AYCE quality (this is not an AYCE restaurant).",2.1472617304547263,0.15474557876586914
3,AYCE? Or ala carte?,Soho Japanese Restaurant,It comes with the NY steak but you can also order it ala carte.,2.1453470173770093,0.15474557876586914
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Delicious sushi that is not AYCE.,1.7893847753789385,0.15474557876586914
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,I added parking to the hotel again and that was worthwhile.,3.6561830817068106,0.1532120704650879
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"No, it was an ad for Guy Fieri's restaurant.",3.1563209193467787,0.1532120704650879
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"All in all, you totally get what you pay for.",3.087112054385175,0.1532120704650879
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,It's a BS extra fee.,2.981790964418646,0.1532120704650879
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,DO NOT BOOK THIS HOTEL.,2.960354948178254,0.1532120704650879
10,Air conditioning inside the carriage?,High Roller,It is enclosed and air conditioned.,3.413970220914389,0.10924220085144043
11,Air conditioning inside the carriage?,High Roller,It also has air conditioning.,3.413970220914389,0.10924220085144043
12,Air conditioning inside the carriage?,High Roller,-The pods are air conditioned.,3.413970220914389,0.10924220085144043
13,Air conditioning inside the carriage?,High Roller,It has air conditioning to keep you cool.,2.5604776656857915,0.10924220085144043
14,Air conditioning inside the carriage?,High Roller,They *are air-conditioned and quite comfortable.,2.5604776656857915,0.10924220085144043
15,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,3.566810933079004,0.11257362365722656
16,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,3.566810933079004,0.11257362365722656
17,All you can eat?,Gangnam Asian BBQ Dining,I would eat here again.,1.783405466539502,0.11257362365722656
18,All you can eat?,Gangnam Asian BBQ Dining,It was so hard to eat.,1.783405466539502,0.11257362365722656
19,All you can eat?,Gangnam Asian BBQ Dining,Just wish there was an all you can eat.,1.783405466539502,0.11257362365722656
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,3.8182305412351236,0.07900309562683105
21,All you can eat?,Soho Japanese Restaurant,This place is not all you can eat.,1.9091152706175618,0.07900309562683105
22,All you can eat?,Soho Japanese Restaurant,This restaurant does not offer all you can eat.,1.2727435137450411,0.07900309562683105
23,All you can eat?,Soho Japanese Restaurant,I'm eating there again tonight.,1.2727435137450411,0.07900309562683105
24,All you can eat?,Soho Japanese Restaurant,"Lucky me, I eat here once a week.",1.2727435137450411,0.07900309562683105
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thank you to all of you.,5.201582443465289,0.09906935691833496
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thank you thank you pitmaster.,3.467721628976859,0.09906935691833496
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,If you have to pick a sauce.,2.7252392454409566,0.09906935691833496
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Once again, thanks for coming in and thanks for your input.",2.6007912217326443,0.09906935691833496
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,We shared and picked off of each others plates.,1.8168261636273044,0.09906935691833496
30,Any discount by showing your players card?,Studio B Buffet,- No discounted rates for having a players card.,4.269192041021198,0.17310595512390137
31,Any discount by showing your players card?,Studio B Buffet,Just show them your receipt!,2.6923266140360695,0.17310595512390137
32,Any discount by showing your players card?,Studio B Buffet,He showed me where everything was.,2.6923266140360695,0.17310595512390137
33,Any discount by showing your players card?,Studio B Buffet,Make sure you get a player's card to get a $2 discount.,2.4395383091549703,0.17310595512390137
34,Any discount by showing your players card?,Studio B Buffet,The other thing that pissed me off is the demand of 1 player card per discount.,2.4395383091549703,0.17310595512390137
35,Any dress code?,Eiffel Tower,There was no dress code??!,5.108860219699015,0.12970495223999023
36,Any dress code?,Eiffel Tower,There is a Dress Code.,5.108860219699015,0.12970495223999023
37,Any dress code?,Eiffel Tower,There is a dress code.,5.108860219699015,0.12970495223999023
38,Any dress code?,Eiffel Tower,There's a dress code.,5.108860219699015,0.12970495223999023
39,Any dress code?,Eiffel Tower,"Also, there is a dress code.",3.4059068131326766,0.12970495223999023
40,Any food allergy menu?,Wicked Spoon,They serve the same menu.,2.7781502829866045,0.4375927448272705
41,Any food allergy menu?,Wicked Spoon,DO NOT eat here if you have severe allergies.,2.596089363917767,0.4375927448272705
42,Any food allergy menu?,Wicked Spoon,the same food over and over and over!,2.0312321239429507,0.4375927448272705
43,Any food allergy menu?,Wicked Spoon,I AM HERE FOR THE FOOD!,2.0312321239429507,0.4375927448272705
44,Any food allergy menu?,Wicked Spoon,And then there';s the food.,2.0312321239429507,0.4375927448272705
45,Any gluten free accomodations?,Meat & Potatoes,"Tartare: meat was fresh, they had to leave a few things out for me because they were not gluten-free so it was missing a bit of something.",1.4759943172866288,0.14430689811706543
46,Any gluten free accomodations?,Meat & Potatoes,They gave us both free glasses of Champagne.,1.3438187332883968,0.14430689811706543
47,Any gluten free accomodations?,Meat & Potatoes,the free samples of gin may have been the only upside to that evening.,1.1198489444069972,0.14430689811706543
48,Any gluten free accomodations?,Meat & Potatoes,Parking was relatively easy too one street over (free after 6).,1.1198489444069972,0.14430689811706543
49,Any gluten free accomodations?,Meat & Potatoes,Much to our fancy they had a FREE show of cabaret singers and a bar!!,0.9598705237774261,0.14430689811706543
50,"Any kids pricing, between what age?",The Buffet at Bellagio,Kids friendly:  No kids price.,3.569711726602416,0.2712535858154297
51,"Any kids pricing, between what age?",The Buffet at Bellagio,"No, not for that price.",3.1869826081813426,0.2712535858154297
