,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,!,0.68684288693077,4.14471793174744,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,?,0.653375535928481,4.14471793174744,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,order one (or a few) of everything,0.580247572194604,4.14471793174744,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,It comes with the NY steak,0.5558138113354321,4.14471793174744,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,nt skip the dessert either.,0.554635488973342,4.14471793174744,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,no compensation,0.876858507889242,1.95382404327393,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,then other hotels I have stayed at on the strip,0.87167790329144,1.95382404327393,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,giving four stars for linq was the hotel room charge was way more less wen,0.8702276841313441,1.95382404327393,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,pay extra 250 for pet cleaning,0.869295026225094,1.95382404327393,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,By the time you add up the price of the bucket of beers and water,0.8689646894344871,1.95382404327393,
10,Air conditioning inside the carriage?,High Roller,air conditioning,0.6688274390767901,1.42891669273376,
11,Air conditioning inside the carriage?,High Roller,air conditioning,0.6086981079560411,1.42891669273376,
12,Air conditioning inside the carriage?,High Roller,they have you standing outside waiting on the platform instead of inside in the air conditioning,0.586088857922954,1.42891669273376,
13,Air conditioning inside the carriage?,High Roller,Temperature,0.55845066972994,1.42891669273376,
14,Air conditioning inside the carriage?,High Roller,in the air.,0.55264953554966,1.42891669273376,
15,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,0.914918528625417,1.72846913337708,4.0
16,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,0.8701898980977769,1.72846913337708,4.0
17,All you can eat?,Gangnam Asian BBQ Dining,Come here and eat if you can!,0.866778092835345,1.72846913337708,2.0
18,All you can eat?,Gangnam Asian BBQ Dining,I used to only go to all you can eat bbq places,0.8610943353665508,1.72846913337708,1.0
19,All you can eat?,Gangnam Asian BBQ Dining,The place is not all you can eat.,0.856098039996645,1.72846913337708,4.0
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,0.8944064620022951,1.43906879425049,
21,All you can eat?,Soho Japanese Restaurant,not All You Can Eat unless you have lots of money,0.845916707033855,1.43906879425049,
22,All you can eat?,Soho Japanese Restaurant,This place is not all you can eat.,0.841571811777775,1.43906879425049,
23,All you can eat?,Soho Japanese Restaurant,I have good taste... No all you can eat rolls here!).,0.839976241600893,1.43906879425049,
24,All you can eat?,Soho Japanese Restaurant,If you are looking for all you can eat or 50 different rolls and nigiri then this place is not for you,0.83880726926396,1.43906879425049,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,worth the wait,0.832912586205516,1.48685550689697,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"The line moves kind of slow so keep that in mind, but you will have the best meal in phoenix if you wait.",0.8308032417897092,1.48685550689697,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,call in your order a few days in advance,0.828213814624106,1.48685550689697,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,90+ minutes,0.8267614057241259,1.48685550689697,
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,It's well worth the wait in line if you go for lunch too,0.82472867442487,1.48685550689697,
30,Any discount by showing your players card?,Studio B Buffet,"you can get a free buffet with your points, or discount coupons mailed to you",0.751822193616381,1.88282585144043,
31,Any discount by showing your players card?,Studio B Buffet,if you're using a player's card to get a discount on the buffet price,0.7443533096165441,1.88282585144043,
32,Any discount by showing your players card?,Studio B Buffet,Dissapointed you no longer get a discount with your player card,0.7411415301354359,1.88282585144043,
33,Any discount by showing your players card?,Studio B Buffet,Make sure you get a player's card to get a $2 discount,0.741118623482557,1.88282585144043,
34,Any discount by showing your players card?,Studio B Buffet,discount off the 'already inexpensive' $17.95 regular buffet cost,0.7401458952229059,1.88282585144043,
35,Any dress code?,Eiffel Tower,A dress code,0.8635997379111808,1.63528156280518,4.0
36,Any dress code?,Eiffel Tower,There is a dress code,0.8164662684024849,1.63528156280518,4.0
37,Any dress code?,Eiffel Tower,There's a dress code,0.8164662684024849,1.63528156280518,4.0
38,Any dress code?,Eiffel Tower,there is a dress code,0.792161390819294,1.63528156280518,4.0
39,Any dress code?,Eiffel Tower,There was no dress code?,0.76897602702003,1.63528156280518,4.0
40,Any food allergy menu?,Wicked Spoon,extremely friendly,0.6974848572594461,3.79088950157166,
41,Any food allergy menu?,Wicked Spoon,The food is not typical buffet food,0.6826454200541949,3.79088950157166,
42,Any food allergy menu?,Wicked Spoon,gluten free,0.679834751716103,3.79088950157166,
43,Any food allergy menu?,Wicked Spoon,"appetizers, sushi, and limited desserts selection",0.6758048562389821,3.79088950157166,
44,Any food allergy menu?,Wicked Spoon,You have your standard food,0.6738184933537911,3.79088950157166,
45,Any gluten free accomodations?,Meat & Potatoes,I have celiac Meat & Potatoes,0.535068469657422,1.60696125030518,
46,Any gluten free accomodations?,Meat & Potatoes,friendly and accommodating,0.528482026513088,1.60696125030518,
47,Any gluten free accomodations?,Meat & Potatoes,food snob,0.5255550379339791,1.60696125030518,
48,Any gluten free accomodations?,Meat & Potatoes,one of the most nutritious,0.515585072986992,1.60696125030518,
49,Any gluten free accomodations?,Meat & Potatoes,they could have offered us a comped drink or dessert,0.515362566419577,1.60696125030518,
50,"Any kids pricing, between what age?",The Buffet at Bellagio,adult price for children over 4 years old,0.7466614791428341,2.6062684059143097,
51,"Any kids pricing, between what age?",The Buffet at Bellagio,rip-off--kids cost full price,0.7297499814898671,2.6062684059143097,
52,"Any kids pricing, between what age?",The Buffet at Bellagio,Charging full price for kids over age 2 is ridiculous,0.7207900296289879,2.6062684059143097,
53,"Any kids pricing, between what age?",The Buffet at Bellagio,No kids no senior pricing,0.7164033898345848,2.6062684059143097,
54,"Any kids pricing, between what age?",The Buffet at Bellagio,consume a lot of food,0.699592414949852,2.6062684059143097,
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,keep that in mind,0.8529386598806751,2.8183352947235094,
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,n't the best Thai restaurant in the US,0.8528685602014979,2.8183352947235094,
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,it seems like an abandoned strip mall,0.843470486747514,2.8183352947235094,
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,eating,0.843386482667465,2.8183352947235094,
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"fantastic food here at Lotus of Siam, so make reservations as early as you can to avoid being put on the waitlist",0.836543539760375,2.8183352947235094,
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,lots of vegetarian options,0.8170800130950121,3.68622159957886,
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,tons of meat selection,0.779929979436405,3.68622159957886,
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,I still find the veggie sandwich amazing,0.750289046551006,3.68622159957886,
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,classy,0.7501530929082,3.68622159957886,
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,fish to steak,0.7437230166322991,3.68622159957886,
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,We came for the Seafood Dinner Buffet that they have on Friday and Saturday nights,0.888512302977409,1.97924613952637,1.0
66,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,"$14.99
Dinner 4:00 pm-9:00pm...............................$22.99

Seafood brunch",0.8432210972866508,1.97924613952637,1.0
67,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,priced at ~$40,0.832378507086295,1.97924613952637,1.0
68,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,.,0.8303919301759369,1.97924613952637,1.0
69,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,a party of five and got there before the dinner rush,0.821918162248641,1.97924613952637,1.0
70,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,rename unnamed) said that we could get a table with 8 girls on a Sunday night,0.821055811910441,6.45719242095947,
71,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,If there is a big DJ spinning purchase pre sale tickets,0.8162345679028059,6.45719242095947,
