,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,da shit,0.4673947060734309,0.36636996269226074
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials,0.37149955695440395,0.36636996269226074
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Thurs,0.35255660402420497,0.36636996269226074
3,AYCE? Or ala carte?,Soho Japanese Restaurant,Amazing,0.33480478775802447,0.36636996269226074
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Yellow tail hamachi,0.3227358102606297,0.36636996269226074
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,ended up taking so much time every time I rode the elevator!,0.4791665395422665,0.35622620582580566
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Don't stay here unless you want filthy rooms that don't even get cleaned before check in! Oh and bring your own lotion,0.474313417827527,0.35622620582580566
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,got me early check in right away.,0.46311618901963547,0.35622620582580566
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$20,0.4564318021895559,0.35622620582580566
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$8/day unless you have status,0.43794669066696645,0.35622620582580566
10,Air conditioning inside the carriage?,High Roller,Vegas,0.5837117827607815,0.17814898490905762
11,Air conditioning inside the carriage?,High Roller,Our pod was empty,0.43414308017668035,0.17814898490905762
12,Air conditioning inside the carriage?,High Roller,:),0.4144968397252742,0.17814898490905762
13,Air conditioning inside the carriage?,High Roller,better rush,0.38818753723626365,0.17814898490905762
14,Air conditioning inside the carriage?,High Roller,Had a cabin,0.387666443185241,0.17814898490905762
15,All you can eat?,Gangnam Asian BBQ Dining,Great place to eat.,0.9039885125783008,0.2861771583557129
16,All you can eat?,Gangnam Asian BBQ Dining,the food,0.7255301493205709,0.2861771583557129
17,All you can eat?,Gangnam Asian BBQ Dining,at gangnam,0.700022962761674,0.2861771583557129
18,All you can eat?,Gangnam Asian BBQ Dining,here again,0.6888029602023357,0.2861771583557129
19,All you can eat?,Gangnam Asian BBQ Dining,Great selection to snack,0.6792559666203294,0.2861771583557129
20,All you can eat?,Soho Japanese Restaurant,sushi,0.7613053172778704,0.19633889198303223
21,All you can eat?,Soho Japanese Restaurant,everything,0.7137059061822292,0.19633889198303223
22,All you can eat?,Soho Japanese Restaurant,One of the best places to eat!,0.701156876773447,0.19633889198303223
23,All you can eat?,Soho Japanese Restaurant,deep fried shrimp head,0.6183213672871316,0.19633889198303223
24,All you can eat?,Soho Japanese Restaurant,Lol,0.5888740493154806,0.19633889198303223
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,too late,0.4858628342412814,0.28170323371887207
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks for the Best Brisket and Turkey this Thanksgiving!!!,0.48202723344609133,0.28170323371887207
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,bbq joint,0.4678139390612077,0.28170323371887207
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,hour,0.4663453406893989,0.28170323371887207
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Amazing bbq long,0.4662773066405541,0.28170323371887207
30,Any discount by showing your players card?,Studio B Buffet,=(,0.7120351671499844,0.26840686798095703
31,Any discount by showing your players card?,Studio B Buffet,CA residents get $5 discount,0.6502854295018772,0.26840686798095703
32,Any discount by showing your players card?,Studio B Buffet,No discount with card. Find a local.,0.6324775644106614,0.26840686798095703
33,Any discount by showing your players card?,Studio B Buffet,"Go with someone thats has the ""m"" black card and skip the line!",0.5661256986225345,0.26840686798095703
34,Any discount by showing your players card?,Studio B Buffet,"Reduced rating from my previous score, friday, saturday and sunday is degraded to 3 stars.",0.45832481791080926,0.26840686798095703
35,Any dress code?,Eiffel Tower,They enforce their ridiculous dress code at dinner,0.545029426315575,0.21908831596374512
36,Any dress code?,Eiffel Tower,Try pink vevet cocktail !!,0.3863294661810053,0.21908831596374512
