,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,It's not AYCE,2.725938905054167,0.20047402381896973,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,No more AYCE,2.725938905054167,0.20047402381896973,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,AYCE,2.1807511240433337,0.20047402381896973,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,2.175547700431379,0.20047402381896973,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Delicious sushi,1.8172926033694443,0.20047402381896973,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Not so much.,3.9961991704187896,0.2939736843109131,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,I added parking to the hotel again,3.63976019607638,0.2939736843109131,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,2 nights.,3.2934825388426936,0.2939736843109131,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,5 nights.,3.2934825388426936,0.2939736843109131,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"No, it was an ad for Guy Fieri's restaurant.",3.1367332277142728,0.2939736843109131,
10,Air conditioning inside the carriage?,High Roller,.,4.746504390675635,0.16759777069091794,
11,Air conditioning inside the carriage?,High Roller,Pods,3.4252560402003005,0.16759777069091794,
12,Air conditioning inside the carriage?,High Roller,air conditioning.,3.4252560402003005,0.16759777069091794,
13,Air conditioning inside the carriage?,High Roller,"PODS
-HAS AIR CONDITIONING.",3.4252560402003005,0.16759777069091794,
14,Air conditioning inside the carriage?,High Roller,It is enclosed and air conditioned.,3.4252560402003005,0.16759777069091794,
15,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,3.657376501331096,0.19413518905639648,4.0
16,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,3.657376501331096,0.19413518905639648,4.0
17,All you can eat?,Gangnam Asian BBQ Dining,if you can!,1.828688250665548,0.19413518905639648,1.0
18,All you can eat?,Gangnam Asian BBQ Dining,here once a week,1.828688250665548,0.19413518905639648,4.0
19,All you can eat?,Gangnam Asian BBQ Dining,here again,1.828688250665548,0.19413518905639648,1.0
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,3.8555691891160255,0.15392231941223145,
21,All you can eat?,Soho Japanese Restaurant,Hard to eat.,1.9277845945580128,0.15392231941223145,
22,All you can eat?,Soho Japanese Restaurant,This place,1.9277845945580128,0.15392231941223145,
23,All you can eat?,Soho Japanese Restaurant,meat,1.9277845945580128,0.15392231941223145,
24,All you can eat?,Soho Japanese Restaurant,Eat on folks,1.9277845945580128,0.15392231941223145,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thank you to all of you.,5.060761240731799,0.18651270866394049,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,.,3.3738408271545333,0.18651270866394049,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,sauce,2.7397357877949924,0.18651270866394049,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,My soul thanks you.,2.5303806203658996,0.18651270866394049,
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,My body thanks you,2.5303806203658996,0.18651270866394049,
30,Any discount by showing your players card?,Studio B Buffet,No discounted rates,4.316742791109551,0.25531721115112305,
31,Any discount by showing your players card?,Studio B Buffet,He showed me where everything was.,2.7062308856464004,0.25531721115112305,
32,Any discount by showing your players card?,Studio B Buffet,Just show them your receipt!,2.7062308856464004,0.25531721115112305,
33,Any discount by showing your players card?,Studio B Buffet,The cost was $25 a person with a $2 discount from the Players Card.,2.466710166348314,0.25531721115112305,
34,Any discount by showing your players card?,Studio B Buffet,The other thing that pissed me off is the demand of 1 player card per discount,2.466710166348314,0.25531721115112305,
35,Any dress code?,Eiffel Tower,There's a dress code.,5.135070119803684,0.1994309425354004,4.0
36,Any dress code?,Eiffel Tower,!,5.135070119803684,0.1994309425354004,1.0
37,Any dress code?,Eiffel Tower,There is a Dress Code,5.135070119803684,0.1994309425354004,4.0
38,Any dress code?,Eiffel Tower,There,5.135070119803684,0.1994309425354004,1.0
39,Any dress code?,Eiffel Tower,A dress code.,5.135070119803684,0.1994309425354004,4.0
40,Any food allergy menu?,Wicked Spoon,They serve the same menu.,2.7921342448581563,0.5077090263366699,
41,Any food allergy menu?,Wicked Spoon,DO NOT eat here if you have severe allergies.,2.584821464888204,0.5077090263366699,
42,Any food allergy menu?,Wicked Spoon,there';s the food.,2.050948622236956,0.5077090263366699,
43,Any food allergy menu?,Wicked Spoon,But the Food.,2.050948622236956,0.5077090263366699,
44,Any food allergy menu?,Wicked Spoon,Now to the food...,2.050948622236956,0.5077090263366699,
45,Any gluten free accomodations?,Meat & Potatoes,I am gluten-intolerant.,3.9571992334434216,0.22678184509277344,
46,Any gluten free accomodations?,Meat & Potatoes,it was missing a bit of something,1.4730184645105575,0.22678184509277344,
47,Any gluten free accomodations?,Meat & Potatoes,They gave us both free glasses of Champagne.,1.3631572356437467,0.22678184509277344,
48,Any gluten free accomodations?,Meat & Potatoes,Parking,1.1359643630364555,0.22678184509277344,
49,Any gluten free accomodations?,Meat & Potatoes,evening.,1.1359643630364555,0.22678184509277344,
50,"Any kids pricing, between what age?",The Buffet at Bellagio,.,5.543028189920883,0.3340880870819092,
51,"Any kids pricing, between what age?",The Buffet at Bellagio,?,5.543028189920883,0.3340880870819092,
52,"Any kids pricing, between what age?",The Buffet at Bellagio,I kid you not.,5.543028189920883,0.3340880870819092,
53,"Any kids pricing, between what age?",The Buffet at Bellagio,?,5.543028189920883,0.3340880870819092,
54,"Any kids pricing, between what age?",The Buffet at Bellagio,Kids,3.5765245789654645,0.3340880870819092,
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"thank you, that is all.",5.622561208845356,0.4888463020324707,
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Thank you all.,5.622561208845356,0.4888463020324707,
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,We are locals.,5.364379800790274,0.4888463020324707,
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"Close, but no 5 stars.",5.300590062914943,0.4888463020324707,
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Probably because it was close to closing time...,5.300590062914943,0.4888463020324707,
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarian options,3.865023004073589,0.18198609352111814,
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Great vegetarian options.,3.510317719765377,0.18198609352111814,
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Options for vegetarians,3.3460991925901027,0.18198609352111814,
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Please,2.9962862729757367,0.18198609352111814,
