,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials,0.536406669948065,3.00204300880432,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,da shit!!,0.488488442595324,3.00204300880432,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Uni! Amazeballs,0.470843645464515,3.00204300880432,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,If your not asin your not eatin,0.46608746236109005,3.00204300880432,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Green tea brulee is heaven!  You won't be disappointed :),0.45779164768242203,3.00204300880432,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,scan your card then hit the button,0.7748279531311459,0.501988172531128,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,using your cell provider's internet,0.773879086815788,0.501988172531128,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,I had no idea Uber and Lyft had designated pick up/drop off areas everywhere on the strip,0.7708587921384359,0.501988172531128,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Upgrade options are available,0.75982581131155,0.501988172531128,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,They're too cheap to provide any in the rooms,0.756363600005559,0.501988172531128,
10,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning,0.551185305676177,0.34358024597167997,
11,Air conditioning inside the carriage?,High Roller,Over 525+ feet in the air,0.5003408925135421,0.34358024597167997,
12,Air conditioning inside the carriage?,High Roller,Buy an unopened beer down stairs before going into the lounge,0.441323993892641,0.34358024597167997,
13,Air conditioning inside the carriage?,High Roller,Best viewing spot is to the right by the door as soon as you walk into the pod!,0.423763359027772,0.34358024597167997,
14,Air conditioning inside the carriage?,High Roller,Ride is 45 minutes long to do one rotation so make sure you go to the bathroom before bringing your drinks to party,0.4174721610144871,0.34358024597167997,
15,All you can eat?,Gangnam Asian BBQ Dining,You must eat here,0.8940607890880309,0.410656690597534,1.0
16,All you can eat?,Gangnam Asian BBQ Dining,Delicious,0.8069944431734541,0.410656690597534,1.0
17,All you can eat?,Gangnam Asian BBQ Dining,Very good,0.8069757491621171,0.410656690597534,1.0
18,All you can eat?,Gangnam Asian BBQ Dining,joints,0.7957757850796608,0.410656690597534,1.0
19,All you can eat?,Gangnam Asian BBQ Dining,ymmmmmmmm,0.7889867227409241,0.410656690597534,1.0
