answer,business_name,helpful,question
Depending on your luck... this is all I can say,Bacchanal Buffet - Temporarily Closed,1,I'm just trying to come here to eat... omg everything looks amazing.... how can I win a free trip?
Unfortunately nothing is free but you can grab your car! A couple of friends and just drive to Las Vegas and also make Groupon your best friend too!! There is a Groupon for this buffet! Split the fares and enjoy!,Bacchanal Buffet - Temporarily Closed,1,I'm just trying to come here to eat... omg everything looks amazing.... how can I win a free trip?
"Mike , We don't offer crab legs for the early bird special, but we always offer Shrimp. We offer Slab Bacon and a large variety of different sausages on the carving station.",Bacchanal Buffet - Temporarily Closed,4,Are there fewer choices during the early bird special? Are crab legs and prime rib available at that time of morning?
"Crab legs yes for breakfast, prime rib I've only seen available at lunch & dinner times.",Bacchanal Buffet - Temporarily Closed,0,Are there fewer choices during the early bird special? Are crab legs and prime rib available at that time of morning?
"No. During my visit, a chef was walking someone through the line and identifying acceptable items.",The Buffet At Wynn,2,Any food allergies menu?
"Considering it's a buffet. I wouldn't expect so. However, I've heard from other people who come here that you can ask for gluten free and other options. So I'd assume it's possible.",The Buffet At Wynn,1,Any food allergies menu?
"Good evening Winnie, guests with an allergy or dietary/lifestyle restrictions (vegan or vegetarian) can voice their dietary needs when they reach the cashier at The Buffet and a staff member will call a chef. The chef will then walk through The Buffet with the guest and they will point out which dishes are safe to eat. Please be advised that during holidays we may experience increased traffic and the wait to call a chef over may be extended. For additional questions please feel free to call The Buffet at (702) 770-7000. Thank you and we look forward to welcoming you.",The Buffet At Wynn,1,Any food allergies menu?
I believe they are almost nut free. You can ask to tell to the chef about your allergies and he/she should be able to help.,The Buffet At Wynn,1,Any food allergies menu?
"The restaurants inside the hotel, and some in the courtyard",Bally's Las Vegas Hotel & Casino - Temporarily Closed,0,Offered a dining credit as part of a promotion .. where can I use these ? Room service?
Yes we play all the playoff games with sound and on most tv’s.,Four Peaks Brewing,2,Is this a good place to watch NFL Games? Will I be able to see and hear a TV?
Absolutely,Four Peaks Brewing,0,Is this a good place to watch NFL Games? Will I be able to see and hear a TV?
Yes!  I can not recall the volume levels,Four Peaks Brewing,0,Is this a good place to watch NFL Games? Will I be able to see and hear a TV?
"Things change, I would call for confirmation: (877) 893-2001",Wicked Spoon,1,What time does dinner start for Saturday ? And do they carry their famous bone marrow?
"Ellie-vated C.,

Happy to help. Dinner is served from 3-9PM on Saturday—for more on hours & pricing, visit: http://bit.ly/2nhvd4i

Likewise, our menu is subject to change daily. Please give us a call prior to your arrival for more information on our menu items. You can reach us at 877.893.2001.",Wicked Spoon,1,What time does dinner start for Saturday ? And do they carry their famous bone marrow?
The buffet runs almost all day with the changeover around 4 PM. Between 3 and 4 you would get a combo of lunch and dinner.. Yes I did see the marrow bones in the buffet.,Wicked Spoon,0,What time does dinner start for Saturday ? And do they carry their famous bone marrow?
"They are equally good in their own ways. Perhaps see which menu calls you to more, or which one has openings for a reservation? Not super helpful in narrowing it down for you, but it's a tie for me. Go to both :-)",Meat & Potatoes,2,"Okay, coming in 8 hours from out of town for my boyfriends birthday and am having a lot of trouble deciding between making reservations at Meat & Potatoes and Butcher and the Rye? Can anyone help a girl out?"
"I have been to both and they are both good options. Having said that, I tend to prefer Meat and Potatoes for something before a show, and Butcher and the Rye for a longer, less rushed dinner. Have fun!",Meat & Potatoes,2,"Okay, coming in 8 hours from out of town for my boyfriends birthday and am having a lot of trouble deciding between making reservations at Meat & Potatoes and Butcher and the Rye? Can anyone help a girl out?"
I have been to Butcher and the Rye and loved their unique menu and atmosphere as well. Meat and Potatoes was closed when I tried going into.,Meat & Potatoes,2,"Okay, coming in 8 hours from out of town for my boyfriends birthday and am having a lot of trouble deciding between making reservations at Meat & Potatoes and Butcher and the Rye? Can anyone help a girl out?"
"They are both owned by the same group, the food at both is excellent. Each has there own signature menu items. Each would be an excellent choice and shouldn't disappoint.",Meat & Potatoes,2,"Okay, coming in 8 hours from out of town for my boyfriends birthday and am having a lot of trouble deciding between making reservations at Meat & Potatoes and Butcher and the Rye? Can anyone help a girl out?"
"I havent been to butcher in the rye, but meat and potatoes wont disappoint! Enjoy!",Meat & Potatoes,1,"Okay, coming in 8 hours from out of town for my boyfriends birthday and am having a lot of trouble deciding between making reservations at Meat & Potatoes and Butcher and the Rye? Can anyone help a girl out?"
Only weekends.,Studio B Buffet,0,Do they only have crab served with dinner on the weekends? Or weekdays too?
"Yes, it's a full restaurant.",Oyster Bar - Temporarily Closed,2,Does this restaurant allow children? The palace station oyster bar does not allow under 21.  Thanks in advance.
Oh yes!!!,Bacchanal Buffet - Temporarily Closed,0,Do they still offer oysters for brunch?
"The day after a holiday weekend is usually pretty slow, and 2pm is not usually a busy time. I would be surprised if it took more than 30min to get seated.",Bacchanal Buffet - Temporarily Closed,1,How busy is the Tuesday after Labor Day?  Do you think the lines will be long around 2pm during a weekday?
"This really depends, but 2pm seems to be the best time to go, right after lunch and before dinner.  But Vegas never sleeps, so the hours don't necessarily count.  Good luck.",Bacchanal Buffet - Temporarily Closed,0,How busy is the Tuesday after Labor Day?  Do you think the lines will be long around 2pm during a weekday?
It's open in September. I've been there the last 3 years first week for week 1 of the NFL and it's been open.,MGM Grand Hotel,1,What months is the lazy river open? Planning to book in the first week of September..thanks
"HELLO! 
I want to provide you with a company that provides excellent service! TRY YOU DON'T PLEASE LOOK FOR YOUR LONGER AND FIND YOU ORDER ONLY AT THIS IT COMPANY NAME OF THE COMPANY GAVROSH LIMO! or www.gavroshLimo.com",MGM Grand Hotel,0,What months is the lazy river open? Planning to book in the first week of September..thanks
Definitely opened in September and as early as April in the past.,MGM Grand Hotel,0,What months is the lazy river open? Planning to book in the first week of September..thanks
Yes the do,Monta Japanese Noodle House,0,Do they have gluten free options?
No.  I did not see any options for gluten-free.,Monta Japanese Noodle House,0,Do they have gluten free options?
"I dont recall seeing any gluten free options, sorry.",Monta Japanese Noodle House,0,Do they have gluten free options?
"I think maybe the acts change but not sure how often. But the comedic dialogue between acts has been the same for 3 years. I was just there Feb 7th and I came home and watched some recorded YouTube clips of past shows and it was the same exact jokes told from 2016, I was really surprised.  The acts I saw last week were the chair stacking guy, roller skate couple, 4 gymnast guys, 3 gymnast women, 2 tap dancing guys, street light dancing guy and bathtub rope guy, and some more I don't recall offhand.  But I was so blown away by their act that I wanted to go back before we left but my wife didn't want to.  So it depends on how much you liked it. I'd go back. I didn't know that the people that put on this show also do the Opium show until I was getting ready to leave. I would have liked to seen that show too!",Absinthe,2,"Do they change up the acts often?  I saw the show in March 2018.  I'd like to see it again in March 2019, but not if all of the acts are the same."
I've seen the show three times in the last several months and they do change the ask every show with different MC and different performers but you never know who's going to be performing what day,Absinthe,0,"Do they change up the acts often?  I saw the show in March 2018.  I'd like to see it again in March 2019, but not if all of the acts are the same."
I believe Monday's are the locals night.,El Dorado Cantina - Las Vegas Strip,1,Is there a discount for being a local nevada resident?
Locals discount on Mondays!,El Dorado Cantina - Las Vegas Strip,1,Is there a discount for being a local nevada resident?
Yes! But only on Mondays. They have a Locals Monday. 25% off w/ local ID,El Dorado Cantina - Las Vegas Strip,0,Is there a discount for being a local nevada resident?
"Even though they close at 8:30 pm, I've seen them still seating people. However, they do not replenish the food anymore, so the newly-seated people have to deal with the food offerings that have not run out yet. At 9:30 pm they haven't taken food away from the buffet or kicked us out yet -- but we left anyway, full and satisfied!",Studio B Buffet,0,What time is last seating on weekends? When does the food actualy get take away?
"It's supposed to be at 8:30pm but when we were there on a Sunday night, they were still letting people in as long as they were in line by 8:30. They replenished the crab legs  only by request. Didn't notice them taking food away while people were still there but I think they closed the bar(unlimited drinks) at a certain time.",Studio B Buffet,0,What time is last seating on weekends? When does the food actualy get take away?
Yes but not the same types.,Bacchanal Buffet - Temporarily Closed,0,Meat serve all day?
Leave it with the front desk at check in.,Bacchanal Buffet - Temporarily Closed,0,Does the Bacchanal have luggage check? What's the best way to stow luggage if one is coming direct from the airport with no time to check in to our other hotel (not Cesar's).
"Crystal K.,

Yes, we do. If you have any other questions, please feel free to contact us directly at 702.698.7870. We hope to see you here soon.

Vanessa",Wicked Spoon,1,Do you have high chairs or booster seats for the little ones?
Yes!!! Call in your order and pick it up at the window!! This is how we do it even when we are eating there. It saves so much time and waiting in the line!,Joe's Farm Grill,0,Is there a separate line for take out orders?
I believe they also now have drive up/pick up so you don't have to wait in line to pick up your order.  Check it out!!!,Joe's Farm Grill,0,Is there a separate line for take out orders?
Yes. The food is delicious. Huge portions. Never disappoints,Mr. Mamas Breakfast and Lunch,0,"Want a good burger, is this the place to go?"
We had breakfast there but did hear their burgers were great!!,Mr. Mamas Breakfast and Lunch,0,"Want a good burger, is this the place to go?"
I had breakfast but my brother said they are great!!!,Mr. Mamas Breakfast and Lunch,0,"Want a good burger, is this the place to go?"
Not at all. Full buffet no time limits,The Buffet At Wynn,0,Are there any limitations to the buffet when you get a complimentary daily meal through the hotel?
No limits,The Buffet At Wynn,0,Are there any limitations to the buffet when you get a complimentary daily meal through the hotel?
"if you do the app thing, you need to make sure you can do a complimentary lunch or dinner, and redeem it in the life counter first. you can always call them to ask",The Buffet At Wynn,0,Are there any limitations to the buffet when you get a complimentary daily meal through the hotel?
