,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,da shit!!,0.4673947060734309,0.4041552543640137,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials,0.371499556954404,0.4041552543640137,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,"$5 menu - sushi rolls, sake, & more.",0.35255660402420497,0.4041552543640137,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,Even basic rolls,0.3348047877580245,0.4041552543640137,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,It's simply amazing!,0.3227358102606297,0.4041552543640137,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,scan your card then hit the button,0.4791665395422665,0.2608180046081543,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,They're too cheap to provide any in the rooms,0.474313417827527,0.2608180046081543,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,got me early check in right away,0.4631161890196354,0.2608180046081543,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,free drink,0.4564318021895559,0.2608180046081543,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,parking $8/day,0.4379466906669665,0.2608180046081543,
10,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning,0.5837117827607815,0.1998748779296875,
11,Air conditioning inside the carriage?,High Roller,Over 525+ feet in the air,0.4341430801766804,0.1998748779296875,
12,Air conditioning inside the carriage?,High Roller,Go around 1:30 AM and you'll get your own cabin,0.4144968397252742,0.1998748779296875,
13,Air conditioning inside the carriage?,High Roller,pay inside the store for a ticket,0.3881875372362637,0.1998748779296875,
14,Air conditioning inside the carriage?,High Roller,Had a cabin to ourselves... Had a good time with the kids,0.387666443185241,0.1998748779296875,
15,All you can eat?,Gangnam Asian BBQ Dining,Great place to eat.,0.9039885125783008,0.3273470401763916,1.0
16,All you can eat?,Gangnam Asian BBQ Dining,Very good food! It's fun to cook and eat the food,0.7255301493205709,0.3273470401763916,1.0
17,All you can eat?,Gangnam Asian BBQ Dining,great taste of meat and good service,0.700022962761674,0.3273470401763916,1.0
18,All you can eat?,Gangnam Asian BBQ Dining,Really good quality of meats,0.6888029602023357,0.3273470401763916,1.0
19,All you can eat?,Gangnam Asian BBQ Dining,10/10,0.6792559666203294,0.3273470401763916,1.0
20,All you can eat?,Soho Japanese Restaurant,sushi,0.7613053172778704,0.22576022148132324,
21,All you can eat?,Soho Japanese Restaurant,you'll want to eat everything,0.7137059061822292,0.22576022148132324,
22,All you can eat?,Soho Japanese Restaurant,One of the best places to eat!,0.701156876773447,0.22576022148132324,
23,All you can eat?,Soho Japanese Restaurant,You know a place is good when they get me eat deep fried shrimp head,0.6183213672871316,0.22576022148132324,
24,All you can eat?,Soho Japanese Restaurant,Lol,0.5888740493154806,0.22576022148132324,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,chance are they will be sold out,0.4858628342412814,0.312283992767334,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks,0.4820272334460913,0.312283992767334,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,a food establishment,0.4678139390612077,0.312283992767334,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Best bbq in brisket is amazing, must see worth the hour line",0.4663453406893989,0.312283992767334,
