,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,AYCE sushi,0.7983776116107952,0.10320568084716797
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Best non-AYCE sushi bang for your bucks in Las Vegas,0.5987832087080964,0.10320568084716797
2,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Hidden fees everywhere.,0.6768780526691549,0.1191561222076416
3,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,I suggest booking a room above 10th floor.,0.3760433625939749,0.1191561222076416
4,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Really enjoyed our stay! Great hotel!,0.31852615882354385,0.1191561222076416
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,love the location on this hotel and kid friendly.,0.31852615882354385,0.1191561222076416
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Never returning,0.2654384656862865,0.1191561222076416
7,Air conditioning inside the carriage?,High Roller,Some of the rollers have a bar inside;),1.185116020496471,0.11071205139160156
8,Air conditioning inside the carriage?,High Roller,Yes there is AC inside!,1.185116020496471,0.11071205139160156
9,Air conditioning inside the carriage?,High Roller,Vegas,1.1128069490258603,0.11071205139160156
10,Air conditioning inside the carriage?,High Roller,better rush,0.6464269202708025,0.11071205139160156
11,Air conditioning inside the carriage?,High Roller,the bartender inside the pod is an asshole!,0.507906865927059,0.11071205139160156
12,All you can eat?,Gangnam Asian BBQ Dining,here,1.7594902086592694,0.10384893417358398
13,All you can eat?,Gangnam Asian BBQ Dining,Great place to eat.,1.1729934724395128,0.10384893417358398
14,All you can eat?,Gangnam Asian BBQ Dining,!,1.1729934724395128,0.10384893417358398
15,All you can eat?,Gangnam Asian BBQ Dining,Go for the premium,0.8797451043296347,0.10384893417358398
16,All you can eat?,Gangnam Asian BBQ Dining,though if that is what you are looking for,0.8797451043296347,0.10384893417358398
17,All you can eat?,Soho Japanese Restaurant,sushi,1.1346571028482935,0.09081101417541504
18,All you can eat?,Soho Japanese Restaurant,One of the best places to eat!,0.8509928271362202,0.09081101417541504
19,All you can eat?,Soho Japanese Restaurant,everything,0.5673285514241467,0.09081101417541504
20,All you can eat?,Soho Japanese Restaurant,!  Very inexpensive,0.5673285514241467,0.09081101417541504
21,All you can eat?,Soho Japanese Restaurant,sushi,0.4254964135681101,0.09081101417541504
22,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,order it,1.6269069381147405,0.1074821949005127
23,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks for the Best Brisket and Turkey this Thanksgiving!!!,0.9515782546011512,0.1074821949005127
24,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Amazing food... long lines but it's worth the wait,0.5247422267619424,0.1074821949005127
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Amazing bbq long,0.5247422267619424,0.1074821949005127
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,a long time,0.44977905151023634,0.1074821949005127
27,Any discount by showing your players card?,Studio B Buffet,No discount with card. Find a local.,2.5066492057578698,0.12339162826538086
28,Any discount by showing your players card?,Studio B Buffet,$5 off,1.6710994705052464,0.12339162826538086
29,Any discount by showing your players card?,Studio B Buffet,CA residents get $5 discount,1.3672632031406562,0.12339162826538086
30,Any discount by showing your players card?,Studio B Buffet,=(,1.2158763949895148,0.12339162826538086
31,Any discount by showing your players card?,Studio B Buffet,"Go with someone thats has the ""m"" black card and skip the line!",0.8355497352526232,0.12339162826538086
32,Any dress code?,Eiffel Tower,They enforce their ridiculous dress code at dinner,0.3111934876206851,0.06258487701416016
33,Any food allergy menu?,Wicked Spoon,..,1.2814158037890546,0.09734177589416504
34,Any food allergy menu?,Wicked Spoon,too much food for me!,0.9950844996135345,0.09734177589416504
35,Any food allergy menu?,Wicked Spoon,Much... Food...,0.9950844996135345,0.09734177589416504
36,Any food allergy menu?,Wicked Spoon,Food,0.9950844996135345,0.09734177589416504
37,Any food allergy menu?,Wicked Spoon,Lunch,0.8542772025260363,0.09734177589416504
38,Any gluten free accomodations?,Meat & Potatoes,Gluten,1.488636039551528,0.03300285339355469
39,"Any kids pricing, between what age?",The Buffet at Bellagio,20$,0.8775142161980216,0.10130429267883301
40,"Any kids pricing, between what age?",The Buffet at Bellagio,Paying lunch price for dinner!,0.6581356621485163,0.10130429267883301
41,"Any kids pricing, between what age?",The Buffet at Bellagio,$20,0.6581356621485163,0.10130429267883301
42,"Any kids pricing, between what age?",The Buffet at Bellagio,Legendary brunch for a decent price.,0.6581356621485163,0.10130429267883301
43,"Any kids pricing, between what age?",The Buffet at Bellagio,price,0.5850094774653477,0.10130429267883301
44,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Closed,3.9847013847722734,0.10751628875732422
45,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Closed 7/8 - 7/14,3.9847013847722734,0.10751628875732422
46,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Closed,2.656467589848182,0.10751628875732422
47,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"If you don't know, now you know... the spot.",2.5816781905569597,0.10751628875732422
48,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Closed,1.9923506923861367,0.10751628875732422
49,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,This my favorite restaurant in Pittsburgh.,1.1634761717966993,0.11180305480957031
50,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Seriously one of the best restaurants,0.6980857030780196,0.11180305480957031
51,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,!,0.6668756898593481,0.11180305480957031
52,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Must try the dipping sauces!,0.6337292675906654,0.11180305480957031
53,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Superb,0.5069834140725323,0.11180305480957031
54,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,6....,5.236441962829949,0.1005101203918457
55,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,fam,4.257820035047368,0.1005101203918457
56,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,!,3.580172084986197,0.1005101203918457
57,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,CPU Christmas dinner!,2.8385466900315786,0.1005101203918457
58,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,Labor day dinner,2.8385466900315786,0.1005101203918457
59,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,Haakasan,1.3092987848614785,0.1172494888305664
