,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,nt skip the dessert either.,0.3675072193145752,4.761369705200195
1,AYCE? Or ala carte?,Soho Japanese Restaurant,order one (or a few) of everything,0.3374098837375641,4.761369705200195
2,AYCE? Or ala carte?,Soho Japanese Restaurant,It comes with the NY steak,0.31883785128593445,4.761369705200195
3,AYCE? Or ala carte?,Soho Japanese Restaurant,!,,4.761369705200195
4,AYCE? Or ala carte?,Soho Japanese Restaurant,?,,4.761369705200195
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,giving four stars for linq was the hotel room charge was way more less wen,0.774368166923523,2.053180694580078
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,By the time you add up the price of the bucket of beers and water,0.7029362320899963,2.053180694580078
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,then other hotels I have stayed at on the strip,0.6812601685523987,2.053180694580078
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,pay extra 250 for pet cleaning,0.6191251873970032,2.053180694580078
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,no compensation,0.3923074007034302,2.053180694580078
10,Air conditioning inside the carriage?,High Roller,air conditioning,0.7366083264350891,1.4419941902160645
11,Air conditioning inside the carriage?,High Roller,air conditioning,0.7366083264350891,1.4419941902160645
12,Air conditioning inside the carriage?,High Roller,they have you standing outside waiting on the platform instead of inside in the air conditioning,0.6207347512245178,1.4419941902160645
13,Air conditioning inside the carriage?,High Roller,in the air.,0.5526494979858398,1.4419941902160645
14,Air conditioning inside the carriage?,High Roller,Temperature,0.20252375304698944,1.4419941902160645
15,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,0.9149185419082642,1.8165817260742188
16,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,0.8701899647712708,1.8165817260742188
17,All you can eat?,Gangnam Asian BBQ Dining,Come here and eat if you can!,0.8667781352996826,1.8165817260742188
18,All you can eat?,Gangnam Asian BBQ Dining,I used to only go to all you can eat bbq places,0.8610942959785461,1.8165817260742188
19,All you can eat?,Gangnam Asian BBQ Dining,The place is not all you can eat.,0.8560980558395386,1.8165817260742188
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,0.8944064378738403,2.7374730110168457
21,All you can eat?,Soho Japanese Restaurant,not All You Can Eat unless you have lots of money,0.8630944490432739,2.7374730110168457
