,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,da shit,0.47461941838264465,0.7055916786193848
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials,0.25436338782310486,0.7055916786193848
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Amazing,0.18243266642093658,0.7055916786193848
3,AYCE? Or ala carte?,Soho Japanese Restaurant,Yellow tail hamachi,0.16314466297626495,0.7055916786193848
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Thurs,0.10855023562908173,0.7055916786193848
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,ended up taking so much time every time I rode the elevator!,0.5130147337913513,0.570573091506958
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Don't stay here unless you want filthy rooms that don't even get cleaned before check in! Oh and bring your own lotion,0.4713500738143921,0.570573091506958
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,got me early check in right away.,0.4042920470237732,0.570573091506958
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$8/day unless you have status,0.3213047683238983,0.570573091506958
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$20,,0.570573091506958
10,Air conditioning inside the carriage?,High Roller,Had a cabin,0.3990700840950012,0.25713562965393066
11,Air conditioning inside the carriage?,High Roller,Our pod was empty,0.17375332117080688,0.25713562965393066
12,Air conditioning inside the carriage?,High Roller,better rush,0.12977364659309387,0.25713562965393066
13,Air conditioning inside the carriage?,High Roller,Vegas,0.11132977157831192,0.25713562965393066
14,Air conditioning inside the carriage?,High Roller,:),,0.25713562965393066
15,All you can eat?,Gangnam Asian BBQ Dining,Great place to eat.,0.9039884805679321,0.5681400299072266
16,All you can eat?,Gangnam Asian BBQ Dining,the food,0.5037571787834167,0.5681400299072266
17,All you can eat?,Gangnam Asian BBQ Dining,Great selection to snack,0.44228747487068176,0.5681400299072266
18,All you can eat?,Gangnam Asian BBQ Dining,at gangnam,,0.5681400299072266
19,All you can eat?,Gangnam Asian BBQ Dining,here again,,0.5681400299072266
20,All you can eat?,Soho Japanese Restaurant,One of the best places to eat!,0.7011569738388062,0.27620434761047363
21,All you can eat?,Soho Japanese Restaurant,sushi,0.43981707096099854,0.27620434761047363
22,All you can eat?,Soho Japanese Restaurant,deep fried shrimp head,0.3669061064720154,0.27620434761047363
23,All you can eat?,Soho Japanese Restaurant,everything,0.26139143109321594,0.27620434761047363
24,All you can eat?,Soho Japanese Restaurant,Lol,0.18703262507915497,0.27620434761047363
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks for the Best Brisket and Turkey this Thanksgiving!!!,0.48202720284461975,0.48960185050964355
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Amazing bbq long,0.354625940322876,0.48960185050964355
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,too late,0.16792789101600647,0.48960185050964355
