,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,Don't expect this to be like your normal AYCE sushi,0.8313604063740329,0.06561923027038574
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Best non-AYCE sushi bang for your bucks in Las Vegas,0.6235203047805247,0.06561923027038574
2,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,I suggest booking a room above 10th floor.,0.7475339236566737,0.021721601486206055
3,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Check out my hotel rates!!,0.648636716351771,0.021721601486206055
4,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,One of the worst hotels ever.,0.4864775372638283,0.021721601486206055
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,love the location on this hotel and kid friendly.,0.38918202981106265,0.021721601486206055
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"Great hotel, clean, spacious and I loved it!",0.38918202981106265,0.021721601486206055
7,Air conditioning inside the carriage?,High Roller,Yes there is AC inside!,1.2224059857775855,0.031013965606689453
8,Air conditioning inside the carriage?,High Roller,Some of the rollers have a bar inside;),1.2224059857775855,0.031013965606689453
9,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning.,1.1793120929435106,0.031013965606689453
10,Air conditioning inside the carriage?,High Roller,Over 525+ feet in the air.,0.7524193029533267,0.031013965606689453
11,Air conditioning inside the carriage?,High Roller,You can also pay inside the store for a ticket!,0.7334435914665515,0.031013965606689453
12,All you can eat?,Gangnam Asian BBQ Dining,Not all you can eat.,3.8509655976656902,0.026298046112060547
13,All you can eat?,Gangnam Asian BBQ Dining,Will definitely eat here again.,1.9254827988328451,0.026298046112060547
14,All you can eat?,Gangnam Asian BBQ Dining,Go for the premium all you can eat.,1.2836551992218967,0.026298046112060547
15,All you can eat?,Gangnam Asian BBQ Dining,Definitely a place to eat at while in Vegas,0.9627413994164226,0.026298046112060547
16,All you can eat?,Gangnam Asian BBQ Dining,"Very good, 

not all you can eat though if that is what you are looking for.",0.9627413994164226,0.026298046112060547
17,All you can eat?,Soho Japanese Restaurant,I cannot wait to eat here again.,1.8444397270569681,0.009281635284423828
18,All you can eat?,Soho Japanese Restaurant,I wish they had all you can eat sushi,1.2296264847046454,0.009281635284423828
19,All you can eat?,Soho Japanese Restaurant,One of the best places to eat!,0.9222198635284841,0.009281635284423828
20,All you can eat?,Soho Japanese Restaurant,Never eating sushi anywhere else but here!,0.7377758908227873,0.009281635284423828
21,All you can eat?,Soho Japanese Restaurant,"Come hungry, you'll want to eat everything",0.6148132423523227,0.009281635284423828
22,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,F A T T Y BRISKET .... order it,1.709773260165176,0.013507366180419922
23,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks for the Best Brisket and Turkey this Thanksgiving!!,0.9847247834213253,0.013507366180419922
24,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Plenty of  seating and no long lines..,0.854886630082588,0.013507366180419922
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Long wait, but definitely worth it.",0.854886630082588,0.013507366180419922
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Get in line early so you can get your pick of meats and sides!,0.7033748453009466,0.013507366180419922
27,Any discount by showing your players card?,Studio B Buffet,CA residents get $5 discount if you mention the discount and show ID.,1.9537840409829679,0.024268150329589844
28,Any discount by showing your players card?,Studio B Buffet,$5 off if you show your California ID,1.6871094694705913,0.024268150329589844
29,Any discount by showing your players card?,Studio B Buffet,They don't give anymore 2 for 1 buffet coupons when you sign up for a players card.,1.4077613875014892,0.024268150329589844
30,Any discount by showing your players card?,Studio B Buffet,Just show your State issued ID!!,1.2653321021029436,0.024268150329589844
31,Any discount by showing your players card?,Studio B Buffet,Oh and booo I didn't get carded for it :(,1.0568943919451967,0.024268150329589844
32,Any dress code?,Eiffel Tower,They enforce their ridiculous dress code at dinner.,1.8087154308196163,0.024405717849731445
33,Any food allergy menu?,Wicked Spoon,"Oooh, bone marrow on the menu.",1.3343845199253295,0.0394749641418457
34,Any food allergy menu?,Wicked Spoon,The menu layout looks very promising!!,1.3343845199253295,0.0394749641418457
35,Any food allergy menu?,Wicked Spoon,The food is delicious here!,1.0902688292756024,0.0394749641418457
36,Any food allergy menu?,Wicked Spoon,too much food for me!,1.0902688292756024,0.0394749641418457
37,Any food allergy menu?,Wicked Spoon,Other food was all mediocre..,1.0902688292756024,0.0394749641418457
38,Any gluten free accomodations?,Meat & Potatoes,Gluten free and vegan options on their lenten menu!,1.5333858813881822,0.023702144622802734
39,"Any kids pricing, between what age?",The Buffet at Bellagio,The price is not worth the cost.,0.9324271116100509,0.03162240982055664
40,"Any kids pricing, between what age?",The Buffet at Bellagio,On weekends there is no diff in price,0.9324271116100509,0.03162240982055664
41,"Any kids pricing, between what age?",The Buffet at Bellagio,Nothing special for the price.,0.9324271116100509,0.03162240982055664
42,"Any kids pricing, between what age?",The Buffet at Bellagio,Paying lunch price for dinner!,0.6993203337075382,0.03162240982055664
43,"Any kids pricing, between what age?",The Buffet at Bellagio,The prices has gone up and quality has gone down.,0.6993203337075382,0.03162240982055664
44,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Closed for lunch on the weekends.,2.9806691140541224,0.01530003547668457
45,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"If you don't know, now you know... the spot.",2.640966943648756,0.01530003547668457
46,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Recommend to anyone who come to Vegas,2.5396006666217152,0.01530003547668457
47,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,FYI - this place is closed until 7/11,2.235501835540592,0.01530003547668457
48,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,2:30p close and reopen 5p,2.235501835540592,0.01530003547668457
