,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.8638755679130554,6.267131090164185
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.8638755679130554,6.267131090164185
2,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.8638755679130554,6.267131090164185
3,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte ? [SEP] get the uni and lychee sake . green tea brulee,0.492267370223999,6.267131090164185
4,AYCE? Or ala carte?,Soho Japanese Restaurant,un,0.31527358293533325,6.267131090164185
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.42931243777275085,3.792037010192871
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.42931243777275085,3.792037010192871
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.42931243777275085,3.792037010192871
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.42931243777275085,3.792037010192871
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.42931243777275085,3.792037010192871
10,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP],0.8246647715568542,2.6785383224487305
11,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP] buy an unopened beer down stairs before going into the lounge,0.6833833456039429,2.6785383224487305
12,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP] best viewing spot is to the right by the door as soon as you walk into the pod,0.6412649154663086,2.6785383224487305
13,Air conditioning inside the carriage?,High Roller,so much fun and a beautiful way to see vegas,0.28853166103363037,2.6785383224487305
14,Air conditioning inside the carriage?,High Roller,night,0.19041456282138824,2.6785383224487305
15,All you can eat?,Gangnam Asian BBQ Dining,not all you can eat,0.9297161102294922,4.6988525390625
16,All you can eat?,Gangnam Asian BBQ Dining,you must eat here,0.89829421043396,4.6988525390625
17,All you can eat?,Gangnam Asian BBQ Dining,all you can eat joints,0.8532596230506897,4.6988525390625
18,All you can eat?,Gangnam Asian BBQ Dining,go for the premium all you can eat . delicious,0.8468337059020996,4.6988525390625
19,All you can eat?,Gangnam Asian BBQ Dining,ymmmmmmmm,,4.6988525390625
20,All you can eat?,Soho Japanese Restaurant,whatever is fresh and best,0.5017712116241455,2.4868264198303223
21,All you can eat?,Soho Japanese Restaurant,everything,0.44125330448150635,2.4868264198303223
22,All you can eat?,Soho Japanese Restaurant,delicious,0.3420867919921875,2.4868264198303223
23,All you can eat?,Soho Japanese Restaurant,fresh fish,0.29884132742881775,2.4868264198303223
24,All you can eat?,Soho Japanese Restaurant,sushi,0.27248090505599976,2.4868264198303223
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,you will continue to stuff your self w the pecan pie,0.6266012787818909,4.458454847335815
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,5 stars is the wait or parking,0.5533760190010071,4.458454847335815
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,a while,0.3312802016735077,4.458454847335815
