,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,1.0000001192092896,6.5955212116241455
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,1.0000001192092896,6.5955212116241455
2,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,1.0000001192092896,6.5955212116241455
3,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,1.0000001192092896,6.5955212116241455
4,AYCE? Or ala carte?,Soho Japanese Restaurant,ala kart,0.595186710357666,6.5955212116241455
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,30 something dollars,0.5144261121749878,6.867351293563843
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.45629259943962097,6.867351293563843
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.45629259943962097,6.867351293563843
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$ 34,,6.867351293563843
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$ 30,,6.867351293563843
10,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP] it is fun from the start as you get on and off of the moving carriage .,0.7900648713111877,5.4348320960998535
11,Air conditioning inside the carriage?,High Roller,it also has air conditioning,0.702650785446167,5.4348320960998535
12,Air conditioning inside the carriage?,High Roller,they have you standing outside waiting on the platform instead of inside in the air conditioning,0.6044595241546631,5.4348320960998535
13,Air conditioning inside the carriage?,High Roller,so much fun and a beautiful way to see vegas,0.2293035387992859,5.4348320960998535
14,Air conditioning inside the carriage?,High Roller,to keep you cool,0.18679212033748627,5.4348320960998535
15,All you can eat?,Gangnam Asian BBQ Dining,it ' s not all you can eat,1.0,5.4660985469818115
16,All you can eat?,Gangnam Asian BBQ Dining,all you can eat,1.0,5.4660985469818115
17,All you can eat?,Gangnam Asian BBQ Dining,the place is not all you can eat,0.9092873930931091,5.4660985469818115
18,All you can eat?,Gangnam Asian BBQ Dining,everything,0.26139143109321594,5.4660985469818115
19,All you can eat?,Gangnam Asian BBQ Dining,10 / 10,,5.4660985469818115
20,All you can eat?,Soho Japanese Restaurant,they do not have all you can eat,1.0,5.07842755317688
21,All you can eat?,Soho Japanese Restaurant,i use to only eat all you can eat,0.9787402749061584,5.07842755317688
22,All you can eat?,Soho Japanese Restaurant,this place is not all you can eat,0.9143882989883423,5.07842755317688
23,All you can eat?,Soho Japanese Restaurant,everything is super fresh,0.2829495966434479,5.07842755317688
24,All you can eat?,Soho Japanese Restaurant,10,,5.07842755317688
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,a long wait time,0.44222211837768555,5.396928071975708
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thanks,0.4296797513961792,5.396928071975708
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thanks,0.4296797513961792,5.396928071975708
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thanks again guys .,0.4122702479362488,5.396928071975708
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,ordering / serving,0.21101374924182892,5.396928071975708
30,Any discount by showing your players card?,Studio B Buffet,no discounted rates,0.4127356708049774,6.545919895172119
31,Any discount by showing your players card?,Studio B Buffet,free,0.27199816703796387,6.545919895172119
32,Any discount by showing your players card?,Studio B Buffet,the price,0.26860174536705017,6.545919895172119
33,Any discount by showing your players card?,Studio B Buffet,priority,0.07285964488983154,6.545919895172119
34,Any discount by showing your players card?,Studio B Buffet,$ 2,,6.545919895172119
35,Any dress code?,Eiffel Tower,a dress code,1.0,5.4995129108428955
36,Any dress code?,Eiffel Tower,a dress code,1.0,5.4995129108428955
37,Any dress code?,Eiffel Tower,a dress code,1.0,5.4995129108428955
