,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,your normal AYCE sushi,0.7983776116107951,0.064445734024048,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Best non-AYCE sushi bang for your bucks,0.5987832087080961,0.064445734024048,
2,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Hidden fees everywhere,0.676878052669155,0.119181871414185,
3,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Ground to 8th floor are busy. I suggest booking a room above 10th floor,0.376043362593975,0.119181871414185,
4,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Really enjoyed our stay! Great hotel!,0.318526158823544,0.119181871414185,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,love the location on this hotel and kid friendly,0.318526158823544,0.119181871414185,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Never returning,0.26543846568628604,0.119181871414185,
7,Air conditioning inside the carriage?,High Roller,Some of the rollers have a bar inside,1.18511602049647,0.133439064025879,
8,Air conditioning inside the carriage?,High Roller,Yes there is AC inside!,1.18511602049647,0.133439064025879,
9,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning,1.11280694902586,0.133439064025879,
10,Air conditioning inside the carriage?,High Roller,pay inside the store for a ticket,0.646426920270802,0.133439064025879,
11,Air conditioning inside the carriage?,High Roller,inside the pod is an asshole,0.507906865927059,0.133439064025879,
12,All you can eat?,Gangnam Asian BBQ Dining,You must eat here,1.75949020865927,0.110532283782959,1.0
13,All you can eat?,Gangnam Asian BBQ Dining,Great place to eat.,1.17299347243951,0.110532283782959,1.0
14,All you can eat?,Gangnam Asian BBQ Dining,Great place to eat!,1.17299347243951,0.110532283782959,1.0
15,All you can eat?,Gangnam Asian BBQ Dining,Delicious,0.879745104329635,0.110532283782959,1.0
16,All you can eat?,Gangnam Asian BBQ Dining,Very good,0.879745104329635,0.110532283782959,1.0
17,All you can eat?,Soho Japanese Restaurant,sushi,1.13465710284829,0.123425006866455,
18,All you can eat?,Soho Japanese Restaurant,One of the best places to eat!,0.85099282713622,0.123425006866455,
19,All you can eat?,Soho Japanese Restaurant,you'll want to eat everything,0.567328551424147,0.123425006866455,
20,All you can eat?,Soho Japanese Restaurant,"Great place to eat!  Very inexpensive, highly recommend it.",0.567328551424147,0.123425006866455,
21,All you can eat?,Soho Japanese Restaurant,Never eating sushi,0.42549641356811,0.123425006866455,
22,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,F A T T Y BRISKET,1.62690693811474,0.122654914855957,
23,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks,0.9515782546011508,0.122654914855957,
24,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Amazing food,0.5247422267619419,0.122654914855957,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Amazing bbq long wait but the food more than makes up for it.,0.5247422267619419,0.122654914855957,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Great spot.,0.4497790515102361,0.122654914855957,
27,Any discount by showing your players card?,Studio B Buffet,No discount with card,2.50664920575787,0.157855272293091,
28,Any discount by showing your players card?,Studio B Buffet,$5 off,1.6710994705052502,0.157855272293091,
29,Any discount by showing your players card?,Studio B Buffet,discount if you mention the discount and show ID,1.36726320314066,0.157855272293091,
30,Any discount by showing your players card?,Studio B Buffet,Err:511,1.21587639498951,0.157855272293091,
31,Any discount by showing your players card?,Studio B Buffet,"Go with someone thats has the ""m"" black card and skip the line!",0.835549735252623,0.157855272293091,
32,Any dress code?,Eiffel Tower,enforce their ridiculous dress code at dinner,0.311193487620685,0.069276571273804,5.0
33,Any food allergy menu?,Wicked Spoon,..,1.28141580378905,0.121411561965942,
34,Any food allergy menu?,Wicked Spoon,too much food,0.995084499613534,0.121411561965942,
35,Any food allergy menu?,Wicked Spoon,Much... Food...,0.995084499613534,0.121411561965942,
36,Any food allergy menu?,Wicked Spoon,Food is terrible!,0.995084499613534,0.121411561965942,
37,Any food allergy menu?,Wicked Spoon,The menu layout looks very promising,0.8542772025260359,0.121411561965942,
38,Any gluten free accomodations?,Meat & Potatoes,Gluten free and vegan options,1.48863603955153,0.037569999694824,
39,"Any kids pricing, between what age?",The Buffet at Bellagio,Price,0.877514216198022,0.120719909667969,
40,"Any kids pricing, between what age?",The Buffet at Bellagio,Paying lunch price for dinner,0.6581356621485159,0.120719909667969,
41,"Any kids pricing, between what age?",The Buffet at Bellagio,Eat before 4pm the price is only $20!,0.6581356621485159,0.120719909667969,
42,"Any kids pricing, between what age?",The Buffet at Bellagio,Legendary brunch for a decent price,0.6581356621485159,0.120719909667969,
43,"Any kids pricing, between what age?",The Buffet at Bellagio,price,0.585009477465348,0.120719909667969,
44,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Closed on Sundays :(,3.98470138477227,0.111415147781372,
45,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Closed 7/8 - 7/14,3.98470138477227,0.111415147781372,
46,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Closed for lunch on the weekends.,2.65646758984818,0.111415147781372,
47,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"If you don't know, now you know... the spot.",2.58167819055696,0.111415147781372,
48,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Closed for renovations until July 11,1.99235069238614,0.111415147781372,
49,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,.,1.1634761717967,0.209837913513184,
50,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Seriously one of the best restaurants,0.6980857030780201,0.209837913513184,
