,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,Maybe even order 3 to yourself!,0.5723879216084841,3.12969279289246,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,You might change your mind like me.,0.498892566660803,3.12969279289246,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials even if you've never like sashimi before.,0.480414527470265,3.12969279289246,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,If you appreciate sashimi try the Shima-Aji (Striped Jack) with Uni!,0.470843645464515,3.12969279289246,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Do yourself a favor eat here if you love fresh fish... also you can't go wrong ever here..we've tried alot of dishes and they are top notch!,0.4669024962670511,3.12969279289246,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"If you plan on using your cell provider's internet, it is impossible to get a connection in the rooms unless you sign up for the WIFI through the LINQ",0.773879086815788,0.240304946899414,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,I thought this was well known but this ended up taking so much time every time I rode the elevator!,0.750572115468542,0.240304946899414,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,They charge you for parking $8/day unless you have status.,0.7484239580134341,0.240304946899414,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"FYI: If you stay here w/ kids & Family members who are under 21, You are referred over to The Flamingo to go swimming just make sure you show them your card key from The LINQ",0.7471294184041078,0.240304946899414,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Valet is $13/day but you can go in and out as many times as you want.,0.743434532368801,0.240304946899414,
10,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning.,0.551185305676177,0.200718641281128,
11,Air conditioning inside the carriage?,High Roller,Over 525+ feet in the air.,0.4611553695965189,0.200718641281128,
12,Air conditioning inside the carriage?,High Roller,Buy an unopened beer down stairs before going into the lounge.,0.4537695326905501,0.200718641281128,
13,Air conditioning inside the carriage?,High Roller,Best viewing spot is to the right by the door as soon as you walk into the pod!,0.423763359027772,0.200718641281128,
14,Air conditioning inside the carriage?,High Roller,"If you're in the front of the line and they tell you to hurry and get inside the moving pod, HURRY and get inside the pod!",0.418738929438484,0.200718641281128,
15,All you can eat?,Gangnam Asian BBQ Dining,Not all you can eat.,0.92313797375515,0.18270468711853,4.0
16,All you can eat?,Gangnam Asian BBQ Dining,Go for the premium all you can eat.,0.843526349100396,0.18270468711853,5.0
17,All you can eat?,Gangnam Asian BBQ Dining,"Very good, 

not all you can eat though if that is what you are looking for.",0.8069757491621171,0.18270468711853,5.0
18,All you can eat?,Gangnam Asian BBQ Dining,"If you like the meat, you will have fabulous time here!",0.8011209480245259,0.18270468711853,1.0
19,All you can eat?,Gangnam Asian BBQ Dining,They have good quality meat which is very telling of a Korean BBQ establishment and also why you should avoid all you can eat joints,0.7957757850796608,0.18270468711853,5.0
20,All you can eat?,Soho Japanese Restaurant,I wish they had all you can eat sushi,0.842382769254827,0.178831100463867,
21,All you can eat?,Soho Japanese Restaurant,"Come hungry, you'll want to eat everything",0.8352761349452751,0.178831100463867,
22,All you can eat?,Soho Japanese Restaurant,Do yourself a favor eat here if you love fresh fish... also you can't go wrong ever here..we've tried alot of dishes and they are top notch!,0.806792736905033,0.178831100463867,
23,All you can eat?,Soho Japanese Restaurant,I cannot wait to eat here again.,0.7958110391838381,0.178831100463867,
24,All you can eat?,Soho Japanese Restaurant,"Plus, when you go early, you can get happy hour prices on a number of dishes.",0.76789985059774,0.178831100463867,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,The line is long but if you have some extra time it's worth the wait.,0.822158630131234,0.20243573188781694,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,And if there is it's because it's worth the wait!,0.7890753893238841,0.20243573188781694,
