,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,1.0000001192092896,3.2336363792419434
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala kart,0.595186710357666,3.2336363792419434
2,AYCE? Or ala carte?,Soho Japanese Restaurant,imitation crap,0.5036377310752869,3.2336363792419434
3,AYCE? Or ala carte?,Soho Japanese Restaurant,Yeah,0.3439306616783142,3.2336363792419434
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Terrific,0.23469960689544678,3.2336363792419434
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,After I called the next day they said it would be an extra charge,0.7307979464530945,3.9447662830352783
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Maybe this went away when they added resort fees?,0.6879329085350037,3.9447662830352783
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,30 something dollars per night,0.6382016539573669,3.9447662830352783
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$30 resort fee for my inconveniences - I argued that I was paying hundreds,0.5437829494476318,3.9447662830352783
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$34,,3.9447662830352783
10,Air conditioning inside the carriage?,High Roller,air conditioning.,0.7102318406105042,3.1671931743621826
11,Air conditioning inside the carriage?,High Roller,air conditioning to keep you cool,0.6222731471061707,3.1671931743621826
12,Air conditioning inside the carriage?,High Roller,It is fun from the start as you get on and off of the moving carriage.,0.5973067879676819,3.1671931743621826
13,Air conditioning inside the carriage?,High Roller,you standing outside waiting on the platform,0.25766387581825256,3.1671931743621826
14,Air conditioning inside the carriage?,High Roller,Vegas,0.10160176455974579,3.1671931743621826
15,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,1.0,3.7531626224517822
16,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,1.0,3.7531626224517822
17,All you can eat?,Gangnam Asian BBQ Dining,every thing,0.2928532660007477,3.7531626224517822
18,All you can eat?,Gangnam Asian BBQ Dining,The place is not,0.12329301238059998,3.7531626224517822
