,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,da shit,0.4850207269191742,5.4928483963012695,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,If your not asin your not eatin,0.4660875201225281,5.4928483963012695,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials,0.375600129365921,5.4928483963012695,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,Shima-Aji,,5.4928483963012695,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,:),,5.4928483963012695,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,ended up taking so much time every time I rode the elevator!,0.7374564409255981,1.0815098285675049,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Don't stay here unless you want filthy rooms that don't even get cleaned before check in! Oh and bring your own lotion,0.7218318581581116,1.0815098285675049,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,you can set an automatic check out time on your phone after you connect to wifi,0.7028971910476685,1.0815098285675049,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,After a phone call to our first Lyft pick up,0.5619615316390991,1.0815098285675049,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,LINQ,,1.0815098285675049,
10,Air conditioning inside the carriage?,High Roller,Best viewing spot is to the right by the door as soon as you walk into the pod!,0.4237633645534515,0.2580564022064209,
11,Air conditioning inside the carriage?,High Roller,Our pod was empty,0.2840289771556854,0.2580564022064209,
12,Air conditioning inside the carriage?,High Roller,Buy an unopened beer,0.22398322820663447,0.2580564022064209,
13,Air conditioning inside the carriage?,High Roller,Ride,0.18013320863246918,0.2580564022064209,
14,Air conditioning inside the carriage?,High Roller,Vegas,0.13898855447769165,0.2580564022064209,
15,All you can eat?,Gangnam Asian BBQ Dining,though if that is what you are looking for,0.6570777297019958,2.6758289337158203,1.0
16,All you can eat?,Gangnam Asian BBQ Dining,here,0.4706137180328369,2.6758289337158203,1.0
17,All you can eat?,Gangnam Asian BBQ Dining,Go for the premium,0.4419566988945007,2.6758289337158203,1.0
18,All you can eat?,Gangnam Asian BBQ Dining,joints,0.21373970806598666,2.6758289337158203,1.0
19,All you can eat?,Gangnam Asian BBQ Dining,ymmmmmmmm,,2.6758289337158203,1.0
20,All you can eat?,Soho Japanese Restaurant,They make sure you don't leave hungry,0.7626123428344727,0.2544879913330078,
21,All you can eat?,Soho Japanese Restaurant,here if you love fresh fish,0.6888880729675293,0.2544879913330078,
22,All you can eat?,Soho Japanese Restaurant,everything,0.4412533044815064,0.2544879913330078,
