,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,It comes with the NY steak but you can also order it ala carte.,0.6055169220784941,1.9481451511383057
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Their prices are super reasonable for ala kart.,0.5334916073884811,1.9481451511383057
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Not that imitation crap....best sushi I've ever had.,0.4683115854038271,1.9481451511383057
3,AYCE? Or ala carte?,Soho Japanese Restaurant,"lol

Yeah, those 5 stars are well-deserved !",0.45492636506757944,1.9481451511383057
4,AYCE? Or ala carte?,Soho Japanese Restaurant,"Terrific service, delicious sushi etc, etc etc.",0.4486992108947728,1.9481451511383057
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,After I called the next day they said it would be an extra charge.,0.7304221617500533,2.5088207721710205
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"They added on a $34 ""resort fee"" plus $10 for parking.",0.729347760618326,2.5088207721710205
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"As well as charge for""Amenities""an extra 30 something dollars per night.",0.7200266455939663,2.5088207721710205
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,(Maybe this went away when they added resort fees?),0.6874482667419363,2.5088207721710205
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"However they only removed the resort fees for 2 nights (I stayed 5 nights total, for a total around $1,000...), approx $70 and made a point of reminding me I already had a food voucher!",0.6699529178702547,2.5088207721710205
10,Air conditioning inside the carriage?,High Roller,It also has air conditioning.,0.7044903700107393,1.8799166679382324
11,Air conditioning inside the carriage?,High Roller,It has air conditioning to keep you cool.,0.6222458290145818,1.8799166679382324
