,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.6060615049534998,2.1279726028442383
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala kart,0.5345558760698994,2.1279726028442383
2,AYCE? Or ala carte?,Soho Japanese Restaurant,imitation crap,0.4684094431981711,2.1279726028442383
3,AYCE? Or ala carte?,Soho Japanese Restaurant,Yeah,0.45402546246399655,2.1279726028442383
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Terrific,0.44837181423850825,2.1279726028442383
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,After I called the next day they said it would be an extra charge,0.7307980092995778,2.8235275745391846
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$34,0.7306473021931938,2.8235275745391846
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,30 something dollars per night,0.7162514253411961,2.8235275745391846
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Maybe this went away when they added resort fees?,0.6879328795168336,2.8235275745391846
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$30 resort fee for my inconveniences - I argued that I was paying hundreds,0.670471987560948,2.8235275745391846
10,Air conditioning inside the carriage?,High Roller,air conditioning.,0.7026507328123424,2.1074330806732178
11,Air conditioning inside the carriage?,High Roller,air conditioning to keep you cool,0.6222731258461065,2.1074330806732178
12,Air conditioning inside the carriage?,High Roller,It is fun from the start as you get on and off of the moving carriage.,0.5973067901982156,2.1074330806732178
13,Air conditioning inside the carriage?,High Roller,Vegas,0.579924025159623,2.1074330806732178
14,Air conditioning inside the carriage?,High Roller,you standing outside waiting on the platform,0.5791608902997375,2.1074330806732178
15,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,1.0000000070928978,2.6678433418273926
16,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,1.0000000070928978,2.6678433418273926
17,All you can eat?,Gangnam Asian BBQ Dining,The place is not,0.9092873550064112,2.6678433418273926
18,All you can eat?,Gangnam Asian BBQ Dining,10/10,0.8675337318966927,2.6678433418273926
19,All you can eat?,Gangnam Asian BBQ Dining,every thing,0.8547998197001717,2.6678433418273926
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,0.9999999858022758,1.9178376197814941
21,All you can eat?,Soho Japanese Restaurant,This place,0.9143882532907585,1.9178376197814941
22,All you can eat?,Soho Japanese Restaurant,use to only eat all you can eat but I realized quantity doesn't satisfy me after having soho,0.8425745505689299,1.9178376197814941
23,All you can eat?,Soho Japanese Restaurant,10 of these,0.8167265475929351,1.9178376197814941
24,All you can eat?,Soho Japanese Restaurant,Everything is super fresh,0.8156258690611443,1.9178376197814941
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Thanks, little miss!",0.6306204043900329,2.1419525146484375
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,bit overwhelmed when it was my turn to order,0.6082595181195241,2.1419525146484375
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,a long wait time,0.58647187983777,2.1419525146484375
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks again guys.,0.5842295894764836,2.1419525146484375
