,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,2.725938905054167,2.024606466293335
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,2.725938905054167,2.024606466293335
2,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,2.1807511240433337,2.024606466293335
3,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,2.175547700431379,2.024606466293335
4,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,1.8172926033694445,2.024606466293335
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,3.9961991704187896,2.4881985187530518
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,3.6397601960763803,2.4881985187530518
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,3.2934825388426936,2.4881985187530518
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,3.2934825388426936,2.4881985187530518
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,3.1367332277142728,2.4881985187530518
10,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP] in the air,4.746504390675635,1.8542053699493408
11,Air conditioning inside the carriage?,High Roller,pods,3.4252560402003005,1.8542053699493408
12,Air conditioning inside the carriage?,High Roller,it also has air conditioning,3.4252560402003005,1.8542053699493408
13,Air conditioning inside the carriage?,High Roller,pods,3.4252560402003005,1.8542053699493408
14,Air conditioning inside the carriage?,High Roller,enclosed,3.4252560402003005,1.8542053699493408
15,All you can eat?,Gangnam Asian BBQ Dining,it ' s not all you can eat,3.657376501331096,1.8586044311523438
16,All you can eat?,Gangnam Asian BBQ Dining,all you can eat,3.657376501331096,1.8586044311523438
17,All you can eat?,Gangnam Asian BBQ Dining,come here and eat,1.828688250665548,1.8586044311523438
18,All you can eat?,Gangnam Asian BBQ Dining,once a week,1.828688250665548,1.8586044311523438
19,All you can eat?,Gangnam Asian BBQ Dining,i would eat here again .,1.828688250665548,1.8586044311523438
20,All you can eat?,Soho Japanese Restaurant,they do not have all you can eat,3.8555691891160264,1.7452094554901123
21,All you can eat?,Soho Japanese Restaurant,hard to eat,1.9277845945580132,1.7452094554901123
22,All you can eat?,Soho Japanese Restaurant,this place is not all you can eat,1.9277845945580132,1.7452094554901123
23,All you can eat?,Soho Japanese Restaurant,meat,1.9277845945580132,1.7452094554901123
24,All you can eat?,Soho Japanese Restaurant,eat,1.9277845945580132,1.7452094554901123
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thank you to all of you .,5.060761240731799,2.1367862224578857
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thank you thank you pitmaster,3.373840827154533,2.1367862224578857
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,if you have to pick a sauce,2.7397357877949924,2.1367862224578857
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,my soul thanks you .,2.5303806203658996,2.1367862224578857
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,my body thanks,2.5303806203658996,2.1367862224578857
30,Any discount by showing your players card?,Studio B Buffet,no discounted rates,4.316742791109551,1.9741852283477783
31,Any discount by showing your players card?,Studio B Buffet,he showed me where everything was .,2.7062308856464004,1.9741852283477783
32,Any discount by showing your players card?,Studio B Buffet,show them your receipt,2.7062308856464004,1.9741852283477783
33,Any discount by showing your players card?,Studio B Buffet,$ 2,2.4667101663483146,1.9741852283477783
34,Any discount by showing your players card?,Studio B Buffet,1,2.4667101663483146,1.9741852283477783
35,Any dress code?,Eiffel Tower,a dress code,5.135070119803683,1.7924683094024658
36,Any dress code?,Eiffel Tower,no,5.135070119803683,1.7924683094024658
37,Any dress code?,Eiffel Tower,a dress code,5.135070119803683,1.7924683094024658
38,Any dress code?,Eiffel Tower,a dress code,5.135070119803683,1.7924683094024658
39,Any dress code?,Eiffel Tower,a dress code,5.135070119803683,1.7924683094024658
40,Any food allergy menu?,Wicked Spoon,food allergy menu ? [SEP] they serve the same menu,2.7921342448581563,2.2429304122924805
41,Any food allergy menu?,Wicked Spoon,do not eat here if you have severe allergies,2.584821464888204,2.2429304122924805
42,Any food allergy menu?,Wicked Spoon,food,2.0509486222369557,2.2429304122924805
43,Any food allergy menu?,Wicked Spoon,food allergy menu ? [SEP] but the food,2.0509486222369557,2.2429304122924805
44,Any food allergy menu?,Wicked Spoon,food,2.0509486222369557,2.2429304122924805
45,Any gluten free accomodations?,Meat & Potatoes,gluten - intolerant .,3.9571992334434216,2.2655251026153564
46,Any gluten free accomodations?,Meat & Potatoes,meat was fresh,1.4730184645105577,2.2655251026153564
47,Any gluten free accomodations?,Meat & Potatoes,champagne,1.3631572356437467,2.2655251026153564
48,Any gluten free accomodations?,Meat & Potatoes,parking,1.1359643630364555,2.2655251026153564
49,Any gluten free accomodations?,Meat & Potatoes,free samples of gin,1.1359643630364555,2.2655251026153564
50,"Any kids pricing, between what age?",The Buffet at Bellagio,"any kids pricing , between what age ? [SEP]",5.543028189920883,2.0429296493530273
51,"Any kids pricing, between what age?",The Buffet at Bellagio,"any kids pricing , between what age ? [SEP]",5.543028189920883,2.0429296493530273
52,"Any kids pricing, between what age?",The Buffet at Bellagio,"any kids pricing , between what age ? [SEP]",5.543028189920883,2.0429296493530273
53,"Any kids pricing, between what age?",The Buffet at Bellagio,"pricing , between what age ? [SEP]",5.543028189920883,2.0429296493530273
54,"Any kids pricing, between what age?",The Buffet at Bellagio,no,3.5765245789654645,2.0429296493530273
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,5.622561208845356,2.5707831382751465
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,5.622561208845356,2.5707831382751465
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,locals,5.364379800790274,2.5707831382751465
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,5.300590062914944,2.5707831382751465
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,5.300590062914944,2.5707831382751465
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarian options,3.8650230040735885,2.463083505630493
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarian,3.510317719765377,2.463083505630493
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarians,3.3460991925901027,2.463083505630493
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegan or vegetarian,2.996286272975737,2.463083505630493
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegan or vegetarian,2.963669402417609,2.463083505630493
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,i came here on a monday,7.782536567224604,2.53437876701355
66,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,it was a thursday,6.767007434098111,2.53437876701355
67,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,there was no line,6.207391646162688,2.53437876701355
68,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,thank you so much !,5.817926879400964,2.53437876701355
69,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,oyster,5.817926879400964,2.53437876701355
70,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,$ 20,12.4344956215086,2.668701648712158
71,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,looking to go to hakkasan on sat 7 / 28 [SEP] only $ 20 for girls,7.910936223776061,2.668701648712158
72,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,looking,6.220590170099739,2.668701648712158
73,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,looking,6.2172478107543,2.668701648712158
74,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,looking,6.2172478107543,2.668701648712158
75,Any special menu items for the 4th of July 2018?,Studio B Buffet,july 4th about 5 : 30 .,4.975759299544068,2.006633996963501
76,Any special menu items for the 4th of July 2018?,Studio B Buffet,over 200,2.8398814918661834,2.006633996963501
77,Any special menu items for the 4th of July 2018?,Studio B Buffet,christmas special,2.733862224983925,2.006633996963501
78,Any special menu items for the 4th of July 2018?,Studio B Buffet,all over the world,2.5079996295268785,2.006633996963501
79,Any special menu items for the 4th of July 2018?,Studio B Buffet,celebrating her brother michael ' s birthday for the 4th of july,2.487879649772034,2.006633996963501
80,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,wondering if they can whip up some avocado toast,9.122634708784082,3.06264066696167
81,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,wondering if they can whip up some avocado toast,9.122634708784082,3.06264066696167
82,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,wondering if they can whip up some avocado toast,9.122634708784082,3.06264066696167
83,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,wondering if they can whip up some avocado toast,9.122634708784082,3.06264066696167
84,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,wondering if they can whip up some avocado toast,9.122634708784082,3.06264066696167
85,Any vegetarian options?,Wicked Spoon,a lot of vegetarian options,3.3234479493194797,2.0994527339935303
86,Any vegetarian options?,Wicked Spoon,do,3.1229762004102364,2.0994527339935303
87,Any vegetarian options?,Wicked Spoon,vegetarian,3.1229762004102364,2.0994527339935303
88,Any vegetarian options?,Wicked Spoon,not many vegetarian options,2.592821836444231,2.0994527339935303
89,Any vegetarian options?,Wicked Spoon,vegetarian options,2.592821836444231,2.0994527339935303
90,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,fremont experience at christmas time ? [SEP],2.61090221172382,1.9724795818328857
91,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,an,2.61090221172382,1.9724795818328857
92,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,just,2.61090221172382,1.9724795818328857
