,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,da shit!!,0.4850207269191742,7.219216823577881,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,If your not asin your not eatin,0.4660875201225281,7.219216823577881,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Green tea brulee is heaven!  You won't be disappointed :),0.3936597406864166,7.219216823577881,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials,0.375600129365921,7.219216823577881,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Uni! Amazeballs,0.11065810918807983,7.219216823577881,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,They're too cheap to provide any in the rooms,0.7181060314178467,2.404798984527588,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,I had no idea Uber and Lyft had designated pick up/drop off areas everywhere on the strip,0.6544174551963806,2.404798984527588,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,scan your card then hit the button,0.5371092557907104,2.404798984527588,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,using your cell provider's internet,0.4939377009868622,2.404798984527588,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Upgrade options are available,0.3742513358592987,2.404798984527588,
10,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning,0.5511853098869324,0.5361039638519287,
11,Air conditioning inside the carriage?,High Roller,Over 525+ feet in the air,0.4611553549766541,0.5361039638519287,
12,Air conditioning inside the carriage?,High Roller,Buy an unopened beer down stairs before going into the lounge,0.4537695348262787,0.5361039638519287,
13,Air conditioning inside the carriage?,High Roller,Best viewing spot is to the right by the door as soon as you walk into the pod!,0.4237633645534515,0.5361039638519287,
14,Air conditioning inside the carriage?,High Roller,Ride is 45 minutes long to do one rotation so make sure you go to the bathroom before bringing your drinks to party,0.4174721539020538,0.5361039638519287,
15,All you can eat?,Gangnam Asian BBQ Dining,You must eat here,0.8940608501434326,2.960157871246338,
16,All you can eat?,Gangnam Asian BBQ Dining,Very good,0.4154268801212311,2.960157871246338,
17,All you can eat?,Gangnam Asian BBQ Dining,joints,0.21373970806598666,2.960157871246338,
18,All you can eat?,Gangnam Asian BBQ Dining,Delicious,0.17987769842147827,2.960157871246338,
19,All you can eat?,Gangnam Asian BBQ Dining,ymmmmmmmm,,2.960157871246338,
20,All you can eat?,Soho Japanese Restaurant,you'll want to eat everything,0.8612975478172302,1.427562952041626,
21,All you can eat?,Soho Japanese Restaurant,You may never have heard of many of the dishes,0.6923119425773621,1.427562952041626,
22,All you can eat?,Soho Japanese Restaurant,alot of dishes,0.3928788900375366,1.427562952041626,
23,All you can eat?,Soho Japanese Restaurant,$30-40 per person,0.3219539523124695,1.427562952041626,
24,All you can eat?,Soho Japanese Restaurant,sushi,0.27248090505599976,1.427562952041626,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Best around, you may wait a while but it is WELL worth it.",0.7712469100952148,0.6152830123901367,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,If you don't think any other part of the experience isn't the best of the best...you are crazy.,0.762451171875,0.6152830123901367,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,chance are they will be sold out,0.5718085169792175,0.6152830123901367,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,The best brisket of my life,0.5019970536231995,0.6152830123901367,
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,I have owned and operated 3 restaurants,0.3499177098274231,0.6152830123901367,
30,Any discount by showing your players card?,Studio B Buffet,No discount with card,0.7537747621536255,0.4059607982635498,
31,Any discount by showing your players card?,Studio B Buffet,discount if you mention the discount and show ID,0.7018958926200867,0.4059607982635498,
32,Any discount by showing your players card?,Studio B Buffet,"Go with someone thats has the ""m"" black card and skip the line!",0.6229070425033569,0.4059607982635498,
33,Any discount by showing your players card?,Studio B Buffet,$5 off,0.3105350434780121,0.4059607982635498,
34,Any discount by showing your players card?,Studio B Buffet,=(,,0.4059607982635498,
35,Any dress code?,Eiffel Tower,enforce their ridiculous dress code at dinner,0.6722708344459534,0.5284192562103271,
36,Any dress code?,Eiffel Tower,You should check out the menu on- line,0.3973320424556732,0.5284192562103271,
37,Any dress code?,Eiffel Tower,for dessert,0.2911493480205536,0.5284192562103271,
38,Any dress code?,Eiffel Tower,a sip of your drink,0.2887975871562958,0.5284192562103271,
39,Any dress code?,Eiffel Tower,second choice the caramel,0.26662498712539673,0.5284192562103271,
40,Any food allergy menu?,Wicked Spoon,Gourmet food & gourmet dessert!,0.6308920383453369,0.6936759948730469,
41,Any food allergy menu?,Wicked Spoon,"Wicked buffet with all the fattening, healthy foods and desserts! 1 stop shop! :) Not bad for the $22 price tag",0.6063888072967529,0.6936759948730469,
42,Any food allergy menu?,Wicked Spoon,Unique dishes its just awesome food,0.5581483840942383,0.6936759948730469,
43,Any food allergy menu?,Wicked Spoon,Heaven,0.1331162303686142,0.6936759948730469,
44,Any food allergy menu?,Wicked Spoon,againÂ£,0.05596960335969925,0.6936759948730469,
45,Any gluten free accomodations?,Meat & Potatoes,Gluten free and vegan options,0.7245882749557495,0.9034740924835204,
46,Any gluten free accomodations?,Meat & Potatoes,If you order the Chicken and Waffles for brunch,0.4744630455970764,0.9034740924835204,
47,Any gluten free accomodations?,Meat & Potatoes,"The bartenders can make anything to drink, I mean anything",0.406409353017807,0.9034740924835204,
48,Any gluten free accomodations?,Meat & Potatoes,a small blanket,0.2759505808353424,0.9034740924835204,
49,Any gluten free accomodations?,Meat & Potatoes,YUM,,0.9034740924835204,
50,"Any kids pricing, between what age?",The Buffet at Bellagio,weekdays- means that's at what time you pay,0.6011390686035156,0.4743497371673584,
51,"Any kids pricing, between what age?",The Buffet at Bellagio,too pricy,0.5108454823493958,0.4743497371673584,
52,"Any kids pricing, between what age?",The Buffet at Bellagio,Sorry Bellagio 1 star if I can give you 0 star I would,0.4444213509559631,0.4743497371673584,
53,"Any kids pricing, between what age?",The Buffet at Bellagio,price,0.44089660048484797,0.4743497371673584,
54,"Any kids pricing, between what age?",The Buffet at Bellagio,$40 per person,0.3996948003768921,0.4743497371673584,
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Server advised me that Monday and Tuesday lunch usually aren't busy,0.7111450433731079,0.5177237987518309,
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Guess we'll just have to come back next time.,0.7070927023887634,0.5177237987518309,
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,down the best Thai food,0.6013587117195129,0.5177237987518309,
