,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,Maybe even order 3 to yourself!,0.3665696775406908,0.2487115859985352,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,"My fave was the Firecracker roll, Fried mushrooms, Cajun Albacore Sashimi (see pic).",0.32972613028651004,0.2487115859985352,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,You gotta come to know what I mean!!,0.3164634184876089,0.2487115859985352,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,"lol  

My favorites from last night:
1.",0.31596290955287043,0.2487115859985352,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,"My go to favs here: hamachi kama, uni duo, yellowtail sashimi with yuzu.",0.31542057735679263,0.2487115859985352,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,I thought this was well known but this ended up taking so much time every time I rode the elevator!,0.5232799159198039,0.11391329765319826,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$10/day charge if you want one.,0.5006249029432159,0.11391329765319826,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,They charge you for parking $8/day unless you have status.,0.4601688548076806,0.11391329765319826,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,You have to put  $20 in the slots to get a free drink,0.4589322583707524,0.11391329765319826,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Valet is $13/day but you can go in and out as many times as you want.,0.4547836403249352,0.11391329765319826,
10,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning.,0.5657460288597143,0.07534241676330566,
11,Air conditioning inside the carriage?,High Roller,Over 525+ feet in the air.,0.4318636294938918,0.07534241676330566,
12,Air conditioning inside the carriage?,High Roller,Go around 1:30 AM and you'll get your own cabin thing :),0.4116748230026648,0.07534241676330566,
13,Air conditioning inside the carriage?,High Roller,Had a cabin to ourselves... Had a good time with the kids!,0.3845560177497605,0.07534241676330566,
14,Air conditioning inside the carriage?,High Roller,Ride is 45 minutes long to do one rotation so make sure you go to the bathroom before bringing your drinks to party!,0.3721434411861493,0.07534241676330566,
15,All you can eat?,Gangnam Asian BBQ Dining,Not all you can eat.,0.999999950731901,0.19753217697143555,4.0
16,All you can eat?,Gangnam Asian BBQ Dining,it was good time to eat at gangnam.,0.8857771779846734,0.19753217697143555,1.0
17,All you can eat?,Gangnam Asian BBQ Dining,Will definitely eat here again.,0.8474216679416579,0.19753217697143555,1.0
18,All you can eat?,Gangnam Asian BBQ Dining,It's fun to cook and eat the food!,0.7989059928826785,0.19753217697143555,1.0
19,All you can eat?,Gangnam Asian BBQ Dining,Good place to eat Korean bbq!,0.7318963511359343,0.19753217697143555,1.0
20,All you can eat?,Soho Japanese Restaurant,I cannot wait to eat here again.,0.7949582126448265,0.0935800075531006,
21,All you can eat?,Soho Japanese Restaurant,I wish they had all you can eat sushi,0.7688095593915735,0.0935800075531006,
22,All you can eat?,Soho Japanese Restaurant,"Come hungry, you'll want to eat everything",0.7090233255906926,0.0935800075531006,
23,All you can eat?,Soho Japanese Restaurant,One of the best places to eat!,0.6928532587994589,0.0935800075531006,
24,All you can eat?,Soho Japanese Restaurant,You know a place is good when they get me eat deep fried shrimp head!,0.6226306031126708,0.0935800075531006,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Amazing bbq long wait but the food more than makes up for it.,0.4765181368133855,0.10022258758544922,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"And yes, worth the long wait in line",0.4731633846885528,0.10022258758544922,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Best bbq in brisket is amazing, must see worth the hour line.",0.4730918201024231,0.10022258758544922,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks for the Best Brisket and Turkey this Thanksgiving!!,0.4726242381228714,0.10022258758544922,
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,I can't decide if thus place was 5 stars or if I should just open up a BBQ joint and sell my product either way the place is good food is good,0.4645676498841078,0.10022258758544922,
30,Any discount by showing your players card?,Studio B Buffet,They don't give anymore 2 for 1 buffet coupons when you sign up for a players card.,0.7444992486794616,0.15062975883483887,
31,Any discount by showing your players card?,Studio B Buffet,CA residents get $5 discount if you mention the discount and show ID.,0.6586529050625329,0.15062975883483887,
32,Any discount by showing your players card?,Studio B Buffet,"Go with someone thats has the ""m"" black card and skip the line!",0.573260684224098,0.15062975883483887,
33,Any discount by showing your players card?,Studio B Buffet,"I was with Mormons or else I would have taken advantage of the unlimited, complimentary beer/wine so I will DEFINITELY be back!",0.4283780321791421,0.15062975883483887,
34,Any discount by showing your players card?,Studio B Buffet,"During the week (Mon-Thurs), the price is only $25 a person and still includes beer, wine, and a very large selection of food.",0.4107981030376132,0.15062975883483887,
35,Any dress code?,Eiffel Tower,They enforce their ridiculous dress code at dinner.,0.8077007571026773,0.056166648864746094,5.0
36,Any dress code?,Eiffel Tower,Wear a collared shirt - my boyfriend's $300 shirt with no collar was unacceptable while the guy whose belly was showing in a mesh sports shirt with the tiniest collar I've ever seen didn't have a problem.,0.4684808564726155,0.056166648864746094,5.0
37,Any dress code?,Eiffel Tower,You should check out the menu on- line and be prepared to pay for the ambience you get,0.3630069139348176,0.056166648864746094,1.0
38,Any dress code?,Eiffel Tower,"If you love a souffl̩ dessert, make sure to ask for the dessert menu early on so you can see your choices and have time for them to cook.....",0.3493039953702688,0.056166648864746094,1.0
39,Any dress code?,Eiffel Tower,"If you want to have the chocolate souffl̩ for dessert, make sure you order it when you order your dinner.",0.3306334552199479,0.056166648864746094,1.0
40,Any food allergy menu?,Wicked Spoon,A good selection of gourmet food and 'regular' food.,0.5712345472574406,0.20144391059875488,
41,Any food allergy menu?,Wicked Spoon,"After an hour of eating, they switch over to rhe dinner menu!",0.5418963291334683,0.20144391059875488,
42,Any food allergy menu?,Wicked Spoon,The food is delicious here!,0.5291642858469031,0.20144391059875488,
43,Any food allergy menu?,Wicked Spoon,This has to be one of the tastiest and unique buffet with its individually plated food from Salad to Dessert a gourmet buffet if there is such a thing !,0.5271972424514245,0.20144391059875488,
44,Any food allergy menu?,Wicked Spoon,Foods tasted like real gourmet dishes even tho its a buffet!,0.5073676867986345,0.20144391059875488,
45,Any gluten free accomodations?,Meat & Potatoes,Gluten free and vegan options on their lenten menu!,0.7506117249410212,0.06241655349731445,
46,Any gluten free accomodations?,Meat & Potatoes,Make a reservation or eat at the bar.,0.4433284562738377,0.06241655349731445,
47,Any gluten free accomodations?,Meat & Potatoes,Make reservations and order one of their speciality drinks.,0.4220198484098763,0.06241655349731445,
48,Any gluten free accomodations?,Meat & Potatoes,"I like bone marrow, however to have to add thr toppings each time doesnt it make it enjoyable.",0.38684911475969397,0.06241655349731445,
49,Any gluten free accomodations?,Meat & Potatoes,"If you order the Chicken and Waffles for brunch, don't plan on eating for the rest of the day!",0.3852369123135769,0.06241655349731445,
