,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,"Or like me, order one (or a few) of everything.",0.5802475721946039,4.140527248382568,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,It comes with the NY steak but you can also order it ala carte.,0.5558138113354322,4.140527248382568,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,And dont skip the dessert either.,0.5546354889733417,4.140527248382568,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,Try it if you dare ;) I swear...ghost chili is sweet.,0.5459840981027166,4.140527248382568,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,"If you like urchin, definitely go for the uni sushi!",0.5424976882232944,4.140527248382568,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"By the time you add up the price of the bucket of beers and water, you aren't paying that much of a fee for the bed and the safe was worth it.",0.8689646894344868,1.5599894523620603,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"As for the things that they can fix, I think the incidentals charge is really high at $75/night, especially when you stay for longer than 3 nights and pay the resort fee on top of that.",0.8627322409874314,1.5599894523620603,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,How is that the room was $355 roughly for two nights yet we had already paid over $500 and you want to argue?,0.8609111827371714,1.5599894523620603,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"Apparently, they couldn't do that and the hotel instead charged me double and the refunded the first charges a few days after checking out (wasn't fun having close to $600 missing from your bank account for a good week).",0.8574376771521816,1.5599894523620603,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"First of all, just know that there is a ""resort"" fee that you will have to pay which is anywhere from $25-$40/day at any of the hotels you stay at on the strip.What's included with your ""resort"" fee?",0.8550073820970832,1.5599894523620603,
10,Air conditioning inside the carriage?,High Roller,It also has air conditioning.,0.6688274390767903,1.3195140361785889,
