,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,It comes with the NY steak but you can also order it ala carte.,0.605516922078494,1.94814515113831,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Their prices are super reasonable for ala kart.,0.533491607388481,1.94814515113831,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Not that imitation crap....best sushi I've ever had.,0.4683115854038271,1.94814515113831,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,"lol

Yeah, those 5 stars are well-deserved !",0.454926365067579,1.94814515113831,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,"Terrific service, delicious sushi etc, etc etc.",0.44869921089477294,1.94814515113831,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,After I called the next day they said it would be an extra charge.,0.730422161750053,2.50882077217102,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"They added on a $34 ""resort fee"" plus $10 for parking.",0.729347760618326,2.50882077217102,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"As well as charge for""Amenities""an extra 30 something dollars per night.",0.7200266455939659,2.50882077217102,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,(Maybe this went away when they added resort fees?),0.687448266741936,2.50882077217102,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"However they only removed the resort fees for 2 nights (I stayed 5 nights total, for a total around $1,000...), approx $70 and made a point of reminding me I already had a food voucher!",0.669952917870255,2.50882077217102,
10,Air conditioning inside the carriage?,High Roller,It also has air conditioning.,0.704490370010739,1.87991666793823,
11,Air conditioning inside the carriage?,High Roller,It has air conditioning to keep you cool.,0.622245829014582,1.87991666793823,
12,Air conditioning inside the carriage?,High Roller,It is fun from the start as you get on and off of the moving carriage.,0.5935204011161971,1.87991666793823,
13,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning.,0.5799388647488111,1.87991666793823,
14,Air conditioning inside the carriage?,High Roller,"That's our only complaint, they have you standing outside waiting on the platform instead of inside in the air conditioning.",0.5777448828807579,1.87991666793823,
15,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,0.9999999843724308,2.2091448307037402,4.0
16,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,0.9999999843724308,2.2091448307037402,4.0
17,All you can eat?,Gangnam Asian BBQ Dining,The place is not all you can eat.,0.9095651708380528,2.2091448307037402,4.0
18,All you can eat?,Gangnam Asian BBQ Dining,"Plus, if you can't eat every thing you can just pack everything you can't eat.",0.851952603689124,2.2091448307037402,2.0
19,All you can eat?,Gangnam Asian BBQ Dining,Come here and eat if you can!,0.829311224026617,2.2091448307037402,2.0
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,0.99999999382529,1.64126300811768,
21,All you can eat?,Soho Japanese Restaurant,This place is not all you can eat.,0.913969575186695,1.64126300811768,
22,All you can eat?,Soho Japanese Restaurant,I use to only eat all you can eat but I realized quantity doesn't satisfy me after having soho.,0.8410364452726079,1.64126300811768,
23,All you can eat?,Soho Japanese Restaurant,i could eat 10 of these.,0.8194937738488871,1.64126300811768,
24,All you can eat?,Soho Japanese Restaurant,Everything is super fresh and I even love the uni which I never liked to eat but now this is the only place ill eat it.,0.814998436289067,1.64126300811768,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Even though I had gotten to sample a couple of items while waiting, and got to see how the ordering/serving process worked, I was still a bit overwhelmed when it was my turn to order.",0.608030142009459,1.79707551002502,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks for the experience guys!,0.587252229763467,1.79707551002502,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks guys for making my visit incredible!,0.585364695144533,1.79707551002502,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"You'll still have a long wait time, but you'll get your pick of the lot before they run out.",0.580397465168799,1.79707551002502,
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thank you for all of the hard work and early hours you guys put in to make the best bbq in AZ.,0.5794630481987579,1.79707551002502,
30,Any discount by showing your players card?,Studio B Buffet,$26.99 (-$2 if you get a M players card!),0.808273745787193,2.7921996116638197,
31,Any discount by showing your players card?,Studio B Buffet,- No discounted rates for having a players card.,0.8033917399444529,2.7921996116638197,
32,Any discount by showing your players card?,Studio B Buffet,"But best of all, the price is right with the players card.",0.7725402337333821,2.7921996116638197,
33,Any discount by showing your players card?,Studio B Buffet,The wait is a wait as it is at every buffet in Vegas but if you have a players card then you get priority so get the players card.,0.7587908263355351,2.7921996116638197,
34,Any discount by showing your players card?,Studio B Buffet,sign up for the players card before heading over to the buffet - it's free.,0.7373156508713199,2.7921996116638197,
35,Any dress code?,Eiffel Tower,There is a dress code.,1.00000002364483,2.25320982933044,4.0
36,Any dress code?,Eiffel Tower,There's a dress code.,1.00000002364483,2.25320982933044,4.0
37,Any dress code?,Eiffel Tower,There was no dress code??!,1.00000002364483,2.25320982933044,2.0
38,Any dress code?,Eiffel Tower,"Also, there is a dress code.",0.949699165332782,2.25320982933044,4.0
39,Any dress code?,Eiffel Tower,"So if you come for dinner, dress code!",0.905144962044543,2.25320982933044,5.0
40,Any food allergy menu?,Wicked Spoon,"Being a foodie with a gluten allergy can sometimes be a huge challenge, especially when it comes to buffets!",0.7227334397348721,7.07426404953003,
41,Any food allergy menu?,Wicked Spoon,"As someone with a gluten allergy, the staff was very accommodating to my needs.",0.711838075549919,7.07426404953003,
42,Any food allergy menu?,Wicked Spoon,Also the chefs behind the food are helpful and extremely friendly (gluten allergies),0.7046751258486659,7.07426404953003,
43,Any food allergy menu?,Wicked Spoon,DO NOT eat here if you have severe allergies.,0.701442476041296,7.07426404953003,
44,Any food allergy menu?,Wicked Spoon,"WARNING, IF YOU HAVE A PEANUT ALLERGY YOU CAN'T EAT AT 1/4 OF THE BUFFET.",0.678910455124653,7.07426404953003,
45,Any gluten free accomodations?,Meat & Potatoes,"I have celiac Meat & Potatoes, you would thing they would have more options for gluten fee.",0.629550823326273,1.9722197055816697,
46,Any gluten free accomodations?,Meat & Potatoes,"The staff was friendly and accommodating, and I can be a pain in the butt sometimes (gluten) so it was nice to feel taken-care of.",0.6173209996626939,1.9722197055816697,
47,Any gluten free accomodations?,Meat & Potatoes,"Now I wasn't expecting a free meal, but they could have offered us a comped drink or dessert, but nothing was offered for the inconvenience of 2 incorrect meals.",0.5005582617858549,1.9722197055816697,
48,Any gluten free accomodations?,Meat & Potatoes,They catered to my mom (who's vegan) and quality was not anything below 5 stars!,0.49984074490737995,1.9722197055816697,
49,Any gluten free accomodations?,Meat & Potatoes,I have food allergies and they were great about handling them.,0.495191973053122,1.9722197055816697,
50,"Any kids pricing, between what age?",The Buffet at Bellagio,$200 for a family of 2 adults and 2 kids under 6 years of age - expensive?,0.8476202213161209,4.20696496963501,
51,"Any kids pricing, between what age?",The Buffet at Bellagio,The price was $50 for everyone over age 4.,0.8237915294561641,4.20696496963501,
52,"Any kids pricing, between what age?",The Buffet at Bellagio,"Then my husband asked ""if you can't put an age on it, why is over the age of 3 charged at adult rate?",0.805881210556554,4.20696496963501,
53,"Any kids pricing, between what age?",The Buffet at Bellagio,"His response was ""we can't put an age on it as some children of similar ages consume a lot of food"".",0.7891246191117801,4.20696496963501,
54,"Any kids pricing, between what age?",The Buffet at Bellagio,Charging full price for kids over age 2 is ridiculous.,0.769527537442366,4.20696496963501,
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"I understand that it was near the end of the shift, but close the restaurant when it is closed, not when it is almost closed.",0.7693887653962141,4.54993009567261,
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"They are closed from 2:30p-5:29p, and reopen for dinner at 5:30p-10:00p (I learned this the hard way because I was actually craving their food today and went at 2:45 only to find out they were closed... wahh!",0.7585290020686701,4.54993009567261,
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"Because we were there when they were closing till dinner, I'm almost positive we were forgotten a few times as they were focused on closing shop.",0.7387690626846519,4.54993009567261,
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,It was close to closing time and it seemed as if he was ready to go.,0.711796704224558,4.54993009567261,
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Probably because it was close to closing time...,0.7091868379352729,4.54993009567261,
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Also they have lots of vegetarian options if you're vegan or vegetarian.,0.7947142644060999,2.0177235603332497,
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"They do vegan, vegetarian, gluten-free and tons of meat selection for we carnivores.",0.789441251935354,2.0177235603332497,
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Great thing about this place ... it shows love to all your vegetarian and vegan friends too so they don't feel left out.,0.76300323889224,2.0177235603332497,
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"If you are a meat lover, this place is a must  although they do have some vegetarian options.",0.7521308715172941,2.0177235603332497,
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"I go for vegetarian options quite often, but I can't do that here.",0.728049740302355,2.0177235603332497,
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,We came for the Seafood Dinner Buffet that they have on Friday and Saturday nights.,0.8623842750969641,2.9074048995971697,2.0
66,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,Our dinner on a Thursday night was $22.99.,0.830637480652923,2.9074048995971697,2.0
67,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,"Dinner runs about $25 Monday - Thursday, weekend seafood ups the price by about $10.",0.8152428727068379,2.9074048995971697,4.0
68,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,Get there early for dinner/seafood dinner on Friday or Saturday nights.,0.8143126084932959,2.9074048995971697,3.0
69,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,What a great dinner for my last night in Vegas before heading back to L.A. Dinner buffet was $30.,0.81070682145634,2.9074048995971697,1.0
