,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,1.0,2.3775434494018555
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,1.0,2.3775434494018555
2,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,1.0,2.3775434494018555
3,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,1.0,2.3775434494018555
4,AYCE? Or ala carte?,Soho Japanese Restaurant,a thurs,0.22482573986053467,2.3775434494018555
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars per night added to your total when you book ? [SEP] you have to put $ 20,0.7915262579917908,2.665445327758789
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.4610621929168701,2.665445327758789
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.4610621929168701,2.665445327758789
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.4610621929168701,2.665445327758789
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.4610621929168701,2.665445327758789
10,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP],0.796098530292511,2.066718101501465
11,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP],0.796098530292511,2.066718101501465
12,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP],0.796098530292511,2.066718101501465
13,Air conditioning inside the carriage?,High Roller,so much fun and a beautiful way to see vegas,0.23118524253368378,2.066718101501465
14,Air conditioning inside the carriage?,High Roller,night,0.15601718425750732,2.066718101501465
15,All you can eat?,Gangnam Asian BBQ Dining,great place to eat .,0.9111688733100891,1.8876466751098633
16,All you can eat?,Gangnam Asian BBQ Dining,food,0.5037571787834167,1.8876466751098633
17,All you can eat?,Gangnam Asian BBQ Dining,meat,0.44195935130119324,1.8876466751098633
18,All you can eat?,Gangnam Asian BBQ Dining,meats,0.4121648073196411,1.8876466751098633
19,All you can eat?,Gangnam Asian BBQ Dining,great selection,0.020362503826618195,1.8876466751098633
20,All you can eat?,Soho Japanese Restaurant,one of the best places to eat,0.7642304301261902,2.175426483154297
21,All you can eat?,Soho Japanese Restaurant,"sashimi , rice , miso soup , salad and hot tea",0.5135444402694702,2.175426483154297
22,All you can eat?,Soho Japanese Restaurant,sushi,0.43981707096099854,2.175426483154297
23,All you can eat?,Soho Japanese Restaurant,deep fried shrimp head,0.3669061064720154,2.175426483154297
24,All you can eat?,Soho Japanese Restaurant,everything,0.26139143109321594,2.175426483154297
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,long wait,0.40039747953414917,2.9401936531066895
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thanks for the best brisket and turkey this thanksgiving,0.3100702166557312,2.9401936531066895
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,first rate customer service,0.2822566330432892,2.9401936531066895
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,hour,0.10977271944284439,2.9401936531066895
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,330pm,,2.9401936531066895
30,Any discount by showing your players card?,Studio B Buffet,no discount,0.5881047248840332,2.2648324966430664
31,Any discount by showing your players card?,Studio B Buffet,"go with someone thats has the "" m "" black card and skip the line",0.5565548539161682,2.2648324966430664
32,Any discount by showing your players card?,Studio B Buffet,they don ' t give anymore 2 for 1 buffet coupons,0.4318103790283203,2.2648324966430664
33,Any discount by showing your players card?,Studio B Buffet,lower,0.16636423766613007,2.2648324966430664
34,Any discount by showing your players card?,Studio B Buffet,$ 5,,2.2648324966430664
35,Any dress code?,Eiffel Tower,wear a collared shirt,0.4769309461116791,3.077998399734497
36,Any dress code?,Eiffel Tower,pink vevet cocktail,0.39195454120635986,3.077998399734497
37,Any dress code?,Eiffel Tower,"souffla© dessert , make sure to ask for the dessert menu early on so you can see your choices and have time for them to cook . . . . . i recommend the grand mariner souffla©",0.3297467529773712,3.077998399734497
38,Any dress code?,Eiffel Tower,al a cart .,0.15656134486198425,3.077998399734497
39,Any dress code?,Eiffel Tower,##©,,3.077998399734497
40,Any food allergy menu?,Wicked Spoon,brunch menu,0.6008103489875793,2.0412209033966064
41,Any food allergy menu?,Wicked Spoon,gourmet food,0.5209129452705383,2.0412209033966064
42,Any food allergy menu?,Wicked Spoon,gourmet food & gourmet dessert,0.5003232359886169,2.0412209033966064
43,Any food allergy menu?,Wicked Spoon,delicious quality food every time . unique dishes,0.4796809256076813,2.0412209033966064
44,Any food allergy menu?,Wicked Spoon,"thai , pistachio , and mango gelato",0.3509405255317688,2.0412209033966064
45,Any gluten free accomodations?,Meat & Potatoes,gluten free and vegan options,0.7764418721199036,2.0703179836273193
46,Any gluten free accomodations?,Meat & Potatoes,cocktails,0.2301272600889206,2.0703179836273193
47,Any gluten free accomodations?,Meat & Potatoes,dinner,0.2152767926454544,2.0703179836273193
48,Any gluten free accomodations?,Meat & Potatoes,bone marrow,0.19514451920986176,2.0703179836273193
49,Any gluten free accomodations?,Meat & Potatoes,chicken,0.17888566851615906,2.0703179836273193
50,"Any kids pricing, between what age?",The Buffet at Bellagio,any kids pricing,0.8351786732673645,2.292142152786255
51,"Any kids pricing, between what age?",The Buffet at Bellagio,adults,0.6094444990158081,2.292142152786255
52,"Any kids pricing, between what age?",The Buffet at Bellagio,pricing,0.32991427183151245,2.292142152786255
53,"Any kids pricing, between what age?",The Buffet at Bellagio,come before 11am,0.2837371230125427,2.292142152786255
54,"Any kids pricing, between what age?",The Buffet at Bellagio,$ 18 . 99,,2.292142152786255
