,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,their tiramisu,0.6868428869307696,6.594728231430054
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.6533755359284806,6.594728231430054
2,AYCE? Or ala carte?,Soho Japanese Restaurant,"like me , order one ( or a few ) of everything",0.5802475721946039,6.594728231430054
3,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.5558138113354322,6.594728231430054
4,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.5546354889733417,6.594728231430054
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.8768585078892416,5.768587827682495
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,charge it up front,0.8716779032914403,5.768587827682495
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars per night added to your total when you book ? [SEP] my only reason for giving four stars for linq was the hotel room charge was way more less wen compared to the resort fee which was 32 $,0.8702276841313441,5.768587827682495
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,165,0.8692950262250941,5.768587827682495
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.8689646894344868,5.768587827682495
10,Air conditioning inside the carriage?,High Roller,it also has air conditioning,0.6688274390767903,3.409749746322632
11,Air conditioning inside the carriage?,High Roller,to keep you cool,0.6086981079560414,3.409749746322632
12,Air conditioning inside the carriage?,High Roller,they have you standing outside waiting on the platform instead of inside in the air conditioning,0.5860888579229545,3.409749746322632
13,Air conditioning inside the carriage?,High Roller,temperature controlled,0.5584506697299403,3.409749746322632
14,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP] in the air,0.5526495355496602,3.409749746322632
15,All you can eat?,Gangnam Asian BBQ Dining,all you can eat,0.9149185286254169,3.8942151069641113
16,All you can eat?,Gangnam Asian BBQ Dining,it ' s not all you can eat,0.8701898980977775,3.8942151069641113
17,All you can eat?,Gangnam Asian BBQ Dining,come here and eat,0.8667780928353453,3.8942151069641113
18,All you can eat?,Gangnam Asian BBQ Dining,bbq places,0.8610943353665509,3.8942151069641113
19,All you can eat?,Gangnam Asian BBQ Dining,the place is not all you can eat,0.8560980399966449,3.8942151069641113
20,All you can eat?,Soho Japanese Restaurant,they do not have all you can eat,0.8944064620022953,3.2193305492401123
21,All you can eat?,Soho Japanese Restaurant,lots of money,0.8459167070338549,3.2193305492401123
22,All you can eat?,Soho Japanese Restaurant,this place is not all you can eat,0.8415718117777747,3.2193305492401123
23,All you can eat?,Soho Japanese Restaurant,rolls,0.839976241600893,3.2193305492401123
24,All you can eat?,Soho Japanese Restaurant,all you can eat,0.8388072692639604,3.2193305492401123
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,about an hour,0.8329125862055158,3.9427592754364014
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,the line moves kind of slow,0.8308032417897087,3.9427592754364014
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,a few days in advance,0.8282138146241064,3.9427592754364014
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,90 + minutes,0.8267614057241257,3.9427592754364014
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,it ' s well worth the wait in line if you go for lunch,0.8247286744248697,3.9427592754364014
30,Any discount by showing your players card?,Studio B Buffet,discount coupons,0.7518221936163811,4.820791482925415
31,Any discount by showing your players card?,Studio B Buffet,everyone,0.7443533096165436,4.820791482925415
32,Any discount by showing your players card?,Studio B Buffet,no longer get a discount,0.7411415301354357,4.820791482925415
33,Any discount by showing your players card?,Studio B Buffet,$ 2,0.7411186234825571,4.820791482925415
34,Any discount by showing your players card?,Studio B Buffet,$ 2 - 5,0.7401458952229059,4.820791482925415
35,Any dress code?,Eiffel Tower,a dress code,0.8635997379111815,3.665771961212158
36,Any dress code?,Eiffel Tower,a dress code,0.8164662684024855,3.665771961212158
37,Any dress code?,Eiffel Tower,a dress code,0.8164662684024855,3.665771961212158
38,Any dress code?,Eiffel Tower,a dress code,0.7921613908192937,3.665771961212158
39,Any dress code?,Eiffel Tower,no,0.7689760270200304,3.665771961212158
40,Any food allergy menu?,Wicked Spoon,gluten,0.6974848572594459,9.672482967376709
41,Any food allergy menu?,Wicked Spoon,not typical buffet food,0.6826454200541945,9.672482967376709
42,Any food allergy menu?,Wicked Spoon,"gluten allergy , the chef will walk around with you pointing out which dishes are gluten free",0.679834751716103,9.672482967376709
43,Any food allergy menu?,Wicked Spoon,"limited seafood selection , appetizers , sushi , and limited desserts selection",0.6758048562389816,9.672482967376709
44,Any food allergy menu?,Wicked Spoon,"cold foods , breads , and salads , and on the far right side of the dining room , desserts and sweets",0.6738184933537914,9.672482967376709
45,Any gluten free accomodations?,Meat & Potatoes,celiac meat & potatoes,0.5350684696574219,4.143660306930542
46,Any gluten free accomodations?,Meat & Potatoes,g,0.5284820265130883,4.143660306930542
47,Any gluten free accomodations?,Meat & Potatoes,$ 10 or $ 50,0.5255550379339785,4.143660306930542
48,Any gluten free accomodations?,Meat & Potatoes,gluten free accomodations ? [SEP] it ' s one of the most nutritious tasty treats you can give yourself .,0.5155850729869923,4.143660306930542
49,Any gluten free accomodations?,Meat & Potatoes,nothing,0.5153625664195775,4.143660306930542
50,"Any kids pricing, between what age?",The Buffet at Bellagio,over 4 years old,0.7466614791428335,6.31237268447876
51,"Any kids pricing, between what age?",The Buffet at Bellagio,kids cost full price,0.7297499814898667,6.31237268447876
52,"Any kids pricing, between what age?",The Buffet at Bellagio,2,0.7207900296289884,6.31237268447876
53,"Any kids pricing, between what age?",The Buffet at Bellagio,senior,0.7164033898345852,6.31237268447876
54,"Any kids pricing, between what age?",The Buffet at Bellagio,some children of similar ages,0.6995924149498521,6.31237268447876
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,0.8529386598806749,7.7509284019470215
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,anyone other thai restaurant recommendations,0.852868560201498,7.7509284019470215
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"if you don ' t have a reservation , be aware that there ' s a lot of people going here for dinner",0.8434704867475139,7.7509284019470215
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,sunday,0.8433864826674647,7.7509284019470215
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,0.8365435397603755,7.7509284019470215
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarian options,0.817080013095012,6.5570995807647705
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegan,0.7799299794364052,6.5570995807647705
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,meat,0.7502890465510057,6.5570995807647705
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"salad , sandwiches or real steak",0.7501530929081995,6.5570995807647705
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,sandwiches,0.743723016632299,6.5570995807647705
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,seafood,0.8885123029774094,6.2630393505096436
66,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,prices,0.8432210972866515,6.2630393505096436
67,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,"note that on the weekend , they offer a seafood",0.8323785070862951,6.2630393505096436
68,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,$ 30,0.830391930175937,6.2630393505096436
69,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,had dinner at the studio b buffet on mother ' s day at around 5 p . m . we were a party of five and got there before the dinner rush,0.8219181622486411,6.2630393505096436
