,question,business,number_of_answers
0,AYCE? Or ala carte?,Soho Japanese Restaurant,5
1,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,5
2,Air conditioning inside the carriage?,High Roller,5
3,All you can eat?,Gangnam Asian BBQ Dining,5
4,All you can eat?,Soho Japanese Restaurant,5
5,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,5
6,Any discount by showing your players card?,Studio B Buffet,5
7,Any dress code?,Eiffel Tower,5
8,Any food allergy menu?,Wicked Spoon,5
9,Any gluten free accomodations?,Meat & Potatoes,5
10,"Any kids pricing, between what age?",The Buffet at Bellagio,5
11,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,5
12,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,5
13,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,5
14,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,5
15,Any special menu items for the 4th of July 2018?,Studio B Buffet,5
16,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,5
17,Any vegetarian options?,Wicked Spoon,5
18,Anyone been to Fremont experience at Christmas time?,Fremont Street Experience,5
19,Anyone get a cabana/private area at MGM grand? Thinking pool pod since it's just two people. Worth it to be close to the water? Thank you!,MGM Grand Hotel,5
20,Anyone know a good website to book tickets for a group discount?,Cirque du Soleil - O,5
21,Anyone know at what age they charge for children? Or any coupons? Thanks in advance!,Bacchanal Buffet,5
22,Anyone know if you can bring outside drinks onto the ride? I need to make this the most touristy expirience ever with a giant frozen margarita from Fat Tuesday.,High Roller,5
23,Anyone know what champagne they give with the birthday dessert?,Mon Ami Gabi,5
24,Anyone know what kind of Champagne they serve for the bottomless alcohol?,Bacchanal Buffet,5
25,Anyone know when the parking structure construction is set to be completed?,The LINQ Hotel & Casino,5
26,Are any meats halal? Maybe the australian lamb?,Bacchanal Buffet,5
27,Are any of the beers gluten free?,Four Peaks Brewing,5
28,"Are beef ribs on the buffet everyday? If not, what days?",Bacchanal Buffet,5
29,Are bottomless mimosas only available until 2p? even on weekdays that brunch ends at 4p?,HEXX kitchen + bar,5
30,Are brunch items the same as dinner?,Bacchanal Buffet,5
31,Are crab legs on available Fri-Sun?,Studio B Buffet,5
32,Are crab legs served during brunch?,Wicked Spoon,5
33,Are crab legs served during early morning brunch on Saturday and Sunday?,Bacchanal Buffet,5
34,Are crab legs served during early morning brunch on Saturday and Sunday?,Wicked Spoon,5
35,"Are crab legs served here or has it been canceled, if so what days?",Wicked Spoon,5
36,Are dogs allowed on Fremont street?,Fremont Street Experience,5
37,Are dogs allowed?,Bally's Las Vegas Hotel & Casino,5
38,Are dogs allowed?,Four Peaks Brewing,5
39,Are drinks only served in the lounge? Can I have a drink with my food?,The Peppermill Restaurant & Fireside Lounge,5
40,Are drinks(soda or water) included in the lunch & dinner price?,Bacchanal Buffet,5
41,Are kids allowed to come for dinner?,TAO Asian Bistro,5
42,Are lunch prices for buffet different week of Christmas? Can someone post them?,The Buffet at Bellagio,5
