,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,!,0.6868428869307696,4.45842170715332,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,I,0.6533755359284806,4.45842170715332,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,me,0.5802475721946039,4.45842170715332,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.5558138113354322,4.45842170715332,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,.,0.5546354889733417,4.45842170715332,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$588,0.8768585078892416,2.7054212093353267,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$30,0.8716779032914403,2.7054212093353267,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,32$,0.8702276841313441,2.7054212093353267,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,338 for 3 nights 4 days now they charged me an additional 165,0.8692950262250941,2.7054212093353267,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"By the time you add up the price of the bucket of beers and water, you aren't paying that much of a fee for the bed and the safe was worth it",0.8689646894344868,2.7054212093353267,
10,Air conditioning inside the carriage?,High Roller,air conditioning.,0.6688274390767903,1.8439245223999023,
11,Air conditioning inside the carriage?,High Roller,air conditioning to keep you cool,0.6086981079560414,1.8439245223999023,
12,Air conditioning inside the carriage?,High Roller,you standing outside waiting on the platform,0.5860888579229545,1.8439245223999023,
13,Air conditioning inside the carriage?,High Roller,room temp,0.5584506697299403,1.8439245223999023,
14,Air conditioning inside the carriage?,High Roller,.,0.5526495355496602,1.8439245223999023,
15,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,0.9149185286254168,2.3969976902008057,4.0
16,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,0.8701898980977775,2.3969976902008057,4.0
17,All you can eat?,Gangnam Asian BBQ Dining,if you can!,0.8667780928353453,2.3969976902008057,1.0
18,All you can eat?,Gangnam Asian BBQ Dining,bbq places,0.8610943353665509,2.3969976902008057,1.0
19,All you can eat?,Gangnam Asian BBQ Dining,The place is not,0.8560980399966449,2.3969976902008057,1.0
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,0.8944064620022953,1.6678123474121094,
21,All you can eat?,Soho Japanese Restaurant,unless you have lots of money,0.8459167070338549,1.6678123474121094,
22,All you can eat?,Soho Japanese Restaurant,This place,0.8415718117777747,1.6678123474121094,
23,All you can eat?,Soho Japanese Restaurant,rolls here,0.839976241600893,1.6678123474121094,
24,All you can eat?,Soho Japanese Restaurant,50 different rolls and nigiri,0.8388072692639604,1.6678123474121094,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,an hour,0.8329125862055158,1.8880460262298584,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,if you wait,0.8308032417897087,1.8880460262298584,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,before 11am,0.8282138146241064,1.8880460262298584,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,90+ minutes,0.8267614057241257,1.8880460262298584,
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,if you go for lunch,0.8247286744248697,1.8880460262298584,
30,Any discount by showing your players card?,Studio B Buffet,If you're a player,0.7518221936163811,2.969489336013794,
31,Any discount by showing your players card?,Studio B Buffet,Note: if you're using a player's card to get a discount on the buffet price,0.7443533096165436,2.969489336013794,
32,Any discount by showing your players card?,Studio B Buffet,Dissapointed,0.7411415301354357,2.969489336013794,
33,Any discount by showing your players card?,Studio B Buffet,Make sure you get a player's card to get a $2 discount,0.7411186234825571,2.969489336013794,
34,Any discount by showing your players card?,Studio B Buffet,If you sign up for the iMagine Rewards cards,0.7401458952229059,2.969489336013794,
35,Any dress code?,Eiffel Tower,A dress code.,0.8635997379111815,2.2524445056915283,4.0
36,Any dress code?,Eiffel Tower,There,0.8164662684024855,2.2524445056915283,1.0
37,Any dress code?,Eiffel Tower,There's a dress code.,0.8164662684024855,2.2524445056915283,4.0
38,Any dress code?,Eiffel Tower,there,0.7921613908192937,2.2524445056915283,1.0
39,Any dress code?,Eiffel Tower,!,0.7689760270200304,2.2524445056915283,1.0
40,Any food allergy menu?,Wicked Spoon,extremely friendly,0.6974848572594459,7.550201416015625,
41,Any food allergy menu?,Wicked Spoon,The food is not typical buffet food,0.6826454200541945,7.550201416015625,
42,Any food allergy menu?,Wicked Spoon,gluten allergy,0.679834751716103,7.550201416015625,
43,Any food allergy menu?,Wicked Spoon,asian food,0.6758048562389816,7.550201416015625,
44,Any food allergy menu?,Wicked Spoon,You,0.6738184933537914,7.550201416015625,
45,Any gluten free accomodations?,Meat & Potatoes,"I have celiac Meat & Potatoes, you would thing they would have more options for gluten fee.",0.5350684696574219,2.056304931640625,
46,Any gluten free accomodations?,Meat & Potatoes,gluten) so it was nice,0.5284820265130883,2.056304931640625,
47,Any gluten free accomodations?,Meat & Potatoes,you can eat any cuisine,0.5255550379339785,2.056304931640625,
48,Any gluten free accomodations?,Meat & Potatoes,It's one of the most nutritious tasty treats you can give yourself.,0.5155850729869923,2.056304931640625,
49,Any gluten free accomodations?,Meat & Potatoes,nothing was offered for the inconvenience of 2 incorrect meals.,0.5153625664195775,2.056304931640625,
50,"Any kids pricing, between what age?",The Buffet at Bellagio,4 years old,0.7466614791428335,4.4506144523620605,
51,"Any kids pricing, between what age?",The Buffet at Bellagio,cost full price,0.7297499814898667,4.4506144523620605,
52,"Any kids pricing, between what age?",The Buffet at Bellagio,2,0.7207900296289884,4.4506144523620605,
53,"Any kids pricing, between what age?",The Buffet at Bellagio,No kids no senior,0.7164033898345852,4.4506144523620605,
54,"Any kids pricing, between what age?",The Buffet at Bellagio,similar ages,0.6995924149498521,4.4506144523620605,
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,if you're planning to share at the table,0.8529386598806749,4.8208417892456055,
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"They aren't the best Thai restaurant in the US, as claimed, but it sure comes close.",0.8528685602014979,4.8208417892456055,
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"before they started letting people in, so if you don't have a reservation, be aware that there's a lot of people going here for dinner",0.8434704867475139,4.8208417892456055,
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,they certainly are doing things right.,0.8433864826674647,4.8208417892456055,
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,so make reservations as early,0.8365435397603755,4.8208417892456055,
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarian options,0.8170800130950121,3.9292104244232178,
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegan,0.7799299794364052,3.9292104244232178,
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,As a meat lover,0.7502890465510057,3.9292104244232178,
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"The atmosphere is a classy, hipster type and the different types of food from snack dishes, to salad, sandwiches or real steak and desserts",0.7501530929081995,3.9292104244232178,
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,unless of course,0.7437230166322991,3.9292104244232178,
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,We came for the Seafood Dinner Buffet that they have on Friday and Saturday nights,0.8885123029774094,3.0550456047058105,1.0
66,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,copying the prices down,0.8432210972866515,3.0550456047058105,3.0
67,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,both brunch,0.8323785070862951,3.0550456047058105,1.0
68,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,.,0.8303919301759369,3.0550456047058105,1.0
69,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,a party of five,0.8219181622486411,3.0550456047058105,1.0
70,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,we could get a table with 8 girls on a Sunday night,0.8210558119104407,7.061580896377564,
71,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,"If you see a long line on general admission proceed to the nearest exit and find another club to go to
5) If you just so happen to be a baller",0.8162345679028061,7.061580896377564,
72,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,"We arranged with a promoter to be on the VIP list to get in, and they wouldn't let us in because we were a group of 3 gay guys with no girls.",0.8017400075544375,7.061580896377564,
73,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,"wish we had $8k to shell out for a table on the dance floor
* No sitting or leaning against the railing!",0.7952089265215045,7.061580896377564,
74,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,potential - next time gotta check it out on a weekend,0.7903610402246934,7.061580896377564,
75,Any special menu items for the 4th of July 2018?,Studio B Buffet,No breakfast items in the buffet,0.7081841977640809,2.9907615184783936,
76,Any special menu items for the 4th of July 2018?,Studio B Buffet,The casino,0.7025211664714555,2.9907615184783936,
77,Any special menu items for the 4th of July 2018?,Studio B Buffet,The buffet does have a large selection of items,0.6970595896990407,2.9907615184783936,
78,Any special menu items for the 4th of July 2018?,Studio B Buffet,This review is for the dinner,0.6915085454494795,2.9907615184783936,
79,Any special menu items for the 4th of July 2018?,Studio B Buffet,Christmas holidays,0.6894048879760922,2.9907615184783936,
80,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,They had it down to a t.,0.8846517865551687,11.25191593170166,
