,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,da shit,0.4746194183826447,0.7055916786193848,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials,0.2543633878231049,0.7055916786193848,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Amazing,0.18243266642093656,0.7055916786193848,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,Yellow tail hamachi,0.16314466297626495,0.7055916786193848,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Thurs,0.10855023562908173,0.7055916786193848,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,ended up taking so much time every time I rode the elevator!,0.5130147337913513,0.570573091506958,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Don't stay here unless you want filthy rooms that don't even get cleaned before check in! Oh and bring your own lotion,0.4713500738143921,0.570573091506958,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,got me early check in right away.,0.4042920470237732,0.570573091506958,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$8/day unless you have status,0.3213047683238983,0.570573091506958,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$20,,0.570573091506958,
10,Air conditioning inside the carriage?,High Roller,Had a cabin,0.3990700840950012,0.25713562965393066,
11,Air conditioning inside the carriage?,High Roller,Our pod was empty,0.17375332117080688,0.25713562965393066,
12,Air conditioning inside the carriage?,High Roller,better rush,0.12977364659309387,0.25713562965393066,
13,Air conditioning inside the carriage?,High Roller,Vegas,0.11132977157831192,0.25713562965393066,
14,Air conditioning inside the carriage?,High Roller,:),,0.25713562965393066,
15,All you can eat?,Gangnam Asian BBQ Dining,Great place to eat.,0.903988480567932,0.5681400299072266,1.0
16,All you can eat?,Gangnam Asian BBQ Dining,the food,0.5037571787834167,0.5681400299072266,1.0
17,All you can eat?,Gangnam Asian BBQ Dining,Great selection to snack,0.44228747487068176,0.5681400299072266,1.0
18,All you can eat?,Gangnam Asian BBQ Dining,at gangnam,,0.5681400299072266,1.0
19,All you can eat?,Gangnam Asian BBQ Dining,here again,,0.5681400299072266,1.0
20,All you can eat?,Soho Japanese Restaurant,One of the best places to eat!,0.7011569738388062,0.27620434761047363,
21,All you can eat?,Soho Japanese Restaurant,sushi,0.43981707096099854,0.27620434761047363,
22,All you can eat?,Soho Japanese Restaurant,deep fried shrimp head,0.3669061064720154,0.27620434761047363,
23,All you can eat?,Soho Japanese Restaurant,everything,0.26139143109321594,0.27620434761047363,
24,All you can eat?,Soho Japanese Restaurant,Lol,0.1870326250791549,0.27620434761047363,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks for the Best Brisket and Turkey this Thanksgiving!!!,0.4820272028446198,0.4896018505096436,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Amazing bbq long,0.35462594032287603,0.4896018505096436,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,too late,0.16792789101600647,0.4896018505096436,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,bbq joint,0.14857369661331174,0.4896018505096436,
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,hour,0.1097727194428444,0.4896018505096436,
30,Any discount by showing your players card?,Studio B Buffet,No discount with card. Find a local.,0.6324775218963623,0.4216349124908447,
31,Any discount by showing your players card?,Studio B Buffet,"Go with someone thats has the ""m"" black card and skip the line!",0.5661256909370422,0.4216349124908447,
32,Any discount by showing your players card?,Studio B Buffet,CA residents get $5 discount,0.4695106446743012,0.4216349124908447,
33,Any discount by showing your players card?,Studio B Buffet,"Reduced rating from my previous score, friday, saturday and sunday is degraded to 3 stars.",0.3708759248256683,0.4216349124908447,
34,Any discount by showing your players card?,Studio B Buffet,=(,,0.4216349124908447,
35,Any dress code?,Eiffel Tower,They enforce their ridiculous dress code at dinner,0.8092398643493652,0.3782093524932861,5.0
36,Any dress code?,Eiffel Tower,Try pink vevet cocktail !!,0.3863294422626496,0.3782093524932861,1.0
37,Any dress code?,Eiffel Tower,Everything is al a cart. You should check out the menu on- line,0.3106608688831329,0.3782093524932861,1.0
38,Any dress code?,Eiffel Tower,second choice the caramel,0.2459913790225983,0.3782093524932861,1.0
39,Any dress code?,Eiffel Tower,If you're celebrating a special event,0.17514465749263766,0.3782093524932861,4.0
40,Any food allergy menu?,Wicked Spoon,Awesome brunch menu,0.5400388240814209,0.4065647125244141,
41,Any food allergy menu?,Wicked Spoon,Delicious quality food every time. Unique dishes its just awesome food,0.5337734818458557,0.4065647125244141,
42,Any food allergy menu?,Wicked Spoon,Eat the desserts before eating the main meal(s,0.4692816436290741,0.4065647125244141,
43,Any food allergy menu?,Wicked Spoon,Heaven,0.08484255522489548,0.4065647125244141,
44,Any food allergy menu?,Wicked Spoon,I,,0.4065647125244141,
45,Any gluten free accomodations?,Meat & Potatoes,Gluten,0.7041251063346863,0.3315432071685791,
46,Any gluten free accomodations?,Meat & Potatoes,Be ready for an amazing meal & extremely tasty Cocktails.,0.3863594830036163,0.3315432071685791,
47,Any gluten free accomodations?,Meat & Potatoes,Chicken & Waffles,0.2936771810054779,0.3315432071685791,
48,Any gluten free accomodations?,Meat & Potatoes,The tartare was my favorite appetizer,0.27682074904441833,0.3315432071685791,
49,Any gluten free accomodations?,Meat & Potatoes,YUM!,,0.3315432071685791,
50,"Any kids pricing, between what age?",The Buffet at Bellagio,adults,0.6094444990158081,0.2850000858306885,
