,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.6060615049534998,4.189847230911255
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala kart,0.5345558760698994,4.189847230911255
2,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.4684094431981711,4.189847230911255
3,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.45402546246399655,4.189847230911255
4,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.44837181423850825,4.189847230911255
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.7307980092995778,5.377588510513306
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$ 34,0.7306473021931938,5.377588510513306
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,30 something dollars,0.7162514253411961,5.377588510513306
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.6879328795168336,5.377588510513306
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$ 30,0.670471987560948,5.377588510513306
10,Air conditioning inside the carriage?,High Roller,it also has air conditioning,0.7026507328123424,3.8477861881256104
11,Air conditioning inside the carriage?,High Roller,to keep you cool,0.6222731258461065,3.8477861881256104
12,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP] it is fun from the start as you get on and off of the moving carriage .,0.5973067901982156,3.8477861881256104
13,Air conditioning inside the carriage?,High Roller,so much fun and a beautiful way to see vegas,0.579924025159623,3.8477861881256104
14,Air conditioning inside the carriage?,High Roller,they have you standing outside waiting on the platform instead of inside in the air conditioning,0.5791608902997375,3.8477861881256104
15,All you can eat?,Gangnam Asian BBQ Dining,it ' s not all you can eat,1.0000000070928978,4.23452353477478
16,All you can eat?,Gangnam Asian BBQ Dining,all you can eat,1.0000000070928978,4.23452353477478
17,All you can eat?,Gangnam Asian BBQ Dining,the place is not all you can eat,0.9092873550064112,4.23452353477478
18,All you can eat?,Gangnam Asian BBQ Dining,10 / 10,0.8675337318966927,4.23452353477478
19,All you can eat?,Gangnam Asian BBQ Dining,everything,0.8547998197001717,4.23452353477478
20,All you can eat?,Soho Japanese Restaurant,they do not have all you can eat,0.9999999858022758,3.6545236110687256
21,All you can eat?,Soho Japanese Restaurant,this place is not all you can eat,0.9143882532907585,3.6545236110687256
22,All you can eat?,Soho Japanese Restaurant,i use to only eat all you can eat,0.8425745505689299,3.6545236110687256
23,All you can eat?,Soho Japanese Restaurant,10,0.8167265475929351,3.6545236110687256
24,All you can eat?,Soho Japanese Restaurant,everything is super fresh,0.8156258690611443,3.6545236110687256
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thanks,0.6306204043900329,4.24200701713562
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,ordering / serving,0.6082595181195241,4.24200701713562
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,a long wait time,0.58647187983777,4.24200701713562
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thanks again guys .,0.5842295894764836,4.24200701713562
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thanks,0.5794837333354591,4.24200701713562
30,Any discount by showing your players card?,Studio B Buffet,$ 2,0.808805427141395,5.263007402420044
31,Any discount by showing your players card?,Studio B Buffet,no discounted rates,0.8039924178953164,5.263007402420044
32,Any discount by showing your players card?,Studio B Buffet,the price,0.7738679264778138,5.263007402420044
33,Any discount by showing your players card?,Studio B Buffet,priority,0.7593602656344601,5.263007402420044
34,Any discount by showing your players card?,Studio B Buffet,free,0.7396118213797934,5.263007402420044
35,Any dress code?,Eiffel Tower,a dress code,0.9999999874072367,4.110361814498901
36,Any dress code?,Eiffel Tower,no,0.9999999874072367,4.110361814498901
37,Any dress code?,Eiffel Tower,a dress code,0.9999999874072367,4.110361814498901
38,Any dress code?,Eiffel Tower,a dress code,0.9999999874072367,4.110361814498901
39,Any dress code?,Eiffel Tower,a dress code,0.9489843113203469,4.110361814498901
40,Any food allergy menu?,Wicked Spoon,buffets,0.7235300847627514,10.095860958099365
41,Any food allergy menu?,Wicked Spoon,gluten,0.7095638813120988,10.095860958099365
42,Any food allergy menu?,Wicked Spoon,gluten,0.7039552077192736,10.095860958099365
43,Any food allergy menu?,Wicked Spoon,do not eat here if you have severe allergies,0.699843297897482,10.095860958099365
44,Any food allergy menu?,Wicked Spoon,peanut,0.6799348594900319,10.095860958099365
45,Any gluten free accomodations?,Meat & Potatoes,celiac meat & potatoes,0.6226026280772649,4.567965984344482
46,Any gluten free accomodations?,Meat & Potatoes,g,0.6114405929062341,4.567965984344482
47,Any gluten free accomodations?,Meat & Potatoes,nothing,0.5035847560268587,4.567965984344482
48,Any gluten free accomodations?,Meat & Potatoes,quality,0.5004461524893461,4.567965984344482
49,Any gluten free accomodations?,Meat & Potatoes,food,0.4929412343610109,4.567965984344482
50,"Any kids pricing, between what age?",The Buffet at Bellagio,under 6 years of age,0.8467608487566617,6.711869478225708
51,"Any kids pricing, between what age?",The Buffet at Bellagio,4,0.8244034906489933,6.711869478225708
52,"Any kids pricing, between what age?",The Buffet at Bellagio,over the age of 3,0.8060687697071991,6.711869478225708
53,"Any kids pricing, between what age?",The Buffet at Bellagio,some children of similar ages,0.7891414020928308,6.711869478225708
54,"Any kids pricing, between what age?",The Buffet at Bellagio,2,0.7690976725178731,6.711869478225708
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,0.7701821891015116,8.009321689605713
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"thai restaurant recommendations since lotus is closed ? [SEP] they are closed from 2 : 30p - 5 : 29p , and reopen for dinner at 5 : 30p - 10 : 00p",0.7591265491073711,8.009321689605713
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,0.7390350078448558,8.009321689605713
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,0.7120301573068162,8.009321689605713
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,0.7095775999042141,8.009321689605713
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarian options,0.7962063068030846,4.852731466293335
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegan,0.7905496848551438,4.852731466293335
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarian,0.7649256048933133,4.852731466293335
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarian,0.7529874109400201,4.852731466293335
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarian,0.730912191799108,4.852731466293335
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,seafood,0.8642737162166608,5.808781385421753
66,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,our dinner on a thursday night was $ 22 . 99,0.8328376899780963,5.808781385421753
67,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,weekend seafood ups the price by about $ 10,0.817609726365404,5.808781385421753
68,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,get there early for dinner / seafood dinner on friday or saturday nights,0.8156873718631521,5.808781385421753
69,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,$ 30,0.8118138145471744,5.808781385421753
70,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,hakkasan on sat 7 / 28 [SEP] i was very excited to see this new club in vegas,0.7168790285415436,6.67530632019043
71,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,saturday,0.7107324301012519,6.67530632019043
72,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,looking to go to hakkasan,0.7093036559437663,6.67530632019043
73,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,looking,0.6957735616056318,6.67530632019043
74,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,looking to go to hakkasan on sat 7 / 28 [SEP],0.6823692541337723,6.67530632019043
75,Any special menu items for the 4th of July 2018?,Studio B Buffet,$ 24 . 99,0.819210613794337,4.950681209564209
76,Any special menu items for the 4th of July 2018?,Studio B Buffet,july 4th about 5 : 30 .,0.7339260269467134,4.950681209564209
77,Any special menu items for the 4th of July 2018?,Studio B Buffet,$ 35 per person .,0.7001978392544788,4.950681209564209
78,Any special menu items for the 4th of July 2018?,Studio B Buffet,friday june 1st for my birthday,0.6830342440507899,4.950681209564209
79,Any special menu items for the 4th of July 2018?,Studio B Buffet,my,0.6534739166111797,4.950681209564209
