,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,"lol

Yeah, those 5 stars are well-deserved",0.4540254771709442,5.311720848083496
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Terrific service,0.2191517949104309,5.311720848083496
2,AYCE? Or ala carte?,Soho Japanese Restaurant,It comes with the NY steak,0.17322510480880737,5.311720848083496
3,AYCE? Or ala carte?,Soho Japanese Restaurant,best sushi,0.1601044237613678,5.311720848083496
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Their prices are super reasonable,0.10733973234891891,5.311720848083496
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,extra 30 something dollars per night,0.7209948301315308,3.9674055576324463
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Maybe this went away when they added resort fees?,0.6879329085350037,3.9674055576324463
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,extra charge,0.6243307590484619,3.9674055576324463
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$30 resort fee for my inconveniences - I argued that I was paying hundreds of dollars for multiple nights here,0.6199195384979248,3.9674055576324463
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"$34 ""resort fee"" plus $10 for parking",0.5061805844306946,3.9674055576324463
10,Air conditioning inside the carriage?,High Roller,air conditioning,0.7102318406105042,3.290795087814331
11,Air conditioning inside the carriage?,High Roller,air conditioning,0.7102318406105042,3.290795087814331
12,Air conditioning inside the carriage?,High Roller,they have you standing outside waiting on the platform instead of inside in the air conditioning,0.6044595241546631,3.290795087814331
13,Air conditioning inside the carriage?,High Roller,It is fun from the start as you get on and off of the moving carriage,0.5973067879676819,3.290795087814331
14,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning,0.5799240469932556,3.290795087814331
15,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,1.0,3.7568390369415283
16,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,1.0,3.7568390369415283
17,All you can eat?,Gangnam Asian BBQ Dining,The place is not all you can eat.,0.9092873930931091,3.7568390369415283
18,All you can eat?,Gangnam Asian BBQ Dining,Plus,0.12496770918369293,3.7568390369415283
19,All you can eat?,Gangnam Asian BBQ Dining,10/10,,3.7568390369415283
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,1.0,3.0039150714874268
21,All you can eat?,Soho Japanese Restaurant,This place is not all you can eat.,0.9143882989883423,3.0039150714874268
22,All you can eat?,Soho Japanese Restaurant,I use to only eat all you can eat but I realized quantity doesn't satisfy me after having soho.,0.8425745964050293,3.0039150714874268
23,All you can eat?,Soho Japanese Restaurant,i could eat 10 of these,0.8167265057563782,3.0039150714874268
24,All you can eat?,Soho Japanese Restaurant,Everything is super fresh and I even love the uni,0.3430421054363251,3.0039150714874268
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Thanks, little miss!",0.6306204199790955,4.276973247528076
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,ordering/serving process worked,0.589552640914917,4.276973247528076
