,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.8638755679130554,4.527965068817139
1,AYCE? Or ala carte?,Soho Japanese Restaurant,I,0.31771451234817505,4.527965068817139
2,AYCE? Or ala carte?,Soho Japanese Restaurant,me,0.29754841327667236,4.527965068817139
3,AYCE? Or ala carte?,Soho Japanese Restaurant,!,,4.527965068817139
4,AYCE? Or ala carte?,Soho Japanese Restaurant,.,,4.527965068817139
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"By the time you add up the price of the bucket of beers and water, you aren't paying that much of a fee for the bed and the safe was worth it",0.8689647316932678,2.8619346618652344
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,338 for 3 nights 4 days now they charged me an additional 165,0.7351620197296143,2.8619346618652344
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$588,,2.8619346618652344
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$30,,2.8619346618652344
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,32$,,2.8619346618652344
10,Air conditioning inside the carriage?,High Roller,air conditioning.,0.7366083264350891,1.891822338104248
11,Air conditioning inside the carriage?,High Roller,air conditioning to keep you cool,0.6250023245811462,1.891822338104248
12,Air conditioning inside the carriage?,High Roller,you standing outside waiting on the platform,0.37463098764419556,1.891822338104248
13,Air conditioning inside the carriage?,High Roller,room temp,0.296210914850235,1.891822338104248
14,Air conditioning inside the carriage?,High Roller,.,,1.891822338104248
15,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,0.9149185419082642,2.4269917011260986
16,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,0.8701899647712708,2.4269917011260986
17,All you can eat?,Gangnam Asian BBQ Dining,if you can!,0.7962660789489746,2.4269917011260986
18,All you can eat?,Gangnam Asian BBQ Dining,The place is not,0.4346219003200531,2.4269917011260986
19,All you can eat?,Gangnam Asian BBQ Dining,bbq places,0.22862696647644043,2.4269917011260986
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,0.8944064378738403,2.956181287765503
21,All you can eat?,Soho Japanese Restaurant,unless you have lots of money,0.7077147364616394,2.956181287765503
22,All you can eat?,Soho Japanese Restaurant,rolls here,0.4123835861682892,2.956181287765503
23,All you can eat?,Soho Japanese Restaurant,50 different rolls and nigiri,0.36809849739074707,2.956181287765503
24,All you can eat?,Soho Japanese Restaurant,This place,0.26045483350753784,2.956181287765503
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,if you wait,0.6751453280448914,2.0021414756774902
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,if you go for lunch,0.6637977957725525,2.0021414756774902
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,before 11am,0.4071945548057556,2.0021414756774902
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,an hour,0.39308494329452515,2.0021414756774902
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,90+ minutes,0.15748907625675201,2.0021414756774902
30,Any discount by showing your players card?,Studio B Buffet,Note: if you're using a player's card to get a discount on the buffet price,0.762769341468811,7.193325042724609
31,Any discount by showing your players card?,Studio B Buffet,Make sure you get a player's card to get a $2 discount,0.7411186099052429,7.193325042724609
32,Any discount by showing your players card?,Studio B Buffet,If you sign up for the iMagine Rewards cards,0.7340558171272278,7.193325042724609
33,Any discount by showing your players card?,Studio B Buffet,If you're a player,0.6069830656051636,7.193325042724609
34,Any discount by showing your players card?,Studio B Buffet,Dissapointed,,7.193325042724609
35,Any dress code?,Eiffel Tower,A dress code.,0.8635997772216797,2.2995502948760986
36,Any dress code?,Eiffel Tower,There's a dress code.,0.816466212272644,2.2995502948760986
37,Any dress code?,Eiffel Tower,There,0.3379104733467102,2.2995502948760986
38,Any dress code?,Eiffel Tower,there,0.19796840846538544,2.2995502948760986
39,Any dress code?,Eiffel Tower,!,,2.2995502948760986
40,Any food allergy menu?,Wicked Spoon,The food is not typical buffet food,0.6826453804969788,7.619967699050903
41,Any food allergy menu?,Wicked Spoon,gluten allergy,0.6520771384239197,7.619967699050903
42,Any food allergy menu?,Wicked Spoon,asian food,0.6398296356201172,7.619967699050903
43,Any food allergy menu?,Wicked Spoon,You,0.3192084729671478,7.619967699050903
44,Any food allergy menu?,Wicked Spoon,extremely friendly,0.22328755259513855,7.619967699050903
45,Any gluten free accomodations?,Meat & Potatoes,gluten) so it was nice,0.5961840748786926,2.1702046394348145
46,Any gluten free accomodations?,Meat & Potatoes,"I have celiac Meat & Potatoes, you would thing they would have more options for gluten fee.",0.5350684523582458,2.1702046394348145
47,Any gluten free accomodations?,Meat & Potatoes,you can eat any cuisine,0.5257426500320435,2.1702046394348145
48,Any gluten free accomodations?,Meat & Potatoes,It's one of the most nutritious tasty treats you can give yourself.,0.5155850648880005,2.1702046394348145
49,Any gluten free accomodations?,Meat & Potatoes,nothing was offered for the inconvenience of 2 incorrect meals.,0.44841837882995605,2.1702046394348145
