,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,It's not AYCE,2.72593890505417,0.789992809295654,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,No more AYCE for us,2.72593890505417,0.789992809295654,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,"sushi, AYCE quality",2.18075112404333,0.789992809295654,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,It comes with the NY steak,2.17554770043138,0.789992809295654,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Delicious sushi that is not AYCE.,1.8172926033694399,0.789992809295654,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Not so much.,3.99619917041879,0.29215645790100103,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,I added parking to the hotel again and that was worthwhile.,3.63976019607638,0.29215645790100103,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,After 2 nights,3.29348253884269,0.29215645790100103,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,5 nights.,3.29348253884269,0.29215645790100103,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"No, it was an ad",3.1367332277142697,0.29215645790100103,
10,Air conditioning inside the carriage?,High Roller,in the air.,4.746504390675639,0.222643375396728,
11,Air conditioning inside the carriage?,High Roller,Pods,3.4252560402002996,0.222643375396728,
12,Air conditioning inside the carriage?,High Roller,air conditioning,3.4252560402002996,0.222643375396728,
13,Air conditioning inside the carriage?,High Roller,"PODS
-HAS AIR CONDITIONING.",3.4252560402002996,0.222643375396728,
14,Air conditioning inside the carriage?,High Roller,It is enclosed and air conditioned,3.4252560402002996,0.222643375396728,
15,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,3.6573765013311,0.237491130828857,4.0
16,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,3.6573765013311,0.237491130828857,4.0
17,All you can eat?,Gangnam Asian BBQ Dining,Come here and eat if you can!,1.82868825066555,0.237491130828857,2.0
18,All you can eat?,Gangnam Asian BBQ Dining,I should be eating here once a week,1.82868825066555,0.237491130828857,1.0
19,All you can eat?,Gangnam Asian BBQ Dining,I would eat here again.,1.82868825066555,0.237491130828857,1.0
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,3.8555691891160295,0.19296431541442896,
21,All you can eat?,Soho Japanese Restaurant,Hard to eat.,1.92778459455801,0.19296431541442896,
22,All you can eat?,Soho Japanese Restaurant,This place is not all you can eat.,1.92778459455801,0.19296431541442896,
23,All you can eat?,Soho Japanese Restaurant,Do you eat meat,1.92778459455801,0.19296431541442896,
24,All you can eat?,Soho Japanese Restaurant,Eat on folks!!!,1.92778459455801,0.19296431541442896,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thank you to all of you.,5.060761240731799,0.223736047744751,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thank you thank you pitmaster.,3.3738408271545297,0.223736047744751,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,If you have to pick a sauce,2.73973578779499,0.223736047744751,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,My soul thanks you.,2.5303806203658996,0.223736047744751,
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,My body thanks you,2.5303806203658996,0.223736047744751,
30,Any discount by showing your players card?,Studio B Buffet,a players card,4.31674279110955,0.307560920715332,
31,Any discount by showing your players card?,Studio B Buffet,He showed me where everything was.,2.7062308856464,0.307560920715332,
32,Any discount by showing your players card?,Studio B Buffet,Just show them your receipt!,2.7062308856464,0.307560920715332,
33,Any discount by showing your players card?,Studio B Buffet,$2 discount from the Players Card,2.46671016634831,0.307560920715332,
34,Any discount by showing your players card?,Studio B Buffet,1 player card per discount,2.46671016634831,0.307560920715332,
35,Any dress code?,Eiffel Tower,There's a dress code,5.13507011980368,0.245430469512939,4.0
36,Any dress code?,Eiffel Tower,There was no dress code?,5.13507011980368,0.245430469512939,4.0
37,Any dress code?,Eiffel Tower,There is a Dress Code,5.13507011980368,0.245430469512939,4.0
38,Any dress code?,Eiffel Tower,There is a dress code,5.13507011980368,0.245430469512939,4.0
39,Any dress code?,Eiffel Tower,A dress code,5.13507011980368,0.245430469512939,4.0
40,Any food allergy menu?,Wicked Spoon,They serve the same menu,2.79213424485816,0.540408372879028,
41,Any food allergy menu?,Wicked Spoon,DO NOT eat here if you have severe allergies,2.5848214648882,0.540408372879028,
42,Any food allergy menu?,Wicked Spoon,then there's the food,2.0509486222369597,0.540408372879028,
43,Any food allergy menu?,Wicked Spoon,Food.,2.0509486222369597,0.540408372879028,
44,Any food allergy menu?,Wicked Spoon,Now to the food...,2.0509486222369597,0.540408372879028,
45,Any gluten free accomodations?,Meat & Potatoes,I am gluten-intolerant,3.95719923344342,0.25400567054748496,
46,Any gluten free accomodations?,Meat & Potatoes,meat was fresh,1.47301846451056,0.25400567054748496,
47,Any gluten free accomodations?,Meat & Potatoes,They gave us both free glasses of Champagne,1.36315723564375,0.25400567054748496,
48,Any gluten free accomodations?,Meat & Potatoes,Parking,1.13596436303646,0.25400567054748496,
49,Any gluten free accomodations?,Meat & Potatoes,free samples,1.13596436303646,0.25400567054748496,
50,"Any kids pricing, between what age?",The Buffet at Bellagio,Not kidding at all.,5.5430281899208795,0.36286449432373097,
51,"Any kids pricing, between what age?",The Buffet at Bellagio,Are you kidding me?,5.5430281899208795,0.36286449432373097,
52,"Any kids pricing, between what age?",The Buffet at Bellagio,I kid you not.,5.5430281899208795,0.36286449432373097,
53,"Any kids pricing, between what age?",The Buffet at Bellagio,?,5.5430281899208795,0.36286449432373097,
