,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.5364066699480653,5.11254620552063
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.488488442595324,5.11254620552063
2,AYCE? Or ala carte?,Soho Japanese Restaurant,un,0.47084364546451485,5.11254620552063
3,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.4660874623610902,5.11254620552063
4,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte ? [SEP] get the uni and lychee sake . green tea brulee,0.4577916476824223,5.11254620552063
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.7748279531311457,3.600545644760132
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.7738790868157884,3.600545644760132
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.7708587921384357,3.600545644760132
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.7598258113115502,3.600545644760132
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.7563636000055586,3.600545644760132
10,Air conditioning inside the carriage?,High Roller,so much fun and a beautiful way to see vegas,0.5511853056761773,2.3282625675201416
11,Air conditioning inside the carriage?,High Roller,night,0.5003408925135424,2.3282625675201416
12,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP] buy an unopened beer down stairs before going into the lounge,0.441323993892641,2.3282625675201416
13,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP] best viewing spot is to the right by the door as soon as you walk into the pod,0.42376335902777185,2.3282625675201416
14,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP],0.41747216101448736,2.3282625675201416
15,All you can eat?,Gangnam Asian BBQ Dining,you must eat here,0.8940607890880307,2.301877737045288
16,All you can eat?,Gangnam Asian BBQ Dining,go for the premium all you can eat . delicious,0.8069944431734537,2.301877737045288
17,All you can eat?,Gangnam Asian BBQ Dining,not all you can eat,0.8069757491621173,2.301877737045288
18,All you can eat?,Gangnam Asian BBQ Dining,all you can eat joints,0.7957757850796612,2.301877737045288
19,All you can eat?,Gangnam Asian BBQ Dining,ymmmmmmmm,0.7889867227409244,2.301877737045288
20,All you can eat?,Soho Japanese Restaurant,sushi,0.8423827692548267,2.410297155380249
21,All you can eat?,Soho Japanese Restaurant,everything,0.8352761349452753,2.410297155380249
22,All you can eat?,Soho Japanese Restaurant,fresh fish,0.7798524293423412,2.410297155380249
23,All you can eat?,Soho Japanese Restaurant,delicious,0.7767241886817976,2.410297155380249
24,All you can eat?,Soho Japanese Restaurant,whatever is fresh and best,0.7694270247510396,2.410297155380249
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,5 stars is the wait or parking,0.7921661409996222,3.3376407623291016
