,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,da shit!!,0.47461941838264465,0.5066413879394531
1,AYCE? Or ala carte?,Soho Japanese Restaurant,"$5 menu - sushi rolls, sake, & more.",0.2972952723503113,0.5066413879394531
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials,0.25436338782310486,0.5066413879394531
3,AYCE? Or ala carte?,Soho Japanese Restaurant,Even basic rolls,0.23635131120681763,0.5066413879394531
4,AYCE? Or ala carte?,Soho Japanese Restaurant,It's simply amazing!,0.18780513107776642,0.5066413879394531
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,got me early check in right away,0.4042920470237732,0.5106546878814697
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,They're too cheap to provide any in the rooms,0.40404632687568665,0.5106546878814697
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,parking $8/day,0.36875760555267334,0.5106546878814697
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,free drink,0.2519441545009613,0.5106546878814697
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,scan your card then hit the button,0.2417675405740738,0.5106546878814697
10,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning,0.5837118625640869,0.4701507091522217
11,Air conditioning inside the carriage?,High Roller,Over 525+ feet in the air,0.4329335689544678,0.4701507091522217
12,Air conditioning inside the carriage?,High Roller,Go around 1:30 AM and you'll get your own cabin,0.42855507135391235,0.4701507091522217
13,Air conditioning inside the carriage?,High Roller,Had a cabin to ourselves... Had a good time with the kids,0.38766640424728394,0.4701507091522217
14,Air conditioning inside the carriage?,High Roller,pay inside the store for a ticket,0.3060869574546814,0.4701507091522217
15,All you can eat?,Gangnam Asian BBQ Dining,Great place to eat.,0.9039884805679321,0.5521178245544434
16,All you can eat?,Gangnam Asian BBQ Dining,Very good food! It's fun to cook and eat the food,0.7954166531562805,0.5521178245544434
17,All you can eat?,Gangnam Asian BBQ Dining,great taste of meat and good service,0.4905805289745331,0.5521178245544434
18,All you can eat?,Gangnam Asian BBQ Dining,Really good quality of meats,0.40445366501808167,0.5521178245544434
19,All you can eat?,Gangnam Asian BBQ Dining,10/10,,0.5521178245544434
20,All you can eat?,Soho Japanese Restaurant,you'll want to eat everything,0.7297849655151367,0.3514714241027832
21,All you can eat?,Soho Japanese Restaurant,One of the best places to eat!,0.7011569738388062,0.3514714241027832
22,All you can eat?,Soho Japanese Restaurant,You know a place is good when they get me eat deep fried shrimp head,0.6183213591575623,0.3514714241027832
23,All you can eat?,Soho Japanese Restaurant,sushi,0.43981707096099854,0.3514714241027832
24,All you can eat?,Soho Japanese Restaurant,Lol,0.18703262507915497,0.3514714241027832
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks,0.6438366770744324,0.5449395179748535
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Best bbq in brisket is amazing, must see worth the hour line",0.46634531021118164,0.5449395179748535
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Amazing bbq long wait but the food more than makes up for it.,0.4662773311138153,0.5449395179748535
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,chance are they will be sold out,0.22690454125404358,0.5449395179748535
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,a food establishment,0.17011073231697083,0.5449395179748535
30,Any discount by showing your players card?,Studio B Buffet,No discount with card,0.8013486862182617,0.42700767517089844
31,Any discount by showing your players card?,Studio B Buffet,discount if you mention the discount and show ID,0.6481526494026184,0.42700767517089844
32,Any discount by showing your players card?,Studio B Buffet,"Go with someone thats has the ""m"" black card and skip the line!",0.5661256909370422,0.42700767517089844
33,Any discount by showing your players card?,Studio B Buffet,Reduced rating,0.21207955479621887,0.42700767517089844
34,Any discount by showing your players card?,Studio B Buffet,=(,,0.42700767517089844
35,Any dress code?,Eiffel Tower,enforce their ridiculous dress code at dinner,0.8092398643493652,0.4144105911254883
36,Any dress code?,Eiffel Tower,Try pink vevet cocktail,0.38632944226264954,0.4144105911254883
37,Any dress code?,Eiffel Tower,You should check out the menu on- line,0.3231838643550873,0.4144105911254883
38,Any dress code?,Eiffel Tower,for dessert,0.26575833559036255,0.4144105911254883
39,Any dress code?,Eiffel Tower,second choice the caramel,0.24599137902259827,0.4144105911254883
40,Any food allergy menu?,Wicked Spoon,Awesome brunch menu! At a really good price,0.5373551249504089,0.43044328689575195
41,Any food allergy menu?,Wicked Spoon,Gourmet food & gourmet dessert!,0.5087684392929077,0.43044328689575195
42,Any food allergy menu?,Wicked Spoon,Eat the desserts before eating the main meal(s,0.4692816436290741,0.43044328689575195
43,Any food allergy menu?,Wicked Spoon,Unique dishes its just awesome food,0.427578330039978,0.43044328689575195
44,Any food allergy menu?,Wicked Spoon,Heaven,0.08484255522489548,0.43044328689575195
45,Any gluten free accomodations?,Meat & Potatoes,Gluten free and vegan options,0.7764418721199036,0.36136341094970703
46,Any gluten free accomodations?,Meat & Potatoes,Be ready for an amazing meal & extremely tasty Cocktails,0.38635948300361633,0.36136341094970703
47,Any gluten free accomodations?,Meat & Potatoes,only on the lunch menu,0.34043315052986145,0.36136341094970703
48,Any gluten free accomodations?,Meat & Potatoes,nt it make it enjoyable,0.2887079119682312,0.36136341094970703
49,Any gluten free accomodations?,Meat & Potatoes,YUM,,0.36136341094970703
50,"Any kids pricing, between what age?",The Buffet at Bellagio,Better deals for adults,0.4955655336380005,0.48981475830078125
51,"Any kids pricing, between what age?",The Buffet at Bellagio,Enjoying my FRIST mothers dinner with my family,0.42241597175598145,0.48981475830078125
52,"Any kids pricing, between what age?",The Buffet at Bellagio,weekdays- means that's at what time you pay,0.3330855667591095,0.48981475830078125
53,"Any kids pricing, between what age?",The Buffet at Bellagio,price,0.3033401072025299,0.48981475830078125
54,"Any kids pricing, between what age?",The Buffet at Bellagio,Their food,0.16863210499286652,0.48981475830078125
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Come early! There was a long line before the restaurant even opened!,0.6235259175300598,2.2104508876800537
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,Already a group of people seated and few waiting outside,0.42899462580680847,2.2104508876800537
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,via WhatsApp,0.23078030347824097,2.2104508876800537
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,http://tinyurl.com/y9vzt2ca,,2.2104508876800537
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,:(,,2.2104508876800537
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,"amazingly tender meats, toasted bread and tasty sauces. 
The chef recommended we try the meat platter and the vegetables and both were delicious",0.605600893497467,1.117335557937622
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Get the steak sandwich bc there's so much at steak,0.54360431432724,1.117335557937622
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,The patio is lovely.,0.3711792826652527,1.117335557937622
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Paired with the sauces and tostada,0.2865604758262634,1.117335557937622
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Everything was enjoyed immensely by all!,0.21083906292915344,1.117335557937622
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,Saturday and Sunday = dinner and seafood all day!,0.7820411324501038,0.4499027729034424
