,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.7983776116107952,0.9034137725830078
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.5987832087080964,0.9034137725830078
2,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.6768780526691549,2.5084598064422607
3,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.3760433625939749,2.5084598064422607
4,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.31852615882354385,2.5084598064422607
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.31852615882354385,2.5084598064422607
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.2654384656862865,2.5084598064422607
7,Air conditioning inside the carriage?,High Roller,some of the rollers have a bar,1.185116020496471,1.9971024990081787
8,Air conditioning inside the carriage?,High Roller,ac,1.185116020496471,1.9971024990081787
9,Air conditioning inside the carriage?,High Roller,so much fun and a beautiful way to see vegas,1.1128069490258603,1.9971024990081787
10,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP],0.6464269202708025,1.9971024990081787
11,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP] they cram you all together on each one and the bartender inside the pod,0.507906865927059,1.9971024990081787
12,All you can eat?,Gangnam Asian BBQ Dining,you must eat here,1.7594902086592694,1.93961763381958
13,All you can eat?,Gangnam Asian BBQ Dining,great place to eat .,1.1729934724395128,1.93961763381958
14,All you can eat?,Gangnam Asian BBQ Dining,great,1.1729934724395128,1.93961763381958
15,All you can eat?,Gangnam Asian BBQ Dining,go for the premium all you can eat . delicious,0.8797451043296347,1.93961763381958
16,All you can eat?,Gangnam Asian BBQ Dining,not all you can eat,0.8797451043296347,1.93961763381958
17,All you can eat?,Soho Japanese Restaurant,sushi,1.1346571028482935,1.869072437286377
18,All you can eat?,Soho Japanese Restaurant,one of the best places to eat,0.8509928271362202,1.869072437286377
19,All you can eat?,Soho Japanese Restaurant,everything,0.5673285514241467,1.869072437286377
20,All you can eat?,Soho Japanese Restaurant,very inexpensive,0.5673285514241467,1.869072437286377
21,All you can eat?,Soho Japanese Restaurant,sushi,0.4254964135681101,1.869072437286377
22,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,f a t t y brisket,1.6269069381147405,2.314528703689575
23,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thanks for the best brisket and turkey this thanksgiving,0.9515782546011512,2.314528703689575
24,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,long lines,0.5247422267619424,2.314528703689575
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,long wait,0.5247422267619424,2.314528703689575
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,best bbq flavor i have had in a long time,0.44977905151023634,2.314528703689575
27,Any discount by showing your players card?,Studio B Buffet,no discount,2.5066492057578698,2.112457513809204
28,Any discount by showing your players card?,Studio B Buffet,$ 5,1.6710994705052464,2.112457513809204
29,Any discount by showing your players card?,Studio B Buffet,$ 5,1.3672632031406562,2.112457513809204
30,Any discount by showing your players card?,Studio B Buffet,they don ' t give anymore 2 for 1 buffet coupons,1.2158763949895148,2.112457513809204
31,Any discount by showing your players card?,Studio B Buffet,"go with someone thats has the "" m "" black card and skip the line",0.8355497352526232,2.112457513809204
32,Any dress code?,Eiffel Tower,wear a collared shirt,0.3111934876206851,0.629065990447998
33,Any food allergy menu?,Wicked Spoon,bone marrow,1.2814158037890546,2.0100274085998535
34,Any food allergy menu?,Wicked Spoon,too much food,0.9950844996135345,2.0100274085998535
35,Any food allergy menu?,Wicked Spoon,food allergy menu ? [SEP],0.9950844996135345,2.0100274085998535
36,Any food allergy menu?,Wicked Spoon,food is terrible,0.9950844996135345,2.0100274085998535
37,Any food allergy menu?,Wicked Spoon,lunch,0.8542772025260363,2.0100274085998535
38,Any gluten free accomodations?,Meat & Potatoes,gluten free and vegan options,1.488636039551528,0.4238557815551758
39,"Any kids pricing, between what age?",The Buffet at Bellagio,"any kids pricing , between what age ? [SEP]",0.8775142161980216,1.9663341045379639
40,"Any kids pricing, between what age?",The Buffet at Bellagio,lunch,0.6581356621485163,1.9663341045379639
41,"Any kids pricing, between what age?",The Buffet at Bellagio,$,0.6581356621485163,1.9663341045379639
42,"Any kids pricing, between what age?",The Buffet at Bellagio,"any kids pricing , between what age ? [SEP]",0.6581356621485163,1.9663341045379639
43,"Any kids pricing, between what age?",The Buffet at Bellagio,come before 11am,0.5850094774653477,1.9663341045379639
44,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations since lotus is closed ? [SEP] closed on sundays,3.9847013847722734,2.534898042678833
45,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,3.9847013847722734,2.534898042678833
46,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,2.656467589848182,2.534898042678833
