,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,Maybe even order 3 to yourself!,0.5723879216084845,3.129692792892456
1,AYCE? Or ala carte?,Soho Japanese Restaurant,You might change your mind like me.,0.49889256666080295,3.129692792892456
2,AYCE? Or ala carte?,Soho Japanese Restaurant,Try their sashimi specials even if you've never like sashimi before.,0.4804145274702646,3.129692792892456
3,AYCE? Or ala carte?,Soho Japanese Restaurant,If you appreciate sashimi try the Shima-Aji (Striped Jack) with Uni!,0.47084364546451485,3.129692792892456
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Do yourself a favor eat here if you love fresh fish... also you can't go wrong ever here..we've tried alot of dishes and they are top notch!,0.46690249626705127,3.129692792892456
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"If you plan on using your cell provider's internet, it is impossible to get a connection in the rooms unless you sign up for the WIFI through the LINQ",0.7738790868157884,0.24030494689941406
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,I thought this was well known but this ended up taking so much time every time I rode the elevator!,0.750572115468542,0.24030494689941406
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,They charge you for parking $8/day unless you have status.,0.7484239580134345,0.24030494689941406
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"FYI: If you stay here w/ kids & Family members who are under 21, You are referred over to The Flamingo to go swimming just make sure you show them your card key from The LINQ",0.747129418404108,0.24030494689941406
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Valet is $13/day but you can go in and out as many times as you want.,0.7434345323688014,0.24030494689941406
10,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning.,0.5511853056761773,0.20071864128112793
