,question,business,answer,similarity,execution_time_in_sec,human_rating
0,AYCE? Or ala carte?,Soho Japanese Restaurant,It comes with the NY steak,0.6060615049535001,2.94862484931946,
1,AYCE? Or ala carte?,Soho Japanese Restaurant,Their prices are super reasonable,0.534555876069899,2.94862484931946,
2,AYCE? Or ala carte?,Soho Japanese Restaurant,best sushi,0.468409443198171,2.94862484931946,
3,AYCE? Or ala carte?,Soho Japanese Restaurant,"lol

Yeah, those 5 stars are well-deserved",0.454025462463997,2.94862484931946,
4,AYCE? Or ala carte?,Soho Japanese Restaurant,Terrific service,0.44837181423850797,2.94862484931946,
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,extra charge,0.730798009299578,2.9324998855590803,
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,"$34 ""resort fee"" plus $10 for parking",0.7306473021931941,2.9324998855590803,
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,extra 30 something dollars per night,0.7162514253411959,2.9324998855590803,
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,Maybe this went away when they added resort fees?,0.687932879516834,2.9324998855590803,
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,$30 resort fee for my inconveniences - I argued that I was paying hundreds of dollars for multiple nights here,0.670471987560948,2.9324998855590803,
10,Air conditioning inside the carriage?,High Roller,air conditioning,0.702650732812342,2.21619772911072,
11,Air conditioning inside the carriage?,High Roller,air conditioning,0.622273125846106,2.21619772911072,
12,Air conditioning inside the carriage?,High Roller,It is fun from the start as you get on and off of the moving carriage,0.5973067901982161,2.21619772911072,
13,Air conditioning inside the carriage?,High Roller,So much fun and a beautiful way to see Vegas in the air conditioning,0.5799240251596229,2.21619772911072,
14,Air conditioning inside the carriage?,High Roller,they have you standing outside waiting on the platform instead of inside in the air conditioning,0.5791608902997379,2.21619772911072,
15,All you can eat?,Gangnam Asian BBQ Dining,It's not all you can eat.,1.0000000070929,2.7153706550598105,4.0
16,All you can eat?,Gangnam Asian BBQ Dining,No all you can eat.,1.0000000070929,2.7153706550598105,4.0
17,All you can eat?,Gangnam Asian BBQ Dining,The place is not all you can eat.,0.9092873550064108,2.7153706550598105,4.0
18,All you can eat?,Gangnam Asian BBQ Dining,10/10,0.8675337318966929,2.7153706550598105,1.0
19,All you can eat?,Gangnam Asian BBQ Dining,Plus,0.8547998197001719,2.7153706550598105,1.0
20,All you can eat?,Soho Japanese Restaurant,They do NOT have all you can eat.,0.9999999858022758,1.9678196907043501,
21,All you can eat?,Soho Japanese Restaurant,This place is not all you can eat.,0.914388253290758,1.9678196907043501,
22,All you can eat?,Soho Japanese Restaurant,I use to only eat all you can eat but I realized quantity doesn't satisfy me after having soho.,0.84257455056893,1.9678196907043501,
23,All you can eat?,Soho Japanese Restaurant,i could eat 10 of these,0.8167265475929352,1.9678196907043501,
24,All you can eat?,Soho Japanese Restaurant,Everything is super fresh and I even love the uni,0.815625869061144,1.9678196907043501,
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,"Thanks, little miss!",0.630620404390033,2.16380929946899,
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,ordering/serving process worked,0.608259518119524,2.16380929946899,
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,You'll still have a long wait time,0.58647187983777,2.16380929946899,
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks again guys.,0.584229589476484,2.16380929946899,
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,Thanks guys for making my visit incredible!,0.579483733335459,2.16380929946899,
30,Any discount by showing your players card?,Studio B Buffet,$26.99,0.808805427141395,3.3222744464874303,
31,Any discount by showing your players card?,Studio B Buffet,a players card,0.8039924178953158,3.3222744464874303,
32,Any discount by showing your players card?,Studio B Buffet,the price is right with the players card,0.773867926477814,3.3222744464874303,
33,Any discount by showing your players card?,Studio B Buffet,a players card then you get priority so get the players card,0.75936026563446,3.3222744464874303,
34,Any discount by showing your players card?,Studio B Buffet,sign up for the players card before heading over to the buffet - it's free,0.739611821379793,3.3222744464874303,
35,Any dress code?,Eiffel Tower,A dress code,0.999999987407237,2.60592150688171,4.0
36,Any dress code?,Eiffel Tower,There was no dress code?,0.999999987407237,2.60592150688171,4.0
37,Any dress code?,Eiffel Tower,There is a dress code,0.999999987407237,2.60592150688171,4.0
38,Any dress code?,Eiffel Tower,There's a dress code,0.999999987407237,2.60592150688171,4.0
39,Any dress code?,Eiffel Tower,there is a dress code,0.948984311320347,2.60592150688171,4.0
40,Any food allergy menu?,Wicked Spoon,Being a foodie with a gluten allergy can sometimes be a huge challenge,0.723530084762751,8.16986727714539,
41,Any food allergy menu?,Wicked Spoon,"As someone with a gluten allergy, the staff was very accommodating to my needs",0.7095638813120991,8.16986727714539,
42,Any food allergy menu?,Wicked Spoon,extremely friendly,0.703955207719274,8.16986727714539,
43,Any food allergy menu?,Wicked Spoon,DO NOT eat here if you have severe allergies,0.6998432978974821,8.16986727714539,
44,Any food allergy menu?,Wicked Spoon,.,0.6799348594900321,8.16986727714539,
45,Any gluten free accomodations?,Meat & Potatoes,I have celiac Meat & Potatoes,0.6226026280772651,2.35651278495789,
46,Any gluten free accomodations?,Meat & Potatoes,friendly and accommodating,0.6114405929062341,2.35651278495789,
47,Any gluten free accomodations?,Meat & Potatoes,they could have offered us a comped drink or dessert,0.503584756026859,2.35651278495789,
48,Any gluten free accomodations?,Meat & Potatoes,catered to my mom,0.5004461524893461,2.35651278495789,
49,Any gluten free accomodations?,Meat & Potatoes,I have food allergies and they were great about handling them.,0.492941234361011,2.35651278495789,
50,"Any kids pricing, between what age?",The Buffet at Bellagio,$200 for a family of 2 adults and 2 kids under 6 years of age - expensive?,0.846760848756662,4.9123158454895,
51,"Any kids pricing, between what age?",The Buffet at Bellagio,The price was $50 for everyone over age 4.,0.824403490648993,4.9123158454895,
52,"Any kids pricing, between what age?",The Buffet at Bellagio,over the age of 3 charged at adult rate,0.806068769707199,4.9123158454895,
53,"Any kids pricing, between what age?",The Buffet at Bellagio,consume a lot of food,0.789141402092831,4.9123158454895,
54,"Any kids pricing, between what age?",The Buffet at Bellagio,Charging full price for kids over age 2 is ridiculous,0.7690976725178729,4.9123158454895,
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,"close the restaurant when it is closed, not when it is almost closed.",0.7701821891015121,5.27440810203552,
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,wahh,0.759126549107371,5.27440810203552,
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,closing shop,0.739035007844856,5.27440810203552,
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,It was close to closing time,0.712030157306816,5.27440810203552,
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,...,0.7095775999042141,5.27440810203552,
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,lots of vegetarian options,0.7962063068030849,2.33669948577881,
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,tons of meat selection,0.790549684855144,2.33669948577881,
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Great thing about this place ... it shows love to all your vegetarian and vegan friends too so they don't feel left out.,0.7649256048933131,2.33669948577881,
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,If you are a meat lover,0.7529874109400201,2.33669948577881,
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,Great vegetarian options,0.7309121917991079,2.33669948577881,
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,We came for the Seafood Dinner Buffet that they have on Friday and Saturday nights,0.8642737162166609,3.3285546302795397,1.0
66,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,$22.99.,0.8328376899780959,3.3285546302795397,1.0
67,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,weekend seafood ups the price by about $10.,0.817609726365404,3.3285546302795397,4.0
68,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,Get there early for dinner/seafood dinner on Friday or Saturday nights.,0.815687371863152,3.3285546302795397,3.0
69,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,.,0.8118138145471742,3.3285546302795397,1.0
70,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,a few friends,0.7168790285415441,3.52218413352966,
71,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,we got a table,0.7107324301012521,3.52218413352966,
72,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,Came to celebrate a friends  21st birthday,0.709303655943766,3.52218413352966,
73,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,the night of my birthday and the following night,0.695773561605632,3.52218413352966,
74,Any promoters for the weekend of 7/26-28? We have a party of 3 girls celebrating a 21st B day! Looking to go to Hakkasan on sat 7/28,Hakkasan Nightclub,a better DJ,0.6823692541337719,3.52218413352966,
75,Any special menu items for the 4th of July 2018?,Studio B Buffet,dinner menu,0.819210613794337,3.2443430423736603,
76,Any special menu items for the 4th of July 2018?,Studio B Buffet,5:30.,0.733926026946713,3.2443430423736603,
77,Any special menu items for the 4th of July 2018?,Studio B Buffet,$35 per person,0.700197839254479,3.2443430423736603,
78,Any special menu items for the 4th of July 2018?,Studio B Buffet,Went here on Friday June 1st for my birthday.,0.68303424405079,3.2443430423736603,
79,Any special menu items for the 4th of July 2018?,Studio B Buffet,by coming to Studio B.,0.65347391661118,3.2443430423736603,
80,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,If you are vegan or vegetarian just skip it and go to the Wynn or Encore where EVERY SINGLE RESTAURANT has excellent vegan options,0.9085293050979072,9.21540212631226,
81,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,dairy,0.877811256404147,9.21540212631226,
82,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,vegan,0.8098019473146041,9.21540212631226,
83,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,little to no vegan options,0.7721776560792459,9.21540212631226,
84,"Any vegan options? Just wondering if they can whip up some avocado toast for the vegan in the group. Just wondering because for the non-vegans, best breakfast in Vegas that I've had!",Mon Ami Gabi,Great selection on their gluten free menu,0.760051392976988,9.21540212631226,
