,question,business,answer,similarity,execution_time_in_sec
0,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.4673947060734309,2.572598457336426
1,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.37149955695440395,2.572598457336426
2,AYCE? Or ala carte?,Soho Japanese Restaurant,a thurs,0.35255660402420497,2.572598457336426
3,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.33480478775802447,2.572598457336426
4,AYCE? Or ala carte?,Soho Japanese Restaurant,ala carte,0.3227358102606297,2.572598457336426
5,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.4791665395422665,2.8415327072143555
6,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.474313417827527,2.8415327072143555
7,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.46311618901963547,2.8415327072143555
8,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars per night added to your total when you book ? [SEP] you have to put $ 20,0.4564318021895559,2.8415327072143555
9,About how much is the extra fees added up after paying for the hotel? Is the 40 dollars per night added to your total when you book?,The LINQ Hotel & Casino,40 dollars,0.43794669066696645,2.8415327072143555
10,Air conditioning inside the carriage?,High Roller,so much fun and a beautiful way to see vegas,0.5837117827607815,1.9638562202453613
11,Air conditioning inside the carriage?,High Roller,night,0.43414308017668035,1.9638562202453613
12,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP],0.4144968397252742,1.9638562202453613
13,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP],0.38818753723626365,1.9638562202453613
14,Air conditioning inside the carriage?,High Roller,air conditioning inside the carriage ? [SEP],0.387666443185241,1.9638562202453613
15,All you can eat?,Gangnam Asian BBQ Dining,great place to eat .,0.9039885125783008,2.0755844116210938
16,All you can eat?,Gangnam Asian BBQ Dining,food,0.7255301493205709,2.0755844116210938
17,All you can eat?,Gangnam Asian BBQ Dining,meat,0.700022962761674,2.0755844116210938
18,All you can eat?,Gangnam Asian BBQ Dining,meats,0.6888029602023357,2.0755844116210938
19,All you can eat?,Gangnam Asian BBQ Dining,great selection,0.6792559666203294,2.0755844116210938
20,All you can eat?,Soho Japanese Restaurant,sushi,0.7613053172778704,2.012439727783203
21,All you can eat?,Soho Japanese Restaurant,everything,0.7137059061822292,2.012439727783203
22,All you can eat?,Soho Japanese Restaurant,one of the best places to eat,0.701156876773447,2.012439727783203
23,All you can eat?,Soho Japanese Restaurant,deep fried shrimp head,0.6183213672871316,2.012439727783203
24,All you can eat?,Soho Japanese Restaurant,"sashimi , rice , miso soup , salad and hot tea",0.5888740493154806,2.012439727783203
25,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,330pm,0.4858628342412814,2.9294893741607666
26,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,thanks for the best brisket and turkey this thanksgiving,0.48202723344609133,2.9294893741607666
27,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,first rate customer service,0.4678139390612077,2.9294893741607666
28,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,hour,0.4663453406893989,2.9294893741607666
29,"An you order and pick up, if so how long is that process? Thanks",Little Miss BBQ,long wait,0.4662773066405541,2.9294893741607666
30,Any discount by showing your players card?,Studio B Buffet,they don ' t give anymore 2 for 1 buffet coupons,0.7120351671499844,2.181990623474121
31,Any discount by showing your players card?,Studio B Buffet,$ 5,0.6502854295018772,2.181990623474121
32,Any discount by showing your players card?,Studio B Buffet,no discount,0.6324775644106614,2.181990623474121
33,Any discount by showing your players card?,Studio B Buffet,"go with someone thats has the "" m "" black card and skip the line",0.5661256986225345,2.181990623474121
34,Any discount by showing your players card?,Studio B Buffet,lower,0.45832481791080926,2.181990623474121
35,Any dress code?,Eiffel Tower,wear a collared shirt,0.545029426315575,2.494105815887451
36,Any dress code?,Eiffel Tower,pink vevet cocktail,0.3863294661810053,2.494105815887451
37,Any dress code?,Eiffel Tower,al a cart .,0.3559444855548193,2.494105815887451
38,Any dress code?,Eiffel Tower,"souffla© dessert , make sure to ask for the dessert menu early on so you can see your choices and have time for them to cook . . . . . i recommend the grand mariner souffla©",0.3311415994536452,2.494105815887451
39,Any dress code?,Eiffel Tower,##©,0.3259081306629744,2.494105815887451
40,Any food allergy menu?,Wicked Spoon,brunch menu,0.5373551508427137,2.018437623977661
41,Any food allergy menu?,Wicked Spoon,delicious quality food every time . unique dishes,0.5337734766096088,2.018437623977661
42,Any food allergy menu?,Wicked Spoon,gourmet food,0.5276083245644599,2.018437623977661
43,Any food allergy menu?,Wicked Spoon,gourmet food & gourmet dessert,0.510472861126735,2.018437623977661
44,Any food allergy menu?,Wicked Spoon,"thai , pistachio , and mango gelato",0.504142401205642,2.018437623977661
45,Any gluten free accomodations?,Meat & Potatoes,gluten free and vegan options,0.7541771450315725,2.1114251613616943
46,Any gluten free accomodations?,Meat & Potatoes,dinner,0.4392131776547077,2.1114251613616943
47,Any gluten free accomodations?,Meat & Potatoes,bone marrow,0.3988986124785421,2.1114251613616943
48,Any gluten free accomodations?,Meat & Potatoes,chicken,0.38754374688904136,2.1114251613616943
49,Any gluten free accomodations?,Meat & Potatoes,cocktails,0.386359493574271,2.1114251613616943
50,"Any kids pricing, between what age?",The Buffet at Bellagio,adults,0.49556552387258945,2.3748090267181396
51,"Any kids pricing, between what age?",The Buffet at Bellagio,come before 11am,0.4481421993985104,2.3748090267181396
52,"Any kids pricing, between what age?",The Buffet at Bellagio,$ 18 . 99,0.42857231529022033,2.3748090267181396
53,"Any kids pricing, between what age?",The Buffet at Bellagio,any kids pricing,0.422415934400415,2.3748090267181396
54,"Any kids pricing, between what age?",The Buffet at Bellagio,pricing,0.4019826631421113,2.3748090267181396
55,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,0.6645216989194571,3.0018959045410156
56,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai,0.6235258749150473,3.0018959045410156
57,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,tourist friends,0.6182313406005503,3.0018959045410156
58,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,facebook,0.6007287492095335,3.0018959045410156
59,"Any locals know when they are going to open again?

Thanks for the updates on the closing...anyone other Thai restaurant recommendations since Lotus is closed?",Lotus of Siam,thai restaurant recommendations,0.5886117369689583,3.0018959045410156
60,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegetarians,0.6370701114734583,3.830768585205078
61,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,argent,0.6233235791169006,3.830768585205078
62,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,my friends has pulled pork and a chicken salad,0.6145537010000386,3.830768585205078
63,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,steak,0.5827745956874217,3.830768585205078
64,Any options for vegan or vegetarian diners? Trying to find a restaurant to please my family of carnivores and herbivores alike.,Gaucho Parrilla Argentina,vegan or vegetarian,0.5819173998625762,3.830768585205078
65,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,$ 39 . 99 for lunch or dinner seafood,0.8261858984904519,2.7751059532165527
66,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,seafood,0.7820410793081625,2.7751059532165527
67,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,the $ 39 . 99 price for the seafood,0.7719891853673625,2.7751059532165527
68,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,oyster,0.6817323974173286,2.7751059532165527
69,"Any oyster in the Monday - Thursday Dinner Buffet? thanks
so what are the major differences between the Monday - Thursday Dinner Buffet and the weekend dinner buffet? thanks again",Studio B Buffet,$ 10 . 99 for breakfast buffet . come in before 10 : 30am so you also get to eat the lunch buffet at the breakfast buffet price,0.6527684961087318,2.7751059532165527
